"","Month","Prediction","L1","Win","DWin"
"1","201001","-68.087032317687","48.087032317687","FALSE","TRUE"
"2","201002","-44.4419802947493","8.4419802947493","TRUE","TRUE"
"3","201003","-73.5113807353053","235.511380735305","FALSE","TRUE"
"4","201004","4.97994648776734","285.020053512233","FALSE","FALSE"
"5","201005","91.7350680560126","339.264931943987","FALSE","TRUE"
"6","201006","99.0960424057664","224.096042405766","FALSE","TRUE"
"7","201007","138.083140451835","269.083140451835","FALSE","FALSE"
"8","201008","172.550676241427","226.550676241427","FALSE","TRUE"
"9","201009","138.928715097344","233.928715097344","FALSE","FALSE"
"10","201010","167.738815299303","16.738815299303","TRUE","TRUE"
"11","201011","196.225584944932","157.225584944932","FALSE","FALSE"
"12","201012","128.496216070075","25.496216070075","TRUE","TRUE"
"13","201101","148.745897071263","112.745897071263","FALSE","FALSE"
"14","201102","132.901262835688","59.098737164312","FALSE","TRUE"
"15","201103","189.253731908592","26.746268091408","FALSE","FALSE"
"16","201104","216.270468768334","27.729531231666","TRUE","TRUE"
"17","201105","247.066530541182","193.066530541182","FALSE","FALSE"
"18","201106","247.968406627185","229.968406627185","FALSE","FALSE"
"19","201107","223.346587255355","106.346587255355","FALSE","TRUE"
"20","201108","228.611736625392","228.611736625392","FALSE","FALSE"
"21","201109","181.980042376033","78.980042376033","FALSE","TRUE"
"22","201110","139.102562974782","59.102562974782","FALSE","FALSE"
"23","201111","130.118783539476","10.118783539476","FALSE","FALSE"
"24","201112","129.082109900129","70.917890099871","FALSE","FALSE"
"25","201201","129.679761448696","113.320238551304","FALSE","FALSE"
"26","201202","147.062148763756","79.937851236244","FALSE","FALSE"
"27","201203","241.46218350774","121.46218350774","FALSE","FALSE"
"28","201204","243.480151787109","128.480151787109","FALSE","FALSE"
"29","201205","226.748416935105","157.748416935105","FALSE","FALSE"
"30","201206","137.983968041576","57.983968041576","FALSE","FALSE"
"31","201207","98.4471391612661","64.5528608387339","FALSE","FALSE"
"32","201208","64.8541953149186","31.1458046850814","TRUE","TRUE"
"33","201209","101.346997765979","12.653002234021","FALSE","TRUE"
"34","201210","78.0439664524116","92.9560335475884","FALSE","FALSE"
"35","201211","38.0081922467332","107.991807753267","FALSE","FALSE"
"36","201212","157.791562115337","2.791562115337","TRUE","TRUE"
"37","201301","221.871196512258","64.871196512258","FALSE","FALSE"
"38","201302","217.27970547417","18.72029452583","TRUE","TRUE"
"39","201303","225.767714402488","137.767714402488","FALSE","FALSE"
"40","201304","227.073123967609","62.073123967609","FALSE","TRUE"
"41","201305","152.588454533456","22.411545466544","FALSE","FALSE"
"42","201306","144.796020375655","50.203979624345","FALSE","FALSE"
"43","201307","189.891895859096","27.891895859096","FALSE","FALSE"
"44","201308","153.263845305336","15.736154694664","FALSE","TRUE"
"45","201309","114.617801119193","33.382198880807","FALSE","TRUE"
"46","201310","121.092961742477","82.907038257523","TRUE","TRUE"
"47","201311","130.93213212104","72.06786787896","FALSE","FALSE"
"48","201312","205.221400637569","131.221400637569","FALSE","FALSE"
"49","201401","213.098735699962","100.098735699962","FALSE","FALSE"
"50","201402","158.315327489769","16.684672510231","TRUE","TRUE"
"51","201403","138.576749085684","53.423250914316","FALSE","TRUE"
"52","201404","210.098256133043","77.901743866957","FALSE","FALSE"
"53","201405","185.618430076885","31.381569923115","FALSE","FALSE"
"54","201406","218.804410902616","69.195589097384","TRUE","TRUE"
"55","201407","286.287653411141","77.287653411141","FALSE","FALSE"
"56","201408","295.384363501595","153.384363501595","FALSE","FALSE"
"57","201409","242.177858066203","5.82214193379701","TRUE","TRUE"
"58","201410","238.87001520548","24.87001520548","FALSE","FALSE"
"59","201411","238.69452808186","761.30547191814","TRUE","TRUE"
