"","Features","L1","varL1","L2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"4680","ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log","48.3387005875721","1375.69471063995","59.9806923872027","7","4","9","7","11.0035063630703","34.5948216703454","194.625151271117"
"4681","ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","65.5370261109532","1546.67927430489","75.5836697061425","4","2","7","7","-44.6375824314306","-28.5608683196152","143.426901145344"
"4682","ThreeMonthBefore+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","52.6401019366228","1341.37688121345","63.2501051884003","4","2","7","7","-14.4467711471569","0.994250369044988","176.913889043477"
"4683","ThreeMonthBefore+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.6484212762131","1676.19113379211","79.0513395397311","4","2","7","7","-39.7900425269265","-24.0356590395866","149.012286118494"
"4684","ThreeMonthBefore+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","57.2944288962177","1312.82580369706","66.9781698460977","4","2","7","7","253.227269267871","566.851301147698","176.27401806752"
"4685","ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","58.4116059307186","1165.59132028795","66.9355990312294","4","2","7","7","-24.3689889046976","-23.7879263811615","186.634487772907"
"4686","ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","69.3564383995743","1501.61063555604","78.6561629079395","4","2","7","7","-41.7414088736504","-28.8719265591013","158.58289575719"
"4687","ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","51.6223520921404","1293.59479533684","62.0537062920796","5","4","7","8","-14.9861942297666","-15.7878715001307","208.882165004879"
"4688","ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","60.1709967327191","1139.95818108364","68.3045424097272","4","2","7","7","-29.6613663045628","-23.7238847500097","174.977396068295"
"4689","ThreeMonthBefore+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","67.4855578032229","1803.26819060541","78.7863970073542","4","2","7","7","-38.729104936689","-23.3343741730014","150.524651025665"
"4690","ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","67.3406643902699","1320.9003283489","75.7996727005431","3","2","6","7","-35.0570338596708","-28.1365108958423","176.890143230717"
"4691","ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","49.8232446316409","1111.13841498489","59.168397415291","4","5","7","8","-15.7396409259547","-18.3791571217291","212.021035800965"
"4692","ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","67.3289176271599","1676.67207142474","77.9110553621942","4","2","7","7","-39.7637408398499","-28.3069966752714","164.962998599481"
"4693","ThreeMonthBefore+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","54.8335138747649","1289.45040614983","64.7202476006649","4","2","7","7","-21.186889651707","-12.5219094833526","174.535323964548"
"4694","ThreeMonthBefore+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","69.1896275561451","1714.33065720185","79.7412962677418","4","2","7","7","-38.6880143250342","-21.6869323605578","147.683779276715"
"4695","ThreeMonthBefore+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","61.1490850719136","1795.18075232565","73.3811485425966","3","2","6","6","-25.0907909863797","-30.4850495364602","177.476354641951"
"4696","ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","59.3870501623629","1196.60651091028","67.9978751774992","3","2","7","7","-23.0937040813396","-23.9665907780804","183.994494961157"
"4697","ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.3546997631669","1527.56507120239","77.9271003030924","4","2","7","7","-39.5317137211941","-28.7362757318067","152.855876323329"
"4698","ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","60.1768901970295","1184.31448106277","68.60670318144","4","2","7","7","-12.5643497931757","12.0021499157954","173.512419326473"
"4699","ThreeMonthBefore+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.7426068562827","1812.68601931069","79.919802605063","4","2","7","7","-38.0624054027719","-13.3607410717884","148.519808778701"
"4700","ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","46.9562439583658","1493.57898986991","59.7829651382815","7","4","9","7","0.830191692044699","7.2807890362809","201.170840385314"
"4701","ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","67.0732592119676","1577.66493111484","77.1039230833149","4","2","7","7","-43.5243525899663","-28.6978025678503","148.740548056491"
"4702","ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log","59.1576231817705","1234.30780246629","68.0519889455391","4","2","7","7","-27.8235844264527","-24.5598620239024","189.082326779051"
