"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"3189","NumDistinctUsers_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute+NumDistinctUsers_Month2_Absolute+NumPopularTweets_Month2_Absolute+NumVerifiedTweets_Month2_Absolute","53.7242461629589","66.2312574567409","4","5","5","6","274.665202085343"
"3190","NumDistinctUsers_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctUsers_Month2_Log+NumPopularTweets_Month2_Log+NumVerifiedTweets_Month2_Log","65.1179512554482","74.6162582248426","3","2","6","7","187.766057359687"
"3191","NumDistinctUsers_Month1_Delta+NumPopularTweets_Month1_Delta+NumVerifiedTweets_Month1_Delta+NumDistinctUsers_Month2_Delta+NumPopularTweets_Month2_Delta+NumVerifiedTweets_Month2_Delta","65.3018970034621","75.3688713144743","3","3","5","7","181.912898448521"
"3192","NumDistinctUsers_Month1_LogDelta+NumPopularTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumPopularTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","63.2352869414703","75.4156305502395","4","3","7","7","155.167397754389"
"3193","NumDistinctUsers_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute","46.0083911491384","58.2613987435186","6","7","7","8","323.194993280582"
"3194","NumDistinctUsers_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log","53.6335812504838","65.1416395997115","5","3","8","7","175.722337192994"
"3195","NumDistinctUsers_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute+NumDistinctUsers_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log","55.7585529216304","69.3767495420544","4","5","5","5","468.306416213955"
"3196","NumDistinctUsers_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta","67.6667602948137","78.0159392221006","3","3","5","7","250.891042315615"
"3197","NumDistinctUsers_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute+NumDistinctUsers_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta","54.7166065999486","67.6933293246177","4","5","5","7","352.089820355301"
"3198","NumDistinctUsers_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctUsers_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta","57.3531447341263","67.6616886448537","5","5","7","7","286.667110073124"
"3199","NumDistinctUsers_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","63.7682882494153","75.4017654680896","4","2","7","7","154.383767960938"
"3200","NumDistinctUsers_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute+NumDistinctUsers_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","49.7700227765342","61.606661237012","6","6","7","7","323.057125461628"
"3201","NumDistinctUsers_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log+NumDistinctUsers_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","50.3694326016959","64.114066619081","4","5","6","7","173.556959168921"
"3202","NumDistinctUsers_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta+NumDistinctUsers_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","74.0911048399219","85.9236685786942","1","4","3","7","288.499815555618"
"3203","NumDistinctUsers_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute+NumDistinctUsers_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute","52.907121494132","64.4293275322348","6","5","7","7","317.598305224984"
"3204","NumDistinctUsers_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctUsers_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log","54.9866987217304","65.6097015398244","5","2","7","7","192.182305629363"
