,Features,L1,L2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
6065,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_LogDelta+NumDistinctTweets_Month2_LogDelta+NumTweets_Week1_LogDelta+NumDistinctTweets_Week1_LogDelta,66.28839793,75.18541983,4,2,7,7,-38.27133383,-25.86960835,179.0217016
6066,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctTweets_Month2_Log+NumTweets_Week1_Log+NumDistinctTweets_Week1_Log+NumTweets_Month2_LogDelta+NumDistinctTweets_Month2_LogDelta+NumTweets_Week1_LogDelta+NumDistinctTweets_Week1_LogDelta,52.7730883,67.25099648,5,4,8,7,-3.598093789,12.7521292,183.3340715
6067,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctTweets_Month1_Log+NumTweets_Month2_Log+NumDistinctTweets_Month2_Log+NumTweets_Week1_Log+NumDistinctTweets_Week1_Log,55.36473808,63.4644435,4,3,7,7,-25.50818434,-21.59562612,216.2861443
6068,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumDistinctTweets_Month2_LogDelta+NumTweets_Week1_LogDelta+NumDistinctTweets_Week1_LogDelta,63.25559865,71.01380476,4,3,7,7,-35.90941569,-16.21078458,222.1279484
6069,TwoMonthBefore+ThreeMonthBefore+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log,61.28368716,71.15188428,4,2,7,7,-33.04995298,-23.32453599,186.1013683
6070,TwoMonthBefore+ThreeMonthBefore+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,65.59385788,74.84158587,4,2,7,7,-37.53913993,-25.62336389,178.4448872
6071,TwoMonthBefore+ThreeMonthBefore+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,60.38937169,70.56233817,4,2,7,7,-31.77550209,-22.52845851,185.0452739
6072,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctTweets_Month1_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log,50.62216758,60.6269521,5,3,7,7,-17.34825099,-15.56838214,208.4259863
6073,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctTweets_Month1_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,63.99440319,72.36168875,4,2,7,7,-35.81267058,-24.69749182,191.6507759
6074,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctTweets_Month1_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log+NumTweets_Month1_LogDelta+NumDistinctTweets_Month1_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,50.25917077,61.51611631,4,4,7,7,-15.60262367,-14.4072409,203.9037714
