#Field:candidate	Id	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
j cole-best new artist	w6	438	421	6	11	379	367	21	1
j cole-best new artist	w1	759	668	51	40	581	557	59	26
21-album of the year	w2	675	367	77	231	596	573	47	0
21-album of the year	w1	1420	709	145	566	1182	1135	99	0
21-album of the year	w4	899	551	69	279	697	683	63	1
j cole-best new artist	w4	137	102	2	33	102	87	16	25
j cole-best new artist	w3	133	101	2	30	95	82	15	25
21-album of the year	w5	962	584	59	319	751	738	78	1
21-album of the year	w3	641	364	64	213	565	547	44	1
21-album of the year	w6	896	498	49	349	685	674	78	1
j cole-best new artist	w5	131	119	5	7	116	101	11	0
j cole-best new artist	w2	236	200	5	31	184	168	23	25
lasers-best rap album	w6	13	13	0	0	13	12	0	0
just fishin-best country song	w1	13	13	0	0	13	12	0	0
21-best pop vocal album	w2	36	34	1	1	30	28	4	0
21-best pop vocal album	w1	57	52	2	3	54	53	3	0
21-best pop vocal album	w4	51	50	0	1	46	44	3	0
lasers-best rap album	w4	16	15	0	1	16	15	0	0
lasers-best rap album	w3	15	14	0	1	15	14	0	0
21-best pop vocal album	w5	44	44	0	0	40	38	2	0
21-best pop vocal album	w3	30	28	1	1	26	24	2	0
21-best pop vocal album	w6	36	36	0	0	35	35	1	0
lasers-best rap album	w5	10	10	0	0	10	9	0	0
just fishin-best country song	w2	4	4	0	0	4	4	0	0
look at me now-best rap song	w6	45	43	2	0	32	32	6	0
lasers-best rap album	w1	55	49	4	2	51	50	3	0
all of the lights-best rap song	w2	16	16	0	0	10	10	3	0
all of the lights-best rap song	w1	37	33	1	3	33	32	3	0
all of the lights-best rap song	w4	19	19	0	0	13	13	3	0
look at me now-best rap song	w4	69	67	2	0	42	42	13	0
look at me now-best rap song	w3	52	51	1	0	33	33	11	0
all of the lights-best rap song	w5	19	19	0	0	13	13	3	0
all of the lights-best rap song	w3	18	18	0	0	13	13	2	0
all of the lights-best rap song	w6	20	20	0	0	19	17	1	0
look at me now-best rap song	w5	63	61	2	0	42	42	12	0
lasers-best rap album	w2	23	21	1	1	21	20	2	0
lotus flower-best rock song	w6	2	2	0	0	2	2	0	0
look at me now-best rap song	w1	93	90	1	2	60	59	11	0
all of the lights-song of the year	w2	200	156	2	42	172	170	10	0
all of the lights-song of the year	w1	221	98	8	115	205	201	7	2
all of the lights-song of the year	w4	397	276	13	108	341	337	32	0
lotus flower-best rock song	w4	1	1	0	0	1	1	0	0
lotus flower-best rock song	w3	1	1	0	0	1	1	0	0
all of the lights-song of the year	w5	500	367	13	120	417	410	48	0
all of the lights-song of the year	w3	228	164	4	60	200	198	11	0
all of the lights-song of the year	w6	473	339	14	120	395	388	48	0
loud-album of the year	w5	585	324	33	228	437	421	57	0
look at me now-best rap song	w2	73	72	1	0	39	38	15	0
loud-album of the year	w6	657	283	25	349	441	424	73	0
lotus flower-best rock song	w1	11	11	0	0	10	10	1	0
are you gonna kiss me or not-best country song	w2	1	1	0	0	1	1	0	0
are you gonna kiss me or not-best country song	w1	4	3	1	0	4	4	0	0
are you gonna kiss me or not-best country song	w4	1	0	1	0	1	1	0	0
loud-album of the year	w4	606	339	35	232	454	438	51	0
loud-album of the year	w3	531	304	36	191	403	387	41	0
are you gonna kiss me or not-best country song	w5	1	0	1	0	1	1	0	0
