#Field:candidate	Id	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
royals-record of the year	w4	94	54	8	32	44	43	11	0
royals-record of the year	w1	1374	1278	9	87	172	168	43	650
ain't messin 'round-best rock song	w5	7	7	0	0	5	5	2	0
ain't messin 'round-best rock song	w3	3	3	0	0	1	1	1	0
ain't messin 'round-best rock song	w1	3	3	0	0	1	1	1	0
royals-record of the year	w2	44	23	5	16	35	33	4	0
royals-record of the year	w6	724	499	24	201	231	227	61	172
ain't messin 'round-best rock song	w2	3	3	0	0	1	1	1	0
ain't messin 'round-best rock song	w6	7	7	0	0	5	5	2	0
ain't messin 'round-best rock song	w4	3	3	0	0	2	2	1	0
royals-record of the year	w5	729	503	24	202	236	231	61	172
royals-record of the year	w3	57	44	1	12	26	24	5	0
royals-song of the year	w4	63	40	3	20	53	51	9	0
royals-song of the year	w1	1159	898	6	255	233	226	37	207
based on a true story-best country album	w5	37	35	1	1	20	19	3	0
begin again-best country song	w3	147	140	7	0	14	14	9	0
based on a true story-best country album	w1	3	3	0	0	3	3	0	0
royals-song of the year	w2	276	45	2	229	54	51	16	7
royals-song of the year	w6	901	570	27	304	400	388	87	76
begin again-best country song	w2	167	160	7	0	21	21	12	0
based on a true story-best country album	w6	37	35	1	1	20	19	3	0
based on a true story-best country album	w4	2	2	0	0	2	2	0	0
royals-song of the year	w5	907	573	27	307	405	392	88	76
royals-song of the year	w3	211	29	2	180	50	47	12	0
same love-song of the year	w4	83	75	3	5	64	64	14	7
same love-song of the year	w1	567	312	8	247	126	124	37	218
begin again-best country song	w5	393	384	0	9	87	86	35	0
blurred lines-record of the year	w3	331	20	8	303	41	39	5	287
begin again-best country song	w1	209	199	10	0	45	43	20	0
same love-song of the year	w2	244	22	5	217	41	41	8	0
same love-song of the year	w6	621	451	15	155	276	273	62	70
blurred lines-record of the year	w2	340	22	15	303	45	43	4	287
begin again-best country song	w6	392	383	0	9	86	85	35	0
begin again-best country song	w4	154	146	7	1	16	16	9	0
same love-song of the year	w5	623	452	16	155	279	276	61	70
same love-song of the year	w3	190	22	3	165	36	36	6	2
same trailer different park-best country album	w4	5	5	0	0	5	5	0	0
same trailer different park-best country album	w1	6	6	0	0	3	3	1	0
blurred lines-record of the year	w5	2525	1584	75	866	377	357	68	1964
brave-best pop solo performance	w3	19	19	0	0	15	15	2	0
blurred lines-record of the year	w1	877	803	20	54	139	135	41	684
same trailer different park-best country album	w2	1	1	0	0	1	1	0	0
same trailer different park-best country album	w6	42	40	2	0	28	28	3	0
brave-best pop solo performance	w2	12	12	0	0	8	8	2	0
blurred lines-record of the year	w6	2222	1582	71	569	361	341	66	1677
blurred lines-record of the year	w4	393	52	17	324	76	73	13	287
same trailer different park-best country album	w5	43	41	2	0	29	29	3	0
same trailer different park-best country album	w3	3	3	0	0	3	3	0	0
started from the bottom-best rap song	w4	54	26	28	0	24	24	6	20
started from the bottom-best rap song	w1	12	12	0	0	10	10	2	0
brave-best pop solo performance	w5	74	60	7	7	33	31	10	20
ed sheeran-best new artist	w3	95	93	2	0	33	33	8	0
brave-best pop solo performance	w1	26	26	0	0	17	17	4	0
started from the bottom-best rap song	w2	9	9	0	0	7	7	2	0
started from the bottom-best rap song	w6	124	82	36	6	81	79	11	20
cut me some slack-best rock song	w2	2	2	0	0	2	2	0	0
brave-best pop solo performance	w6	74	60	7	7	33	31	10	20
brave-best pop solo performance	w4	15	15	0	0	12	12	1	0
started from the bottom-best rap song	w5	124	82	36	6	81	79	11	20
started from the bottom-best rap song	w3	34	7	27	0	10	10	4	20
the blessed unrest-album of the year	w4	356	154	10	192	124	121	23	80
the blessed unrest-album of the year	w1	434	213	24	197	237	222	39	142
cut me some slack-best rock song	w5	34	33	1	0	23	22	7	0
fin' problems-best rap song	w3	30	5	25	0	6	6	4	20
cut me some slack-best rock song	w1	14	13	1	0	12	12	1	0
the blessed unrest-album of the year	w2	66	48	4	14	46	44	13	0
the blessed unrest-album of the year	w6	1953	635	25	1293	468	451	66	1240
ed sheeran-best new artist	w2	338	318	7	13	186	179	25	0
cut me some slack-best rock song	w6	34	33	1	0	23	22	7	0
cut me some slack-best rock song	w4	11	11	0	0	8	7	3	0
the blessed unrest-album of the year	w5	1962	641	25	1296	475	458	68	1240
the blessed unrest-album of the year	w3	95	55	3	37	46	46	14	0
the heist-album of the year	w4	459	177	44	238	209	206	65	7
the heist-album of the year	w1	886	338	95	453	337	331	91	281
doom and gloom-best rock song	w5	25	25	0	0	13	12	5	4
get lucky-record of the year	w3	18	14	0	4	18	17	0	0
doom and gloom-best rock song	w1	4	4	0	0	4	4	0	0
the heist-album of the year	w2	424	188	47	189	152	150	39	93
the heist-album of the year	w6	2695	889	267	1539	738	723	171	1248
fin' problems-best rap song	w2	8	8	0	0	6	6	2	0
doom and gloom-best rock song	w6	25	25	0	0	13	12	5	4
doom and gloom-best rock song	w4	2	2	0	0	2	2	0	0
the heist-album of the year	w5	2710	891	278	1541	746	731	172	1248
the heist-album of the year	w3	300	79	50	171	136	132	37	14
the heist-best rap album	w4	390	326	33	31	200	194	58	63
the heist-best rap album	w1	2204	2127	44	33	872	858	199	374
ed sheeran-best new artist	w5	890	801	86	3	394	388	89	11
god is dead-best rock song	w3	91	91	0	0	4	4	2	87
ed sheeran-best new artist	w1	1572	1535	9	28	525	506	75	376
the heist-best rap album	w2	1427	1386	24	17	544	532	116	321
the heist-best rap album	w6	1074	964	72	38	558	535	161	57
get lucky-record of the year	w2	20	16	2	2	20	18	0	0
ed sheeran-best new artist	w6	889	800	86	3	393	387	89	11
ed sheeran-best new artist	w4	176	122	52	2	83	83	12	1
the heist-best rap album	w5	1107	995	74	38	570	546	164	81
the heist-best rap album	w3	1078	1044	23	11	493	480	93	315
thrift shop-best rap song	w4	25	23	2	0	17	17	5	0
thrift shop-best rap song	w1	17	17	0	0	11	11	4	0
fin' problems-best rap song	w5	109	76	27	6	71	70	10	20
holy grail-best rap song	w3	20	19	1	0	7	7	3	0
fin' problems-best rap song	w1	12	12	0	0	10	10	2	0
thrift shop-best rap song	w2	7	7	0	0	5	5	1	0
thrift shop-best rap song	w6	59	55	4	0	38	38	10	0
holy grail-best rap song	w2	19	19	0	0	6	6	3	0
fin' problems-best rap song	w6	109	76	27	6	71	70	10	20
