#Field:candidate	Id	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
red-album of the year	w5	28441	23802	702	3937	3381	3072	832	19963
red-album of the year	w1	8270	3887	372	4011	1934	1834	551	1137
ain't messin 'round-best rock song	w2	5	4	0	1	3	3	1	0
ain't messin 'round-best rock song	w4	21	21	0	0	6	6	2	0
ain't messin 'round-best rock song	w1	7	6	0	1	5	5	1	0
red-album of the year	w2	2732	573	145	2014	693	665	217	20
red-album of the year	w6	28319	23733	686	3900	3314	3006	811	19963
ain't messin 'round-best rock song	w6	33	31	2	0	16	16	4	0
ain't messin 'round-best rock song	w5	33	31	2	0	16	16	4	0
ain't messin 'round-best rock song	w3	4	4	0	0	2	2	1	0
red-album of the year	w4	1162	520	132	510	534	521	124	2
red-album of the year	w3	2338	505	111	1722	621	598	196	2
red-best country album	w5	18370	18272	78	20	892	849	271	15081
red-best country album	w1	338	306	28	4	167	157	38	1
based on a true story-best country album	w2	2	2	0	0	2	2	0	0
based on a true story-best country album	w4	8	8	0	0	8	8	0	0
based on a true story-best country album	w1	12	12	0	0	12	12	0	0
red-best country album	w2	104	98	6	0	67	63	11	1
red-best country album	w6	18360	18264	76	20	882	839	270	15081
based on a true story-best country album	w6	15564	15559	1	4	96	92	41	15400
based on a true story-best country album	w5	15564	15559	1	4	96	92	41	15400
based on a true story-best country album	w3	2	2	0	0	2	2	0	0
red-best country album	w4	126	112	9	5	96	91	15	0
red-best country album	w3	88	84	4	0	59	55	8	1
roar-best pop solo performance	w5	617	572	19	26	249	243	63	23
roar-best pop solo performance	w1	98	66	0	32	47	46	9	0
begin again-best country song	w2	206	197	9	0	41	39	17	0
begin again-best country song	w4	204	192	11	1	50	45	14	0
begin again-best country song	w1	293	279	12	2	94	88	32	0
roar-best pop solo performance	w2	77	46	0	31	28	27	7	0
roar-best pop solo performance	w6	613	568	19	26	246	240	62	23
begin again-best country song	w6	2051	2034	4	13	500	473	164	0
begin again-best country song	w5	2056	2039	4	13	503	476	165	0
begin again-best country song	w3	184	175	9	0	34	32	14	0
roar-best pop solo performance	w4	57	27	0	30	25	25	5	0
roar-best pop solo performance	w3	69	38	0	31	22	21	5	0
roar-song of the year	w5	14575	8063	220	6292	1825	1702	462	10908
roar-song of the year	w1	1106	625	42	439	432	416	86	221
blurred lines-best pop duo/group performance	w2	8	8	0	0	7	6	1	0
blurred lines-best pop duo/group performance	w4	29	29	0	0	20	19	4	0
blurred lines-best pop duo/group performance	w1	29	29	0	0	22	22	2	0
roar-song of the year	w2	718	219	41	458	248	230	63	0
roar-song of the year	w6	14374	8000	201	6173	1750	1636	439	10908
blurred lines-best pop duo/group performance	w6	2366	2349	9	8	191	178	64	2021
blurred lines-best pop duo/group performance	w5	2369	2352	9	8	194	180	64	2021
blurred lines-best pop duo/group performance	w3	9	9	0	0	8	7	1	0
roar-song of the year	w4	1139	595	62	482	428	403	108	91
roar-song of the year	w3	821	252	50	519	312	291	80	0
robin thicke-best pop vocal album	w5	673	665	4	4	83	82	17	474
