NumVerifiedTweets_Week1_fired_Absolute,88
NumDistinctTweets_Week2_canned_AbsoluteDelta,14
NumTweets_Week2_fired_Absolute,58
NumDistinctTweets_Week1_fired_Absolute,30
NumPopularTweets_Week2_downsized_AbsoluteDelta,6
NumDistinctTweets_Week2_beenfired_Absolute,4
NumPopularTweets_Week1_downsized_Absolute,11
NumTweets_Week1_canned_Absolute,9
NumDistinctUsers_Week1_canned_AbsoluteDelta,23
NumDistinctTweets_Week2_canned_Absolute,4
NumDistinctUsers_Week2_fired_AbsoluteDelta,18
NumPopularTweets_Week2_canned_Absolute,1
NumDistinctTweets_Week1_beenfired_AbsoluteDelta,18
NumDistinctTweets_Week2_downsized_AbsoluteDelta,7
NumTweets_Week2_outsourced_Absolute,7
NumDistinctUsers_Week1_downsized_AbsoluteDelta,30
NumPopularTweets_Week2_fired_Absolute,13
NumPopularTweets_Week1_outsourced_Absolute,3
NumDistinctTweets_Week1_canned_AbsoluteDelta,14
NumVerifiedTweets_Week2_outsourced_Absolute,16
TwoWeekDelta,191
NumVerifiedTweets_Week1_outsourced_Absolute,11
NumDistinctTweets_Week2_fired_Absolute,28
NumTweets_Week1_fired_Absolute,92
NumPopularTweets_Week1_canned_AbsoluteDelta,23
NumVerifiedTweets_Week1_canned_Absolute,5
NumDistinctUsers_Week2_beenfired_Absolute,3
OneWeekDelta,267
NumVerifiedTweets_Week1_beenfired_Absolute,26
NumVerifiedTweets_Week2_canned_AbsoluteDelta,2
NumTweets_Week1_beenfired_Absolute,13
NumTweets_Week1_outsourced_AbsoluteDelta,44
NumDistinctTweets_Week2_outsourced_AbsoluteDelta,3
NumDistinctUsers_Week1_beenfired_Absolute,5
NumDistinctUsers_Week1_downsized_Absolute,13
NumDistinctUsers_Week1_fired_Absolute,37
NumVerifiedTweets_Week2_downsized_Absolute,11
NumDistinctUsers_Week2_beenfired_AbsoluteDelta,5
NumVerifiedTweets_Week1_canned_AbsoluteDelta,13
NumPopularTweets_Week1_canned_Absolute,3
NumPopularTweets_Week1_downsized_AbsoluteDelta,61
Consensus,48
NumDistinctTweets_Week2_downsized_Absolute,10
NumDistinctUsers_Week1_outsourced_Absolute,4
NumDistinctTweets_Week1_downsized_AbsoluteDelta,30
NumDistinctUsers_Week1_fired_AbsoluteDelta,63
NumPopularTweets_Week2_beenfired_AbsoluteDelta,8
NumDistinctTweets_Week2_beenfired_AbsoluteDelta,9
NumTweets_Week1_beenfired_AbsoluteDelta,36
NumVerifiedTweets_Week2_fired_Absolute,84
NumDistinctTweets_Week2_outsourced_Absolute,6
NumPopularTweets_Week2_outsourced_Absolute,1
NumPopularTweets_Week2_beenfired_Absolute,2
NumDistinctTweets_Week1_canned_Absolute,2
NumVerifiedTweets_Week1_outsourced_AbsoluteDelta,33
NumVerifiedTweets_Week2_canned_Absolute,2
NumDistinctUsers_Week2_fired_Absolute,26
NumTweets_Week2_downsized_Absolute,12
NumTweets_Week2_canned_Absolute,6
NumPopularTweets_Week1_beenfired_Absolute,3
NumTweets_Week1_downsized_Absolute,15
NumVerifiedTweets_Week2_fired_AbsoluteDelta,49
NumTweets_Week2_beenfired_AbsoluteDelta,16
NumDistinctTweets_Week1_beenfired_Absolute,4
NumDistinctTweets_Week1_downsized_Absolute,14
NumDistinctUsers_Week2_downsized_Absolute,5
TwoWeekBefore,54
NumDistinctTweets_Week1_fired_AbsoluteDelta,56
NumVerifiedTweets_Week2_outsourced_AbsoluteDelta,14
NumVerifiedTweets_Week1_downsized_Absolute,8
NumVerifiedTweets_Week1_downsized_AbsoluteDelta,79
NumTweets_Week1_canned_AbsoluteDelta,44
NumTweets_Week2_canned_AbsoluteDelta,23
NumDistinctTweets_Week1_outsourced_AbsoluteDelta,20
NumDistinctUsers_Week2_outsourced_Absolute,4
NumPopularTweets_Week2_downsized_Absolute,8
NumTweets_Week2_downsized_AbsoluteDelta,15
NumDistinctUsers_Week1_outsourced_AbsoluteDelta,29
NumVerifiedTweets_Week1_fired_AbsoluteDelta,92
NumVerifiedTweets_Week1_beenfired_AbsoluteDelta,39
NumPopularTweets_Week1_fired_Absolute,19
NumPopularTweets_Week1_fired_AbsoluteDelta,33
NumPopularTweets_Week2_fired_AbsoluteDelta,11
NumPopularTweets_Week1_outsourced_AbsoluteDelta,13
NumDistinctUsers_Week2_outsourced_AbsoluteDelta,2
NumTweets_Week2_outsourced_AbsoluteDelta,15
NumPopularTweets_Week1_beenfired_AbsoluteDelta,18
NumTweets_Week1_outsourced_Absolute,12
NumPopularTweets_Week2_canned_AbsoluteDelta,9
NumDistinctTweets_Week2_fired_AbsoluteDelta,20
NumDistinctUsers_Week2_canned_AbsoluteDelta,2
NumVerifiedTweets_Week2_beenfired_Absolute,16
NumTweets_Week2_fired_AbsoluteDelta,46
NumDistinctUsers_Week2_downsized_AbsoluteDelta,4
OneWeekBefore,27
NumTweets_Week1_downsized_AbsoluteDelta,54
NumTweets_Week1_fired_AbsoluteDelta,142
NumTweets_Week2_beenfired_Absolute,6
NumDistinctUsers_Week1_beenfired_AbsoluteDelta,19
DeltaConsensus,526
NumPopularTweets_Week2_outsourced_AbsoluteDelta,6
NumVerifiedTweets_Week2_beenfired_AbsoluteDelta,9
NumDistinctTweets_Week1_outsourced_Absolute,9
NumDistinctUsers_Week1_canned_Absolute,4
NumVerifiedTweets_Week2_downsized_AbsoluteDelta,19
