"candidate"	"NumDistinctTweets_w4"	"PositiveRatio_w4"	"NonNegativeRatio_w4"	"NormalizedNumDistinctTweets_w4"
"21-album of the year"	20999	0.309438317517312	0.946311019919638	0.391999103959379
"21-best pop vocal album"	20999	0.308711635462084	0.946353765922886	0.391999103959379
"all of the lights-best rap song"	3869	0.378021430351358	0.932967854472963	0.335617626648161
"all of the lights-song of the year"	3869	0.377523050087217	0.933217044605034	0.335617626648161
"are you gonna kiss me or not-best country song"	551	0.14308426073132	0.389507154213037	0.383437717466945
"black and yellow-best rap song"	6322	0.266230804318078	0.909077086817698	0.406899658878805
"body and soul-best pop duo/group performance"	758	0.205461638491547	0.985695708712614	0.310783107831078
"bon iver-best new artist"	42607	0.444034024948815	0.821580091605631	0.364249563998222
"born this way-album of the year"	35077	0.484158181387639	0.874188965190623	0.425314951559904
"born this way-best pop vocal album"	35077	0.482405872602415	0.874236324887521	0.425314951559904
"chief-best country album"	363	0.211382113821138	0.975609756097561	0.422093023255814
"dearest-best pop duo/group performance"	75	0.454545454545455	1	0.336322869955157
"doo-wops & hooligans-album of the year"	5280	0.408623223909848	0.79421852033317	0.544105523495466
"doo-wops & hooligans-best pop vocal album"	5280	0.408786542544504	0.792748652621264	0.544105523495466
"down by the water-best rock song"	218	0.442922374429224	0.972602739726027	0.325373134328358
"every teardrop is a waterfall-best rock song"	8849	0.412977099236641	0.936641221374046	0.345961373054969
"far away-best r&b song"	910	0.613207547169811	0.824947589098533	0.51792828685259
"firework-best pop solo performance"	18197	0.535411471321696	0.959401496259352	0.459543411283398
"firework-record of the year"	18197	0.537805486284289	0.95930174563591	0.459543411283398
"fool for you-best r&b song"	2932	0.429739075762339	0.569946557686262	0.336585925840891
"fuckin' perfect-best pop solo performance"	1840	0.903866248693835	0.911180773249739	0.361422117462188
"god gave me you-best country song"	2189	0.31621052631579	0.909473684210526	0.338540055675843
"grenade-best pop solo performance"	14313	0.45457118596094	0.738642796490235	0.369177198865102
"grenade-record of the year"	14313	0.454288140390603	0.738465893008774	0.369177198865102
"grenade-song of the year"	14313	0.454712708746108	0.738642796490235	0.369177198865102
"here for a good time-best country album"	703	0.979757085020243	0.98110661268556	0.337008628954938
"holocene-record of the year"	1473	0.424807197943445	0.926092544987147	0.338387319090283
"holocene-song of the year"	1473	0.425449871465296	0.926735218508997	0.338387319090283
"i need a doctor-best rap song"	3077	0.266014515620069	0.668349637109498	0.373331715603009
"j cole-best new artist"	112542	0.389376505008197	0.741417041202908	0.317259226683806
"just fishin-best country song"	342	0.671511627906977	0.98546511627907	0.355509355509356
"lasers-best rap album"	1089	0.370124481327801	0.754356846473029	0.383046078086528
"look at me now-best rap song"	13229	0.189274232163623	0.931390655995622	0.352369283221906
"lotus flower-best rock song"	1630	0.389820359281437	0.968862275449102	0.327177840224809
"loud-album of the year"	7058	0.455534709193246	0.87104440275172	0.237315490400457
"loud-best pop vocal album"	7058	0.456285178236398	0.87104440275172	0.237315490400457
"mean-best country song"	5467	0.343063244422077	0.749203153833249	0.369991878722252
"moves like jagger-best pop duo/group performance"	26753	0.724288370762409	0.975504219711057	0.355616110594178
"my beautiful dark twisted fantasy-best rap album"	746	0.424320827943079	0.433376455368693	0.390575916230366
"my kinda party-best country album"	830	0.36150234741784	0.875586854460094	0.325873576756969
"nicki minaj-best new artist"	436879	0.349874123216746	0.611074386053802	0.369503383541635
"not my daddy-best r&b song"	315	0.34375	0.415625	0.363741339491917
"otis-best rap song"	3733	0.439235668789809	0.910063694267516	0.35107683626446
"own the night-best country album"	968	0.335707019328586	0.983723296032553	0.348828828828829
"paradise-best pop duo/group performance"	52091	0.889179458704258	0.962635906070322	0.343542462193907
"pieces of me-best r&b song"	1382	0.385964912280702	0.972631578947368	0.379357672248147
"pink friday-best rap album"	8467	0.159531808821936	0.956865720169069	0.464225012336203
"pumped up kicks-best pop duo/group performance"	25772	0.965689355566237	0.9833622952638	0.374522255969076
"red river blue-best country album"	265	0.0830188679245283	0.992452830188679	0.507662835249042
"rolling in the deep-record of the year"	64076	0.30278628028721	0.943902508796521	0.351606141419462
"rolling in the deep-song of the year"	64076	0.303558657779558	0.943859598935835	0.351606141419462
"skrillex-best new artist"	246069	0.51174537856108	0.821037380882034	0.38173610195391
"someone like you-best pop solo performance"	157190	0.225685844084191	0.924454435535939	0.346329598082287
"speak now-best country album"	6392	0.430255402750491	0.940359247824867	0.26545952905021
"tha carter iv-best rap album"	1463	0.294290759270159	0.739258387286639	0.354494790404652
"the band perry-best new artist"	18502	0.60520717252558	0.915510080032418	0.374125449913051
"the cave-best rock song"	2435	0.276561878233187	0.960206923995225	0.368939393939394
"the cave-record of the year"	2435	0.275766016713092	0.959808993235177	0.368939393939394
"the cave-song of the year"	2435	0.277755670513331	0.96100278551532	0.368939393939394
"the lady killer-best pop vocal album"	155	0.411392405063291	0.968354430379747	0.406824146981627
"the show goes on-best rap song"	2612	0.187264635398836	0.938719616569668	0.369187279151943
"threaten me with heaven-best country song"	39	0.82051282051282	1	0.3
"walk-best rock song"	5643	0.384966988318944	0.954799390553581	0.381567381161674
"wasting light-album of the year"	1710	0.397515527950311	0.561264822134387	0.290964777947933
"watch the throne-best rap album"	5140	0.336891622941921	0.92201917857789	0.22296447317052
"yo and i-best pop solo performance"	14	0.0714285714285714	1	0.466666666666667
"you and tequila-best country song"	609	0.504012841091493	0.947030497592295	0.358868591632292
"you are-best r&b song"	957	0.298067141403866	0.971515768056968	0.370356037151703
