	NumDistinctTweets_w4	PositiveRatio_w4	NonNegativeRatio_w4	NormalizedNumDistinctTweets_w4
song of the year	"stay with me (darkchild version),0.21236588175991936"	"all about that bass,0.21947704276977942"	"all about that bass,0.20366517352169314"	"stay with me (darkchild version),0.20510567232954216"
song of the year	"shake it off,0.17826024339310145"	"shake it off,0.18457953688673553"	"shake it off,0.1985045138477774"	"all about that bass,0.19337479756075482"
song of the year	"chandelier,0.16635612443292289"	"take me to church,0.11625551089136238"	"chandelier,0.18806904990668044"	"shake it off,0.18201990181733124"
best pop solo performance	"stay with me,0.2603437336202378"	"happy (live version),0.37149103272978107"	"happy (live version),0.20825906985501796"	"chandelier,0.21269212335519563"
best pop solo performance	"shake it off,0.21853292504620817"	"all of me (live version),0.27497460905557813"	"all of me (live version),0.20382736454550143"	"stay with me,0.2060991541546776"
best pop solo performance	"chandelier,0.2039394190184557"	"stay with me,0.13479319044049567"	"stay with me,0.20295532052515358"	"all of me (live version),0.2053150302565909"
best pop solo performance	"all of me (live version),0.18605754641507352"	"chandelier,0.12153927861231457"	"shake it off,0.19668930465836326"	"happy (live version),0.19299213042984442"
best pop solo performance	"happy (live version),0.13112637590002482"	"shake it off,0.09720188916183052"	"chandelier,0.18826894041596381"	"shake it off,0.1829015618036914"
best pop duo/group performance	"a sky full of stars,0.35679903730445245"	"say something,0.3164964396274035"	"a sky full of stars,0.2152438853526256"	"say something,0.29945329879621096"
best pop duo/group performance	"dark horse,0.1897084564052073"	"a sky full of stars,0.2838914126228056"	"say something,0.2144888040425717"	"fancy,0.2564892172182656"
best pop duo/group performance	"bang bang,0.15910458374357292"	"dark horse,0.14605729910829268"	"bang bang,0.20520088022871796"	"dark horse,0.22354080502622156"
best pop duo/group performance	"say something,0.1560414615468767"	"bang bang,0.13977716372451296"	"fancy,0.19329451233854184"	"bang bang,0.17918035047495012"
best pop duo/group performance	"fancy,0.1383464609998906"	"fancy,0.11377768491698516"	"dark horse,0.171771918037543"	"a sky full of stars,0.04133632848435177"
best country song	"american kids,0.43453587353060397"	"meanwhile back at mama's,0.46722251506811235"	"meanwhile back at mama's,0.25431532912974364"	"automatic,0.2723602763951383"
best country song	"meanwhile back at mama's,0.22213214430482367"	"automatic,0.22022143521622223"	"give me back my hometown,0.25253997158303604"	"american kids,0.25067434300640257"
best country song	"give me back my hometown,0.22132144304823673"	"american kids,0.178045315353635"	"automatic,0.25019262192631986"	"give me back my hometown,0.24757644664495573"
best country song	"automatic,0.12201053911633564"	"give me back my hometown,0.1345107343620305"	"american kids,0.2429520773609005"	"meanwhile back at mama's,0.22938893395350327"
best pop vocal album	"x,0.3947875120341081"	"bangerz,0.3339032785343675"	"bangerz,0.17797124667705713"	"bangerz,0.1939366840298589"
best pop vocal album	"bangerz,0.21290056388392242"	"x,0.27840522515893756"	"ghost stories,0.17135223587830203"	"in the lonely hour,0.18844014299686404"
best pop vocal album	"my everything,0.16414523449319213"	"ghost stories,0.11218700707091767"	"prism,0.1712883338661824"	"x,0.16628313560271907"
best pop vocal album	"in the lonely hour,0.11595722734149361"	"my everything,0.1121153171561322"	"x,0.17080724076780401"	"my everything,0.1629098172480044"
best pop vocal album	"ghost stories,0.07865149222940448"	"prism,0.10021192173747386"	"in the lonely hour,0.15870909866321503"	"ghost stories,0.14720845100658822"
best pop vocal album	"prism,0.033557970017879246"	"in the lonely hour,0.0631772503421713"	"my everything,0.14987184414743937"	"prism,0.14122176911596537"
