"candidate"	"NumDistinctTweets_w4"	"PositiveRatio_w4"	"NonNegativeRatio_w4"	"NormalizedNumDistinctTweets_w4"
"0 to 100/the catch up-best rap song"	4794	0.426346433770015	0.947598253275109	0.178527538822478
"12 stories-best country album"	26	0.296296296296296	1	0.1625
"a sky full of stars-best pop duo/group performance"	26092	0.823340108401084	0.98970189701897	0.0465571079349785
"ain't it fun-best rock song"	5407	0.970565846231921	0.98071555442781	0.253552168815944
"all about that bass-record of the year"	50961	0.306835484938762	0.962098642833499	0.325544106655764
"all about that bass-song of the year"	50961	0.306636875206885	0.962181396888448	0.325544106655764
"all of me (live version)-best pop solo performance"	33722	0.723043694965941	0.970949137255833	0.343979191105218
"american kids-best country song"	1072	0.298230088495575	0.948672566371681	0.308844713339095
"anaconda-best rap song"	10499	0.269324127514968	0.832191596094719	0.235927282532977
"automatic-best country song"	301	0.368876080691643	0.976945244956772	0.335562987736901
"bang bang-best pop duo/group performance"	11635	0.405380860483596	0.943523668974912	0.201810833781416
"bangerz-best pop vocal album"	12384	0.903840844498579	0.988518067397483	0.32919535341184
"bastille-best new artist"	66597	0.415158039356952	0.809883638130503	0.356881805710366
"because the internet-best rap album"	744	0.263791374122367	0.471414242728185	0.323478260869565
"beyoncé-album of the year"	10788	0.366082802547771	0.740087579617834	0.197796153352524
"blacc hollywood-best rap album"	810	0.333333333333333	0.923004694835681	0.305660377358491
"blue moon-best rock song"	593	0.337962962962963	0.987654320987654	0.300253164556962
"bound 2-best rap song"	1261	0.219835754895768	0.634870499052432	0.312980888557955
"brandy clark-best new artist"	1083	0.28552544613351	0.933245208195638	0.494520547945206
"chandelier-best pop solo performance"	36963	0.319586631628162	0.896835249165686	0.356338571290851
"chandelier-record of the year"	36963	0.321940445289954	0.901752462637239	0.356338571290851
"chandelier-song of the year"	36963	0.314427587985877	0.88850016928112	0.356338571290851
"dark horse-best pop duo/group performance"	13873	0.423594470046083	0.789815668202765	0.251774014990654
"drunk in love-best r&b song"	7373	0.800745746912142	0.944068981589373	0.204561218544516
"fancy-best pop duo/group performance"	10117	0.329977333825312	0.88877760792789	0.288883812569601
"fancy-record of the year"	10117	0.328923093142164	0.889462864371936	0.288883812569601
"fever-best rock song"	1414	0.497970230040595	0.95872801082544	0.231121281464531
"ghost stories-best pop vocal album"	4575	0.303678357570573	0.951753635585971	0.249877109618221
"gimme something good-best rock song"	340	0.988505747126437	0.994252873563218	0.305206463195691
"girl-album of the year"	1645	0.588840522358528	0.989315393747527	0.289561696884351
"give me back my hometown-best country song"	546	0.225308641975309	0.986111111111111	0.305027932960894
"good kisser-best r&b song"	3018	0.875759978852762	0.983875231297912	0.325461015852475
"haim-best new artist"	24037	0.32230671480727	0.854246929019505	0.328724597248434
"happy (live version)-best pop solo performance"	23766	0.976832915134225	0.992059945691403	0.32333374147994
"i-best rap song"	19941	0.352284432630005	0.668250539956804	0.271070088630308
"iggy azalea-best new artist"	328234	0.212605998096037	0.828599291451839	0.0460847014218648
"in the lonely hour-album of the year"	6745	0.172632758513354	0.883023096557306	0.31986531986532
"in the lonely hour-best pop vocal album"	6745	0.171014131855818	0.881528979642657	0.31986531986532
"lazaretto-best rock song"	2262	0.273581213307241	0.926810176125245	0.306172171088251
"meanwhile back at mama's-best country song"	548	0.782608695652174	0.99304347826087	0.282619907168644
"morning phase-album of the year"	916	0.434869739478958	0.953907815631262	0.268071407667545
"my everything-best pop vocal album"	9548	0.303484300556799	0.832443602548648	0.276529193697868
"new flame-best r&b song"	11276	0.502266141615276	0.972063303365778	0.267883020929846
"nobody's smiling-best rap album"	296	0.946564885496183	0.984732824427481	0.241435562805873
"options (wolfjames version)-best r&b song"	523	0.598173515981735	0.966514459665145	0.373838456040029
"oxymoron-best rap album"	1085	0.329905063291139	0.837025316455696	0.313855944460515
"platinum-best country album"	1070	0.48068669527897	0.971387696709585	0.471158080140907
"prism-best pop vocal album"	1952	0.271263068663464	0.951398700197796	0.239715092717672
"riser-best country album"	195	0.441666666666667	0.929166666666667	0.268595041322314
"sam smith-best new artist"	394968	0.472551714544484	0.780208082906568	0.0534923009539195
"say something-best pop duo/group performance"	11411	0.917901004838109	0.986229996278377	0.337274258859693
"shake it off-best pop solo performance"	39608	0.255591646583756	0.936946376613014	0.306428278545843
"shake it off-record of the year"	39608	0.259790922792962	0.937970000564202	0.306428278545843
"shake it off-song of the year"	39608	0.257880695419484	0.937800739910856	0.306428278545843
"stay with me (darkchild version)-record of the year"	47186	0.356600977922655	0.966439472514447	0.345292890856537
"stay with me (darkchild version)-song of the year"	47186	0.355756408356794	0.966883982812269	0.345292890856537
"stay with me-best pop solo performance"	47186	0.354437694473255	0.966795080752704	0.345292890856537
"take me to church-song of the year"	47474	0.16242348691886	0.968963257739208	0.34988392232008
"the marshall mathers lp 2-best rap album"	228	0.566160520607375	0.984815618221258	0.426966292134831
"the new classic-best rap album"	1534	0.659390289800527	0.834776063229206	0.317138722348563
"the outsiders-best country album"	4	0.25	0.75	0.444444444444444
"the way i'm livin'-best country album"	134	0.146666666666667	1	0.152445961319681
"the worst-best r&b song"	3011	0.0346895074946467	0.0531049250535332	0.346649781257195
"we dem boyz-best rap song"	4854	0.26627412495911	0.921328099443899	0.39901356350185
"x-album of the year"	22964	0.717706843562669	0.948817819432188	0.282255189960545
"x-best pop vocal album"	22964	0.753613486291574	0.948726531357454	0.282255189960545
