"","Month","Prediction","L1","Win1","DWin1"
"1","201311","191.749510534099","11.250489465901","TRUE","TRUE"
"2","201312","160.523287994402","86.5232879944025","TRUE","TRUE"
"3","201401","169.444627810355","56.4446278103555","TRUE","TRUE"
"4","201402","164.620863301208","10.3791366987915","TRUE","TRUE"
"5","201403","181.524658610497","10.475341389503","FALSE","TRUE"
"6","201404","180.887188562703","107.112811437297","FALSE","FALSE"
"7","201405","202.745415528593","14.2545844714075","FALSE","FALSE"
"8","201406","196.687132718396","91.312867281604","FALSE","FALSE"
"9","201407","227.862253436112","18.8622534361125","TRUE","TRUE"
"10","201408","216.432168997103","74.432168997103","TRUE","TRUE"
"11","201409","211.985275927588","36.0147240724125","FALSE","FALSE"
"12","201410","236.596459626107","22.596459626107","FALSE","FALSE"
