#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
all old	201108	2436	200	197	200	2436	1415	149	141	160	1415	396	57	57	54	396	1161	71	70	70	1161
hashtags	201108	6543	1099	972	790	6543	4770	762	675	554	4770	2373	360	309	268	2373	1945	373	328	262	1945
job opening	201108	1150	66	65	64	1150	146	36	33	20	146	131	18	18	22	131	790	29	29	29	790
job opportunity	201108	190	35	34	26	190	360	38	37	44	360	75	18	18	7	75	57	7	7	13	57
job posting	201108	282	34	33	33	282	174	25	21	15	174	84	4	4	6	84	50	12	11	10	50
we are hiring	201108	898	71	71	89	898	739	51	51	81	739	110	18	18	19	110	280	24	24	22	280
all	201109	18966	1665	1503	1573	18966	8811	1269	1139	958	8811	3340	370	345	340	3340	4550	510	451	520	4550
all old	201109	3330	205	196	265	3330	2436	200	197	200	2436	1218	60	54	80	1218	1232	58	56	88	1232
hashtags	201109	16011	1501	1351	1384	16011	6543	1099	972	790	6543	2202	320	303	280	2202	3477	466	410	460	3477
job opening	201109	1324	62	60	75	1324	1150	66	65	64	1150	657	18	17	15	657	208	8	8	6	208
job opportunity	201109	361	36	36	30	361	190	35	34	26	190	91	6	6	3	91	174	12	12	17	174
job posting	201109	405	40	34	42	405	282	34	33	33	282	225	18	13	24	225	203	13	11	15	203
we are hiring	201109	1240	68	67	118	1240	898	71	71	89	898	245	19	19	38	245	647	25	25	50	647
all	201110	20035	1364	1272	1425	20035	18592	1637	1472	1539	18592	6154	408	380	434	6154	5506	383	365	444	5506
all old	201110	4139	205	194	267	4139	3292	199	190	253	3292	2142	73	66	94	2142	798	59	58	96	798
hashtags	201110	16183	1193	1116	1206	16183	15679	1480	1327	1362	15679	4116	343	323	356	4116	4823	340	325	372	4823
job opening	201110	460	58	57	66	460	1310	60	58	66	1310	92	13	13	16	92	189	22	21	41	189
job opportunity	201110	265	33	31	27	265	355	34	34	30	355	109	12	11	12	109	51	9	9	6	51
job posting	201110	350	36	30	15	350	405	40	34	42	405	264	21	15	12	264	35	6	6	3	35
we are hiring	201110	3064	80	78	159	3064	1222	66	65	115	1222	1677	28	28	54	1677	523	24	24	46	523
all	201111	10425	966	908	786	10425	20035	1364	1272	1425	20035	815	203	191	23	815	890	155	146	87	890
all old	201111	2102	162	157	130	2102	4139	205	194	267	4139	422	46	45	3	422	133	23	23	19	133
hashtags	201111	8495	833	785	672	8495	16183	1193	1116	1206	16183	421	169	159	20	421	773	136	128	72	773
job opening	201111	696	41	41	34	696	460	58	57	66	460	48	12	12	0	48	66	8	8	15	66
job opportunity	201111	391	31	31	12	391	265	33	31	27	265	295	10	10	3	295	24	5	5	0	24
job posting	201111	435	33	28	21	435	350	36	30	15	350	18	6	5	0	18	12	4	4	0	12
we are hiring	201111	580	58	58	63	580	3064	80	78	159	3064	61	19	19	0	61	31	6	6	4	31
all	201112	2744	996	929	115	2744	9541	867	818	697	9541	574	216	204	21	574	972	354	325	33	972
all old	201112	842	217	208	25	842	1834	145	144	117	1834	186	51	51	3	186	335	84	82	9	335
hashtags	201112	2082	845	787	94	2082	7875	751	708	592	7875	436	183	171	18	436	693	293	266	24	693
job opening	201112	307	74	72	9	307	693	40	40	34	693	65	15	15	3	65	146	36	35	3	146
job opportunity	201112	286	71	69	10	286	392	31	31	12	392	60	17	17	0	60	101	25	25	3	101
job posting	201112	86	25	22	0	86	399	24	23	21	399	15	5	5	0	15	24	5	5	0	24
we are hiring	201112	163	47	46	6	163	350	51	51	50	350	46	14	14	0	46	64	18	17	3	64
all	201201	12389	1783	1649	777	12389	2748	994	927	115	2748	9450	770	712	678	9450	1572	478	436	76	1572
all old	201201	4362	408	388	187	4362	845	217	208	25	845	3133	142	137	158	3133	619	106	99	26	619
hashtags	201201	8486	1477	1364	630	8486	2087	845	787	94	2087	6501	650	598	552	6501	1057	401	367	58	1057
