#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
we are hiring	201106	10519	7180	6804	728	740	11833	9332	8785	474	299	3030	2153	2071	233	120	3282	2061	1968	205	464
all	201107	1277780	1173920	589720	17484	6054	697071	630369	329509	8078	4878	450432	414667	197324	6015	1555	353504	323238	161400	5034	1402
all old	201107	115403	94177	69215	2487	1431	51764	40998	33016	1468	1264	41523	34399	24223	816	340	34003	26948	19274	671	454
hashtags	201107	1193296	1117129	543715	15561	4826	654840	601486	305331	6905	3722	419863	394474	181321	5383	1247	328137	306624	148223	4514	976
job opening	201107	49580	40544	27298	571	140	18458	14675	11314	292	284	18039	14836	9428	200	36	13692	10797	7101	150	20
job opportunity	201107	23976	19279	14698	593	367	11334	9055	7344	301	122	8069	6578	5147	191	100	7710	6248	4074	167	62
job posting	201107	24238	21960	15649	296	162	11552	10401	7997	156	73	9455	8676	5683	104	51	7017	6121	4527	84	87
we are hiring	201107	17870	12972	12291	1038	766	10561	7189	6807	726	785	6058	4526	4228	324	153	5645	3929	3754	273	285
all	201108	1665222	1564440	729750	19160	8811	1308972	1203557	603538	17962	5986	440887	412366	193036	4795	2709	545987	521094	221895	5251	3034
all old	201108	151186	126006	88044	3220	2436	119224	97518	71408	2569	1415	39924	33812	22523	865	396	47006	39373	27733	953	1161
hashtags	201108	1559349	1492960	672295	16643	6543	1221598	1144835	556073	15970	4770	415276	395046	178576	4134	2373	511749	497433	203543	4497	1945
