	NumDistinctTweets_w2	PositiveRatio_w2	NonNegativeRatio_w2	NormalizedNumDistinctTweets_w2
best rap song	0 to 100/the catch up,0.1129689956033442	we dem boyz,0.2031550526907991	anaconda,0.1999440747139651	we dem boyz,0.20041885574375762
best rap song	we dem boyz,0.10558808119005855	0 to 100/the catch up,0.18456264956337357	i,0.1745693022365827	0 to 100/the catch up,0.19208894313899305
best rap song	bound 2,0.029660341253388615	bound 2,0.14798137867050193	bound 2,0.15722695423462055	anaconda,0.17631801721103188
album of the year	beyoncé,0.7271671505599336	x,0.34440933722937117	girl,0.21061098679678333	beyoncé,0.41300746896581575
album of the year	x,0.1934282685838057	girl,0.2970459636380299	morning phase,0.2082374916454611	in the lonely hour,0.17356015866152952
album of the year	in the lonely hour,0.06205815936218259	morning phase,0.15536800920985855	x,0.20447905541767553	x,0.15471391303439302
album of the year	girl,0.011567353334255034	in the lonely hour,0.13954869026298197	beyoncé,0.19806396613708946	girl,0.1361070995013409
album of the year	morning phase,0.005779068159823033	beyoncé,0.0636279996597584	in the lonely hour,0.1786085000029905	morning phase,0.12261135983692074
best r&b song	new flame,0.4217460252917497	good kisser,0.3444671343349494	good kisser,0.25305244867630267	options (wolfjames version),0.22384865204475712
best r&b song	drunk in love,0.32948399951205626	drunk in love,0.2749117433246956	new flame,0.24965103960695118	the worst,0.2011770956376913
best r&b song	the worst,0.11608994429309152	options (wolfjames version),0.1999094596057842	options (wolfjames version),0.24797968547191857	good kisser,0.1951038773207488
best r&b song	good kisser,0.11145447891676494	new flame,0.16891709008574718	drunk in love,0.23513799704076743	new flame,0.19413468529158137
best r&b song	options (wolfjames version),0.021225551986337576	the worst,0.01179457264882351	the worst,0.014178829204060286	drunk in love,0.18573568970522142
best pop solo performance	stay with me,0.2787710184888845	happy (live version),0.348898655379083	happy (live version),0.21219885583774875	stay with me,0.22440971899144793
best pop solo performance	shake it off,0.24056229843176838	all of me (live version),0.2633465326942398	all of me (live version),0.20775818498131293	shake it off,0.21283582710153376
best pop solo performance	chandelier,0.2074694108668357	chandelier,0.1322857045438663	stay with me,0.19705227611394177	chandelier,0.20835382647802989
best pop solo performance	all of me (live version),0.169083433861001	shake it off,0.12957976611034577	shake it off,0.19666228183973447	all of me (live version),0.1890346640185763
best pop solo performance	happy (live version),0.10411383835151038	stay with me,0.12588934127246515	chandelier,0.18632840122726207	happy (live version),0.16536596341041213
