"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.0237154968367","10.0704998434112","12.4143833011295","10.0815548432425","31","31","32.6462421138798","16.3739040467752","16.3279087400505,16.5745305909822"
"2","mean","10.0477456664","9.61496874180429","12.3752896466644","9.62951367276648","26","26","31.7811560095985","17.1712221663801","16.4025770622315,17.9398672705287"
