"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.0868374569479","10.328463153276","12.416356494538","10.3461876517895","31","31","30.373851549875","16.3821952949464","16.3279087400505,16.7455089329608"
"2","mean","10.3599827087137","10.3351366142612","12.5485529862625","10.3376664066876","22","23","20.5406224863082","16.233646348782","15.6760866170651,16.7912060804988"
