"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.3389074916308","9.44268798138659","12.6284341362203","9.44602073103015","29","29","21.2993303012928","16.4033289500504","16.3149884613489,16.5151881482911"
"2","mean","10.6349362431891","8.89831231720928","13.0771467684929","8.89837419881685","21","21","10.6422952451935","14.0774215663001","13.3347002786836,14.8201428539166"
