"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.5313438819786","8.05544559673015","13.3954920626349","8.0860997882403","27","27","14.3716202487711","17.1161556759615","15.3650545015571,28.4877319298078"
"2","mean","10.3470652315385","7.44523316523147","13.0998646246364","7.47555938616775","24","27","21.005651664613","22.134590001165","15.7182212159686,28.5509587863614"
