"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.0483727329713","9.76166764241782","12.4837199945587","9.76282635983084","31","31","31.7585816130323","16.3739040467752","16.0761457645373,17.1082764589882"
"2","mean","9.97103471976025","9.00265550510265","12.3515023971717","9.00808239543433","27","28","34.5427500886309","18.1064240532107","16.7371956549568,19.4756524514646"
