"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.3633066118163","10.0589879097192","12.7950103268116","10.0752810198495","25","25","20.4209619746142","18.0667855735446","17.8011202048011,18.5869660114366"
"2","mean","10.3196451843521","9.9892028668164","12.7760925792774","10.0031462443076","26","26","21.9927733633239","18.00168326266","17.4561742764834,18.5471922488367"
