"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.6590307260314","8.3933078841663","13.4925048032349","8.44420987791947","26","27","9.77489386286842","16.143775940912","15.3650545015571,17.5934825929539"
"2","mean","10.5250554341845","7.98358301788269","13.2873902104448","8.05316960892791","25","26","14.5980043693594","18.3036822001175","13.9501108765692,22.6572535236657"
