"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.5691932073732","9.34444034982874","13.0136722015738","9.34460924284188","25","25","13.0090445345644","14.4629788090052","14.0144225681378,14.7125275042006"
"2","mean","11.0130779718465","9.43475674878085","13.550584729513","9.43727686176138","22","22","-2.9708069864754","10.5382507097623","10.0329908149766,11.043510604548"
