"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","11.0798008594284","9.65337291104501","14.1173419026662","9.66875751595947","23","25","-5.37283093942228","12.2165526135226","10.0147441236887,15.1944491769145"
"2","mean","11.2445390160408","10.0873586595878","14.1155972468906","10.0960720897151","21","22","-11.3034045774704","12.4577267038444","10.6084956491764,14.3069577585124"
