"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","Prediction","ConfidenceInterval"
"1","median","10.3785295036598","10.0577752692018","12.6453416622881","10.0747669511675","27","27","19.8729378682476","16.9288919234004","16.7886673298343,17.3896880662337"
"2","mean","10.3518808920267","9.25483064314017","12.6365323710809","9.25871066752873","27","27","20.8322878870375","16.9711502978564","16.5063945661035,17.4359060296093"
