"","x"
"1","NumDistinctTweets_Month1_posting_Absolute"
"2","NumDistinctTweets_Month1_posting_AbsoluteDelta"
"3","NumTweets_Month1_opportunity_AbsoluteDelta"
"4","NumTweets_Month2_hashtags_Absolute"
"5","NumTweets_Month1_opportunity_Absolute"
"6","NumPopularTweets_Week2_posting_AbsoluteDelta"
"7","NumTweets_Week1_hashtags_Absolute"
"8","NumVerifiedTweets_Week1_allold_AbsoluteDelta"
"9","NumTweets_Week2_hashtags_AbsoluteDelta"
"10","NumVerifiedTweets_Month2_opening_AbsoluteDelta"
