"","Month","Prediction","L1","Win","DWin"
"1","201301","151.345746478478","5.65425352152201","TRUE","TRUE"
"2","201302","157.674358633886","78.325641366114","FALSE","FALSE"
"3","201303","183.355338033513","95.355338033513","TRUE","TRUE"
"4","201304","146.603954518423","18.396045481577","TRUE","TRUE"
"5","201305","121.656407616934","53.343592383066","FALSE","FALSE"
"6","201306","168.565037557057","26.434962442943","TRUE","TRUE"
"7","201307","178.49412927266","16.49412927266","TRUE","TRUE"
"8","201308","154.687238227302","14.312761772698","FALSE","TRUE"
"9","201309","169.053181344713","21.053181344713","TRUE","TRUE"
"10","201310","137.737432185033","66.262567814967","TRUE","TRUE"
"11","201311","182.046785669475","20.953214330525","FALSE","FALSE"
"12","201312","174.457960302877","100.457960302877","TRUE","TRUE"
"13","201401","163.186672306151","50.186672306151","TRUE","TRUE"
"14","201402","137.568627263564","37.431372736436","FALSE","FALSE"
"15","201403","185.472894126253","6.52710587374699","TRUE","TRUE"
"16","201404","186.096355762561","101.903644237439","FALSE","FALSE"
"17","201405","195.921335864783","21.078664135217","FALSE","FALSE"
"18","201406","184.198514842792","103.801485157208","FALSE","FALSE"
"19","201407","236.275871325221","27.275871325221","FALSE","FALSE"
"20","201408","193.005448295189","51.005448295189","TRUE","TRUE"
"21","201409","249.475084247094","1.475084247094","TRUE","TRUE"
"22","201410","198.927146141036","15.072853858964","TRUE","TRUE"
"23","201411","266.557595343087","733.442404656913","TRUE","TRUE"
