"","Month","Prediction","L1","Win1","DWin1"
"1","201311","188.798001976297","14.201998023703","TRUE","TRUE"
"2","201312","157.709211528675","83.709211528675","TRUE","TRUE"
"3","201401","171.549857452327","58.549857452327","TRUE","TRUE"
"4","201402","181.579472731119","6.57947273111901","TRUE","TRUE"
"5","201403","179.595923379187","12.4040766208125","FALSE","TRUE"
"6","201404","181.260809707141","106.739190292859","FALSE","FALSE"
"7","201405","199.713581225852","17.286418774148","FALSE","FALSE"
"8","201406","179.246388460016","108.753611539984","FALSE","FALSE"
"9","201407","242.570500619689","33.570500619689","FALSE","FALSE"
"10","201408","221.589429527852","79.589429527852","TRUE","TRUE"
"11","201409","177.449937716649","70.550062283351","FALSE","FALSE"
"12","201410","234.510227926007","20.5102279260065","FALSE","FALSE"
