"","Month","Prediction","L1","Win1","DWin1"
"1","201311","189.711015432837","13.2889845671635","TRUE","TRUE"
"2","201312","165.350982103486","91.3509821034861","TRUE","TRUE"
"3","201401","170.228538600245","57.2285386002447","TRUE","TRUE"
"4","201402","171.184392934424","3.81560706557593","TRUE","TRUE"
"5","201403","174.368314362111","17.6316856378889","FALSE","TRUE"
"6","201404","174.556869226983","113.443130773017","FALSE","FALSE"
"7","201405","198.404126286159","18.5958737138411","FALSE","FALSE"
"8","201406","178.931951713315","109.068048286685","FALSE","FALSE"
"9","201407","227.491361547259","18.4913615472585","TRUE","TRUE"
"10","201408","210.162093334282","68.162093334282","TRUE","TRUE"
"11","201409","181.841247451282","66.1587525487177","FALSE","FALSE"
"12","201410","232.860887733056","18.8608877330564","FALSE","FALSE"
