#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
hashtags	201108	2843	665	623	440	2843	2419	466	439	326	2419	979	198	184	128	979	955	214	199	132	955
job opening	201108	1071	53	53	57	1071	128	30	28	20	128	118	14	14	22	118	736	24	24	22	736
job opportunity	201108	142	27	26	14	142	256	28	28	29	256	67	16	16	7	67	33	4	4	7	33
job posting	201108	219	26	25	19	219	96	19	15	9	96	75	3	3	3	75	27	8	7	3	27
we are hiring	201108	521	48	48	55	521	653	38	38	61	653	88	13	13	13	88	271	22	22	19	271
all	201109	11801	1051	983	1016	11801	4608	790	746	553	4608	1659	242	232	208	1659	2807	311	284	340	2807
all old	201109	2229	147	141	196	2229	1889	150	148	137	1889	507	35	31	46	507	877	35	34	60	877
hashtags	201109	9911	939	878	884	9911	2843	665	623	440	2843	1220	215	209	178	1220	2073	287	262	304	2073
job opening	201109	485	38	38	50	485	1071	53	53	57	1071	54	7	7	3	54	34	3	3	3	34
job opportunity	201109	299	28	28	23	299	142	27	26	14	142	87	5	5	3	87	119	6	6	10	119
job posting	201109	360	34	29	30	360	219	26	25	19	219	192	13	9	15	192	185	10	9	12	185
we are hiring	201109	1085	48	47	93	1085	521	48	48	55	521	174	11	11	25	174	539	16	16	35	539
all	201110	11597	918	866	998	11597	11656	1028	961	998	11656	4137	297	273	317	4137	2701	235	223	281	2701
all old	201110	3163	159	150	218	3163	2194	142	136	184	2194	1409	61	54	79	1409	719	47	46	81	719
hashtags	201110	8693	789	749	824	8693	9805	922	862	878	9805	2828	243	227	254	2828	2093	203	194	224	2093
job opening	201110	390	48	47	53	390	471	36	36	41	471	89	12	12	16	89	165	19	18	35	165
job opportunity	201110	176	22	20	21	176	293	26	26	23	293	102	10	9	12	102	21	5	5	3	21
job posting	201110	326	31	25	12	326	360	34	29	30	360	246	18	12	9	246	32	5	5	3	32
we are hiring	201110	2271	60	60	132	2271	1070	47	46	90	1070	972	22	22	42	972	501	20	20	40	501
all	201111	6324	703	657	521	6324	11597	918	866	998	11597	443	154	145	18	443	556	111	107	55	556
all old	201111	1383	130	125	93	1383	3163	159	150	218	3163	140	38	37	0	140	109	18	18	13	109
hashtags	201111	5045	600	564	440	5045	8693	789	749	824	8693	331	128	121	18	331	463	97	94	46	463
job opening	201111	602	33	33	24	602	390	48	47	53	390	45	11	11	0	45	51	6	6	9	51
job opportunity	201111	99	22	22	6	99	176	22	20	21	176	31	8	8	0	31	21	4	4	0	21
