#Field:candidate	MonthId	NumTweets_Lag_0	NumDistinctTweets_Lag_0	NumDistinctUsers_Lag_0	NumPopularTweets_Lag_0	NumVerifiedTweets_Lag_0	NumTweets_Lag_1	NumDistinctTweets_Lag_1	NumDistinctUsers_Lag_1	NumPopularTweets_Lag_1	NumVerifiedTweets_Lag_1	NumTweets_Lag_2	NumDistinctTweets_Lag_2	NumDistinctUsers_Lag_2	NumPopularTweets_Lag_2	NumVerifiedTweets_Lag_2	NumTweets_Lag_3	NumDistinctTweets_Lag_3	NumDistinctUsers_Lag_3	NumPopularTweets_Lag_3	NumVerifiedTweets_Lag_3
job opportunity	201106	7604	7068	5643	247	94	7745	7319	5536	202	82	8761	8493	6272	153	24	11909	11652	8816	161	67
job posting	201106	8638	8385	6726	127	30	8355	8127	6591	118	27	11222	11054	7363	101	6	17594	17421	10243	106	24
we are hiring	201106	6074	3990	3705	603	557	5261	3702	3401	490	288	5322	4227	3992	390	157	6775	5668	5289	406	238
all	201107	1005915	971892	485586	15601	4940	757080	731193	383489	11556	4853	690902	672668	343958	8841	4073	547077	531064	276106	7083	4392
all old	201107	81442	75665	55161	2172	1196	59791	54295	41793	1797	1291	48757	44149	34634	1533	1021	35632	31499	25225	1240	988
hashtags	201107	958145	929075	450564	13896	3904	719665	698553	356633	10129	3730	658283	644013	320209	7615	3236	521983	509633	258127	6075	3492
job opening	201107	35671	34563	23775	521	115	25731	24617	18014	397	132	20086	18840	14003	350	179	13329	12092	9296	263	261
job opportunity	201107	16465	15399	11614	508	284	12115	11287	8802	402	233	9875	9172	7460	319	189	7616	7083	5693	248	95
job posting	201107	19108	18538	13273	253	126	13419	12956	9984	209	90	11606	11315	8837	149	45	8805	8545	6841	131	30
we are hiring	201107	10573	7523	7017	900	675	8842	5717	5411	800	840	7505	5110	4753	723	608	6139	4012	3725	604	602
all	201108	1311945	1277202	595510	16800	8212	1279483	1242382	585779	17744	6759	1193704	1152800	566825	18634	6688	1030135	995485	496271	16023	4857
all old	201108	106554	99512	68789	2804	2107	103920	97218	68456	2595	2062	99989	93216	66140	2610	1561	84074	78212	56768	2240	1171
hashtags	201108	1252982	1224348	553043	14580	6258	1220765	1189514	543001	15691	4818	1136892	1101919	525337	16575	5216	980949	951325	460247	14259	3842
job opening	201108	49918	47905	29745	656	1073	46995	45087	29605	649	974	44411	43045	28377	623	274	36815	35685	24405	540	121
job opportunity	201108	21690	20532	15080	637	168	20414	19236	14487	592	180	20054	18883	14071	593	214	17092	15994	12011	526	277
job posting	201108	22483	21872	15724	294	178	24262	23602	16185	280	185	23033	22375	15713	297	142	19708	19123	13614	258	129
we are hiring	201108	13211	9823	9174	1242	766	12910	9845	9111	1096	797	13030	9421	8724	1109	941	10876	7810	7279	926	648
all	201109	1346840	1304623	609964	16692	18436	1394099	1353231	620200	16622	17019	1328036	1294910	589225	15821	8926	1311945	1277202	595510	16800	8212
all old	201109	103313	94713	64629	2765	3026	108779	101330	67107	2796	2411	105936	99003	66080	2742	2002	106554	99512	68789	2804	2107
hashtags	201109	1289512	1254653	569663	14583	15702	1336066	1301485	578717	14478	14852	1271533	1244321	548843	13680	7108	1252982	1224348	553043	14580	6258
job opening	201109	46584	44236	26487	669	1303	50830	48599	27736	627	1305	50708	48868	28271	624	986	49918	47905	29745	656	1073
job opportunity	201109	22342	21144	15244	590	299	24179	22991	15987	643	243	22117	20989	14982	630	172	21690	20532	15080	637	168
job posting	201109	21453	20747	15365	305	368	21895	21359	15764	302	183	21405	20772	15211	300	226	22483	21872	15724	294	178
we are hiring	201109	13620	9228	8207	1219	1060	12533	8999	8253	1239	684	12478	9027	8433	1214	690	13211	9823	9174	1242	766
all	201110	1030745	993573	505481	13196	18279	1129023	1091507	540992	14428	16981	1241492	1201604	581781	15406	18927	1340552	1299404	604621	16291	18099
all old	201110	73385	65497	48902	2287	3605	81090	72789	53833	2477	3247	91425	82695	59647	2571	3605	101267	92879	63171	2666	2991
hashtags	201110	987007	956753	474715	11409	14962	1080851	1050623	507364	12477	14018	1187545	1155257	544052	13411	15638	1284182	1250219	565065	14254	15404
job opening	201110	32678	31459	20776	525	402	36047	34143	22658	589	968	39306	37061	24219	598	1267	45358	43089	25639	628	1289
job opportunity	201110	13936	12891	10775	511	237	15803	14739	11967	512	253	19696	18513	13972	554	320	21966	20805	14967	569	293
job posting	201110	15259	14575	11423	242	286	16754	16112	12357	275	262	19462	18752	14173	293	325	21230	20530	15180	301	368
we are hiring	201110	12091	7130	6470	1021	2688	13149	8425	7467	1116	1772	13575	8948	7903	1143	1697	13390	9096	8050	1184	1045
all	201111	923862	897493	457144	10788	10173	850767	821447	433210	10443	14926	934931	896125	467899	12668	20531	1030745	993573	505481	13196	18279
all old	201111	64759	58413	43048	2137	1807	59909	52911	40272	1972	3192	64741	57686	44163	2212	2909	73385	65497	48902	2287	3605
hashtags	201111	885247	864240	429557	9109	8574	814497	791259	407417	8924	12018	896001	863216	440009	10964	17958	987007	956753	474715	11409	14962
job opening	201111	30898	29323	19023	497	657	27340	25798	17516	475	711	28776	27534	19013	526	425	32678	31459	20776	525	402
job opportunity	201111	12617	11357	9602	501	382	11406	10493	8885	464	164	12546	11561	9660	504	233	13936	12891	10775	511	237
