#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
all old	201107	32955	30869	26260	758	147	14764	13538	12138	452	176	11766	11197	9314	260	35	9939	9053	7453	215	34
hashtags	201107	501018	487648	301219	6684	1215	269886	264760	168374	2947	713	176118	171737	101675	2291	267	137499	133809	82451	2008	226
job opening	201107	13298	12869	10324	180	13	5334	4802	4268	94	41	4833	4707	3585	68	6	3494	3356	2613	43	1
job opportunity	201107	6085	5784	5024	171	30	2934	2761	2539	100	8	2098	1990	1807	60	18	1908	1831	1395	48	3
job posting	201107	4928	4842	4304	58	4	2346	2281	2095	38	6	1959	1927	1688	23	3	1322	1305	1159	14	0
we are hiring	201107	4302	3558	3497	285	104	2684	1987	1946	194	76	1450	1251	1219	87	8	1313	1080	1066	73	66
all	201108	813246	796672	448813	9256	1983	661682	644006	380645	9240	1225	202539	198785	113531	2195	620	255474	251601	133006	2379	588
all old	201108	41782	39624	32723	1032	210	34075	31952	27110	782	148	10878	10217	8163	304	59	12788	12244	10195	281	53
hashtags	201108	705949	693115	391726	7494	1392	513260	499633	308184	6848	1195	197373	194156	108279	1926	583	249824	246442	126691	2181	390
job opening	201108	18182	17573	13204	246	232	13716	13275	10614	188	14	4656	4586	3253	52	11	5683	5396	4231	62	215
job opportunity	201108	7728	7364	6351	196	24	6302	5987	5196	179	28	2175	2089	1612	49	6	2327	2251	1966	53	10
job posting	201108	5688	5578	4946	65	9	5103	5009	4445	58	5	1386	1357	1244	17	0	1825	1794	1550	20	5
we are hiring	201108	5337	4515	4432	351	92	4452	3696	3632	294	95	1374	1176	1158	85	1	1594	1366	1342	101	40
all	201109	775981	759575	427894	8530	4254	813246	796672	448813	9256	1983	190185	186915	106589	2098	543	200112	196283	111873	2146	878
all old	201109	39001	36383	29951	962	276	41782	39624	32723	1032	210	9679	8689	7353	252	62	9632	9078	7765	233	98
hashtags	201109	760984	746444	410931	7924	3867	705949	693115	391726	7494	1392	186333	183305	102079	1926	598	195903	192386	107143	1961	896
job opening	201109	16335	15734	11757	231	205	18182	17573	13204	246	232	3964	3678	2835	67	181	3789	3693	3007	51	0
job opportunity	201109	7615	7313	6022	177	21	7728	7364	6351	196	24	1567	1523	1348	35	0	1838	1766	1522	41	8
job posting	201109	5253	5127	4585	61	53	5688	5578	4946	65	9	1301	1237	1119	14	51	1449	1373	1256	25	48
we are hiring	201109	5104	4246	4086	315	190	5337	4515	4432	351	92	1427	1241	1184	88	16	1377	1082	1042	70	113
all	201110	617101	602509	358432	6812	4556	771850	755918	424085	8322	4197	156793	152874	91022	1822	1363	166243	161900	95254	1859	1548
all old	201110	29594	27401	23829	822	582	38161	35623	29320	927	271	8113	7419	6354	242	198	7774	7296	6467	238	73
hashtags	201110	557412	545721	325726	5835	3850	756519	742375	407360	7737	3752	139401	136383	81543	1499	966	148435	145429	86303	1614	937
job opening	201110	12138	11810	9484	192	52	15919	15337	11404	216	200	3306	3212	2483	52	11	3225	3118	2659	69	12
job opportunity	201110	4934	4623	4252	172	33	7394	7099	5901	172	21	1262	1168	1096	52	20	1294	1220	1122	41	0
job posting	201110	5538	5405	4843	89	15	5246	5117	4568	63	54	1584	1541	1408	28	3	1354	1329	1188	20	2
we are hiring	201110	4781	3725	3633	345	170	4963	4151	3983	301	190	1357	994	975	102	132	1438	1021	998	103	20
all	201111	557714	546887	323320	5642	2397	617101	602509	358432	6812	4556	176776	173575	98943	1804	114	141591	139340	82846	1248	233
all old	201111	26877	24693	21145	830	383	29594	27401	23829	822	582	9195	8549	6997	274	95	6437	6028	5274	179	16
hashtags	201111	498587	490210	292340	4764	1839	557412	545721	325726	5835	3850	157855	155507	89546	1492	88	126469	124748	75055	1060	148
job opening	201111	11253	10893	8569	179	22	12138	11810	9484	192	52	4016	3928	2835	55	7	2646	2598	2147	36	5
