"","Month","Prediction","L1","Win","DWin"
"1","201309","199.399093354005","51.399093354005","FALSE","FALSE"
"2","201310","149.342956287597","54.657043712403","TRUE","TRUE"
"3","201311","193.680097104861","9.31990289513899","TRUE","TRUE"
"4","201312","156.913746826991","82.9137468269915","TRUE","TRUE"
"5","201401","168.677125867268","55.6771258672675","TRUE","TRUE"
"6","201402","166.15407959697","8.84592040302999","TRUE","TRUE"
"7","201403","180.084821760217","11.9151782397825","FALSE","TRUE"
"8","201404","180.144550208143","107.855449791857","FALSE","FALSE"
"9","201405","201.487690784761","15.512309215239","FALSE","FALSE"
"10","201406","196.495267613082","91.5047323869175","FALSE","FALSE"
"11","201407","224.219769813001","15.2197698130005","TRUE","TRUE"
"12","201408","217.12706196383","75.1270619638295","TRUE","TRUE"
"13","201409","214.268625453385","33.7313745466155","FALSE","FALSE"
"14","201410","236.006739302049","22.0067393020495","FALSE","FALSE"
"15","201411","220.393030500156","779.606969499844","FALSE","FALSE"
