"","Month","Prediction","L1","Win","DWin"
"1","201301","104.488486211451","52.511513788549","FALSE","TRUE"
"2","201302","30.4432864802607","205.556713519739","FALSE","FALSE"
"3","201303","80.6548034796976","7.34519652030239","TRUE","TRUE"
"4","201304","155.0002709224","9.99972907759999","TRUE","TRUE"
"5","201305","113.086354284661","61.913645715339","FALSE","FALSE"
"6","201306","154.643869503747","40.356130496253","FALSE","FALSE"
"7","201307","142.804527957804","19.195472042196","TRUE","TRUE"
"8","201308","315.396065182235","146.396065182235","FALSE","FALSE"
"9","201309","181.919798702131","33.919798702131","FALSE","FALSE"
"10","201310","138.307606326743","65.692393673257","TRUE","TRUE"
"11","201311","244.583848620293","41.583848620293","FALSE","TRUE"
"12","201312","161.551706823478","87.551706823478","TRUE","TRUE"
"13","201401","199.752606864396","86.752606864396","FALSE","FALSE"
"14","201402","146.604633555921","28.395366444079","FALSE","FALSE"
"15","201403","183.753120698348","8.246879301652","FALSE","TRUE"
"16","201404","198.049268186819","89.950731813181","FALSE","FALSE"
"17","201405","210.087339698343","6.91266030165701","FALSE","FALSE"
"18","201406","216.211264970686","71.788735029314","TRUE","TRUE"
"19","201407","193.717277447928","15.282722552072","TRUE","TRUE"
"20","201408","149.046242354492","7.04624235449199","TRUE","TRUE"
"21","201409","296.814086934445","48.814086934445","FALSE","TRUE"
"22","201410","395.166539685351","181.166539685351","FALSE","FALSE"
"23","201411","219.872672002088","101.127327997912","FALSE","FALSE"
"24","201412","251.3934171346","748.6065828654","TRUE","TRUE"
