#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all old	201101	1900.58196226156	0.00565519795243815	336077	832617.695403688	46886	2709	286482	0	313421	42491	3551	1095
all old	201102	63267.0319338173	0.413310111017007	153074	831124.719394709	60035	2923	90116	0	125323	40540	3357	1208
all old	201103	4832.79671899815	0.212262680911725	22768	133916.873661635	7709	664	14395	0	17789	8073	729	819
all old	201104	23231.0357077979	0.214929045193204	108087	628339.786922658	35972	2129	69986	0	89192	30764	2190	1271
all old	201105	13382.7206556611	0.231015374687745	57930	328615.853741389	19961	1152	36817	0	47998	19116	925	357
all old	201106	11482.5984712614	0.175607121662406	65388	366478.376592219	21664	1372	42352	0	52256	21792	1782	1378
all old	201107	19320.4787388807	0.145263480815325	133003	707446.272425638	40398	2679	89926	0	108113	34208	2695	1699
all old	201108	24058.5882087172	0.163209764727508	147409	794113.262382724	46241	4637	96531	0	124498	40499	3231	2487
all old	201109	27976.0557412278	0.21350226461245	131034	729506.171607573	45366	3853	81815	0	108302	36061	2946	3946
all old	201110	13503.9487314781	0.16058732482047	84091	481029.200021205	27158	2147	54786	0	68104	26362	2359	3197
all old	201111	13645.8829570992	0.164186675294774	83112	455439.249004568	27269	1812	54031	0	68935	25505	2296	1664
all old	201112	-5788.60256035867	-0.022210124584596	260629	1015868.48708845	70638	5885	184106	0	231275	52982	4567	988
all old	201201	-228564.996706908	-0.255667546286054	893993	2198726.55098123	161308	38057	694628	0	715212	99018	17059	6274
all old	201202	47066.3346653422	0.0633068957908358	743463	3002449.36775392	183985	38405	521073	0	386853	88971	28003	9394
all old	201203	135989.838399446	0.0493738988614274	2754286	10362746.7875908	320293	22293	2411700	0	903905	104819	27624	7792
all old	201204	203374.713567124	0.195441170147333	1040593	4393033.6011298	381107	48618	610868	0	422587	90451	27726	9940
all old	201205	238352.67366658	0.128714603835949	1851792	7360092.56692199	1037794	50053	763945	0	392538	90055	31268	11811
all old	201206	190662.108291551	0.296431554999295	643191	3225188.87543271	232413	15586	395192	0	310041	88084	24944	6897
all old	201207	197213.825198986	0.0719835986717498	2739705	4113713.01353492	2281383	127139	331183	0	330723	91953	29214	7502
all old	201208	90425.9095290065	0.153978819554145	587262	NaN	225087	20573	341602	0	272577	76190	32060	12174
all old	201209	214731.306450071	0.0721047890310828	2978045	8339309.96578907	346515	14857	2616673	0	360006	75081	36890	15494
all old	201210	206650.791655776	0.0961337277859489	2149618	8873043.99732237	347965	12400	1789253	0	381664	88118	43586	21387
all old	201211	169387.194768128	0.143010001129753	1184443	6289194.02170787	792118	14155	378170	0	330713	89839	37176	10795
all old	201212	172028.511981392	0.423720764988218	405995	NaN	172856	18923	214216	0	301127	73011	13924	10236
all old	201301	288392.275022224	0.530962487383271	543150	NaN	306698	11304	225148	0	410955	134957	12981	15572
all old	201302	216639.899300984	0.471812745529351	459165	NaN	225751	18620	214794	0	373860	117269	15309	29145
all old	201303	218102.815878804	0.489729105113694	445354	NaN	225056	20111	200187	0	377792	103063	16461	14909
all old	201304	219472.343147419	0.474848966337553	462194	NaN	215214	17093	229887	0	391030	113174	16331	16034
all old	201305	245670.902386975	0.491075641776107	500271	NaN	243462	15063	241746	0	424977	127131	16945	20415
all old	201306	166035.241725431	0.400491201255805	414579	NaN	192016	14189	208374	0	341762	113863	16353	21239
all old	201307	157872.282597354	0.362798016778858	435152	NaN	198714	13168	223270	0	343721	121398	21913	23566
all old	201308	145071.625689297	0.305071626342013	475533	NaN	211602	14166	249765	0	351833	121951	35692	32377
all old	201309	144959.794756837	0.298183445522896	486143	3092665.66937131	214839	14127	257177	0	349366	112450	41283	38895
all old	201310	143446.943170653	0.331446990851574	432790	NaN	200658	13826	218306	0	306599	74452	36377	36866
all old	201311	161028.824441816	0.344878242167882	466915	NaN	221631	10840	234444	0	361773	71590	29255	32601
all old	201312	166299.639306105	0.38075051126938	436768	NaN	212519	11971	212278	0	341018	63240	25119	29739
all old	201401	180042.136706989	0.348944567055304	515962	NaN	251482	16062	248418	0	360558	88789	40255	50561
all old	201402	147953.474427275	0.324359078502645	456141	NaN	225506	11862	218773	0	309617	79319	37704	47437
all old	201403	231104.458043427	0.390851210572612	591285	NaN	292053	18882	280350	0	431845	88049	42767	46867
all old	201404	231838.563669432	0.394724315552295	587343	NaN	292706	17563	277074	0	426343	86108	42982	52409
all old	201405	249640.838088726	0.420182348981655	594125	3812112.71418813	305645	18370	270110	0	437219	87863	41866	48036
all old	201406	290191.034868205	0.410148354576157	707527	4605503.83867314	350356	16340	340831	0	535969	138928	42954	62562
all old	201407	331278.805599996	0.449868691318453	736390	4727349.00781288	394298	16850	325242	0	549600	92483	47784	68912
all old	201408	512904.610155471	0.494764562245309	1036664	5558298.49685788	562320	16630	457714	0	833984	86854	47829	86271
all old	201409	454118.48838873	0.521288611080955	871146	4845007.6206538	479637	22085	369424	0	703931	82236	41417	60428
hashtags	201012	-370.189679207443	-0.0338660396310898	10931	64763.4695273284	2693	293	7945	0	10876	1604	42	0
hashtags	201101	-23631.5131805478	-0.0153351506652147	1541003	9118273.24352433	389448	54980	1096575	0	1522511	43916	11958	2551
hashtags	201102	-33433.5214517599	-0.0201082963708197	1662673	9860668.01224333	414995	60304	1187374	0	1636412	47562	12664	7797
hashtags	201103	-8560.18754209767	-0.0346560684932133	247004	1408353.98799821	59401	11505	176098	0	238332	18415	3165	3664
hashtags	201104	-62438.7529513679	-0.0454448376802057	1373946	7937152.12483328	328079	57890	987977	0	1350529	45390	9702	7126
hashtags	201105	-30231.3242089704	-0.0409205491329236	738781	4273662.64749797	177648	25235	535898	0	723968	31848	4264	2100
hashtags	201106	1458.45679245847	0.00191472655747103	761705	4359830.18942588	194457	24668	542580	0	702137	38336	8091	3848
hashtags	201107	41678.0131570631	0.031001084611455	1344405	NaN	371457	44123	928825	0	1261881	59680	17415	5035
hashtags	201108	-9294.14704922669	-0.00601532547174103	1545078	8789963.92176902	398643	51131	1095304	0	1480679	67656	16006	7680
hashtags	201109	-67638.0931822924	-0.0440948425587806	1533923	8779847.28665565	362164	56282	1115477	0	1459617	67764	15693	15123
hashtags	201110	-44328.6667673234	-0.0421547464907932	1051570	6131602.25556562	248526	40256	762788	0	996679	56940	11673	17187
hashtags	201111	-46023.9685650911	-0.0444899549194678	1034480	5860650.73085881	241919	30155	762406	0	992964	50337	9684	5431
hashtags	201112	78549.9991665823	0.0327441058176886	2398905	13492116.8706461	695853	104140	1598912	0	2331003	74947	19089	2259
hashtags	201201	209490.600363576	0.0637954678407924	3283785	18505893.2228738	1017429	170048	2096308	0	2941456	109953	47525	12417
hashtags	201202	189679.28776114	0.0618049967354599	3068996	17322068.1272211	898302	127410	2043284	0	2711987	102916	57456	14194
hashtags	201203	219264.187457967	0.0647896143156035	3384249	18222060.828116	966734	214816	2202699	0	2857881	111239	55295	19344
hashtags	201204	204953.662276485	0.0545803426600232	3755082	19359155.8208695	998463	515599	2241020	0	2758687	148050	56501	12655
hashtags	201205	208772.600178236	0.02387961813884	8742711	37916904.2456382	1327845	1004484	6410382	0	2974168	143912	68733	18524
hashtags	201206	200511.735149237	0.0484545088690092	4138144	19967111.4064507	1803921	145250	2188973	0	2522334	138659	52361	14211
hashtags	201207	242005.778264327	0.0462561294147414	5231864	21258833.4410689	2687086	198274	2346504	0	2805347	182219	62609	14554
hashtags	201208	308733.470699132	0.0417823230400716	7389093	NaN	3079503	229934	4079656	0	3504712	230694	101980	20214
hashtags	201209	296613.200695824	0.0223655872342234	13262035	43587300.3078588	2171698	331315	10759022	0	3261264	216499	127947	23727
hashtags	201210	265838.751764865	0.0340601626148325	7804976	26686407.0739086	4157239	314320	3333417	0	3510573	259079	143247	22239
hashtags	201211	225100.445837248	0.0186108961940874	12095089	43372842.124598	4625840	734269	6734980	0	2987853	254996	114269	28536
hashtags	201212	256180.099257593	0.0814192390802002	3146432	NaN	1037719	225694	1883019	0	2640469	143687	50659	12877
hashtags	201301	368736.78531664	0.116629065262948	3161620	NaN	1084911	165887	1910822	0	3055312	218354	39127	14800
hashtags	201302	365062.418339812	0.122308022918887	2984779	NaN	1051819	162363	1770597	0	2848524	226493	62088	18943
hashtags	201303	379267.428589877	0.12429773078656	3051282	NaN	1079271	160240	1811771	0	2899481	246837	74060	17526
hashtags	201304	308688.145103109	0.0968653109719032	3186777	NaN	1056487	131094	1999196	0	3043096	173437	73622	22337
hashtags	201305	313101.769592585	0.0974837046813349	3211837	NaN	1067540	141907	2002390	0	3071193	159800	71745	46920
hashtags	201306	255992.136939751	0.0956787878245566	2675537	NaN	888565	122499	1664473	0	2525840	162507	69821	47358
hashtags	201307	194162.873326772	0.0743447350366098	2611656	NaN	834605	131867	1645184	0	2411209	166625	92494	61903
hashtags	201308	194579.132550588	0.063687145583804	3055234	NaN	978476	155480	1921278	0	2748485	169331	182261	48975
hashtags	201309	151297.943793171	0.0481726903915896	3140741	17601889.7709411	979458	149645	2011638	0	2799844	149080	218622	41170
hashtags	201310	285148.179050353	0.092606495405647	3079138	NaN	1032621	151568	1894949	0	2783511	93640	183599	38946
hashtags	201311	325109.267431054	0.111596723876883	2913251	NaN	1014873	139608	1758770	0	2698721	85764	133635	34177
hashtags	201312	309372.168227427	0.107643729215629	2874038	NaN	985432	126766	1761840	0	2650606	115489	124988	33239
hashtags	201401	342578.193758557	0.112337735669651	3049538	NaN	1066511	157195	1825832	0	2754574	95058	159735	45987
hashtags	201402	345135.321293287	0.115148164705174	2997315	NaN	1071977	163180	1762158	0	2704713	87370	160805	44733
hashtags	201403	418480.418839776	0.108460641805973	3858362	NaN	1340411	217861	2300090	0	3516102	93880	194594	46038
hashtags	201404	431953.496537745	0.105725245950922	4085623	NaN	1433922	224151	2427550	0	3764354	93890	195791	46050
hashtags	201405	461541.924705992	0.104446558137954	4418929	24465964.9427051	1553181	241937	2623811	0	4044409	92545	226116	48557
hashtags	201406	450239.094438221	0.0860803250575469	5230453	NaN	1776801	274506	3179146	0	4835385	152401	251136	50261
hashtags	201407	605494.426303175	0.103583124007363	5845493	31898762.1087384	2054994	316177	3474322	0	5427295	94635	245879	53225
hashtags	201408	720555.840751061	0.103302564421979	6975198	34867234.7518434	2402821	369431	4202946	0	6580732	90723	228550	47136
hashtags	201409	775691.408914335	0.117027714907	6628271	NaN	2306478	411036	3910757	0	6218246	87221	198516	52585
job opening	201012	46.5272087789968	0.21441110036404	217	1370.72112304503	65	0	152	0	175	73	1	0
job opening	201101	2581.70544187336	0.0666728330632032	38722	233520.921687855	9801	831	28090	0	31637	9894	863	234
job opening	201102	-2143.87597561024	-0.045062131654831	47576	285099.821922113	10030	1205	36341	0	36382	12221	1018	346
job opening	201103	-469.122110244876	-0.0740875095143518	6332	37549.2951361432	1291	151	4890	0	4913	1820	182	172
job opening	201104	-2151.67458924833	-0.056351637881998	38183	221093.468629337	7438	653	30092	0	31178	8694	649	646
job opening	201105	-1694.59947575099	-0.0858285796065127	19744	111194.817153206	3941	407	15396	0	16284	5703	230	127
job opening	201106	-3166.08058341015	-0.12471267118644	25387	135037.653016584	4548	470	20369	0	20560	6125	374	302
job opening	201107	-8841.17994008351	-0.150647150015054	58688	286440.98446363	9508	866	48314	0	47050	9044	625	166
job opening	201108	-9789.70176914883	-0.150796392007838	64920	333229.116242587	10365	2402	52153	0	56710	11523	726	1174
job opening	201109	-5197.56484283101	-0.0997613213595204	52100	269423.759934706	9481	1758	40861	0	44968	9127	642	1321
job opening	201110	-3740.5928073347	-0.108259805722815	34552	181396.810709631	6640	664	27248	0	29494	7282	549	382
