"","Features","L1","medianL1","L2","medianL2","Win","DirectionalWin","WeightedWin","L1_conf","medianL1_conf","L2_conf","medianL2_conf","Win_conf","DirectionalWin_conf","WeightedWin_conf"
"1","IJC+Consensus1+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week1_posting_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta","44.5524165398903","38.5771902654839","56.0348905563527","40.2499945371083","5","6","34.6300107601959","3.06971854489807","4.67207137024502","6.33043198150516","6.21277084756382","0","0","31.7454354655602"
"2","IJC+Consensus1+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta","46.257008882474","38.9306675004071","58.3636397294518","38.9715704493572","5","6","-2.9068178236358","6.80285610691563","6.12106469044757","3.75369263432528","6.24969494040422","0","0","35.5037441482061"
"3","IJC+Consensus1","47.4035044871644","42.2558739450392","59.7285708730003","42.3168811851182","5","5","-9.06308698504075","2.88555606824546","5.47011247391763","5.13388848364168","5.37972542201927","0","0","12.0573030756841"
"4","NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week1_posting_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta","56.5918399216307","44.405887320791","71.267400459543","44.4631413650182","4","6","-100.344745286828","3.99034319250524","4.92389461125183","2.64051651675172","3.93877352442323","0","1","24.4815318760691"
"5","IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta","48.5099261511751","39.5394247071941","59.0464710960268","42.4751718150348","5","5","-46.5518876476407","1.9430469211238","9.57163629832685","5.27517328905135","7.66128421005417","0","1","27.8157337767196"
"6","IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta","44.4873701151974","35.6929551915275","58.253570606013","36.2747051806136","5","6","-7.20624247478883","4.3659459006364","3.65727961200094","2.30861455290561","4.13284007014862","0","0","39.4303436623178"
"7","Consensus1+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta","46.9830462601161","41.8988852513729","56.8229700270044","42.4589263413352","5","5","-1.89937748903863","1.62247444335346","4.31313111390877","2.03541328556324","4.2842124963302","1","0","23.3370081665355"
"8","Consensus1+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta","47.3800977857206","42.2100774646465","57.4174176992619","42.7256865076003","5","5","13.3802846427928","2.84758197430928","4.23502513891734","2.91625752586096","4.67278909459799","0","1","17.577884433318"
