"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","53.3686562885399","49.8329320727761","62.9508397987968","50.1721425887678","6","3","7","6","-25.4238754624785","-208.223875462479","220.500568151858"
"2","mean","54.1441863689328","52.3131467524841","63.7468136422494","52.8374824697866","6","3","7","6","-34.730236427194","-217.530236427194","223.091557358212"
