"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","45.1570826301197","44.6350182327118","55.9692681311492","44.699394642994","8","5","9","7","83.1150084385633","-99.6849915614367","240.539526102935"
"2","mean","43.1453096266282","37.7156835647581","54.892624446086","37.8443584007957","8","5","9","7","107.256284480461","-75.5437155195386","237.40409367242"
