"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","45.0264696339902","44.7572958486035","57.9680756919821","45.2666458516512","10","6","10","7","84.6823643921179","-98.1176356078821","240.239012039797"
"2","mean","42.9365603977933","41.7522073956208","55.8935216030392","41.8319670470711","9","7","9","8","109.76127522648","-73.0387247735196","241.177600971412"
