"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","43.2135286568907","35.666876355063","55.4290056612952","36.8272518910387","9","6","9","7","96.4376561173112","-86.3623438826888","225.170109006747"
"2","mean","41.4613307626473","30.1234059468384","53.8765149614169","30.9791638533556","9","6","9","7","117.464030848232","-65.3359691517677","232.860887733056"
