"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","L1_conf","medianL1_conf","L2_conf","medianL2_conf","Win1_conf","Win2_conf","DirectionalWin1_conf","DirectionalWin2_conf","WeightedWin1_conf","WeightedWin2_conf"
"4945",4945,"IJC+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute+NumPopularTweets_Month1_opening_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta",46.615465969767,39.6535296261701,57.3773530941112,40.0558262596665,5,6,5.5,7,0.0195498641935714,152.896029475445,2.32117229811332,5.66300777199098,5.10130756507024,5.18502816443586,0,1,1,0,78.5888747081295,76.8057689560691
"4949",4949,"IJC+NumPopularTweets_Month1_posting_Absolute+NumPopularTweets_Week2_posting_Absolute+NumPopularTweets_Month1_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",47.5033146743858,40.9637233914125,58.5180582271766,41.1765810004022,5,5,6,7,-7.60178627099753,118.535296137464,2.87678436010691,2.20170783472292,3.63655315839836,2.20301744051224,0,1,0,0,24.1164179752788,69.4872833786618
"4954",4954,"IJC+NumPopularTweets_Month1_hiring_Absolute+NumPopularTweets_Week2_hiring_Absolute+NumPopularTweets_Month1_hiring_AbsoluteDelta+NumPopularTweets_Week2_hiring_AbsoluteDelta",49.4383205177447,47.0623251738047,59.6238685632458,48.1168394717692,5,5.5,6,6,-41.3482893016692,92.5239672671405,2.40723143513114,4.82744562160082,6.49708971326577,3.78364600318735,1,1,1,1,23.6299655102473,67.0039199252818
"4981",4981,"IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",45.9243628224055,35.9549655017479,56.4199177134951,37.537266804469,5,6,6,7,-0.256430357356621,90.6493641864609,4.06809727965153,4.14131968782488,3.53764395957351,3.36535987312518,0,0,0,1,26.7841275495865,70.1360156977783
"4983",4983,"IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week1_allold_AbsoluteDelta+NumPopularTweets_Week2_allold_AbsoluteDelta",49.6899781823856,48.4540758191089,61.5191430294737,49.0919062065773,5,6,6,7,-50.4829152450027,117.260671760213,3.91013741638183,7.28389018244651,3.44838189005232,7.6884052640472,1,0,1,0,32.3464644289142,106.538442237287
"4986",4986,"IJC+NumPopularTweets_Week1_allold_AbsoluteDelta+NumPopularTweets_Week2_allold_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",49.3667709619558,39.3601709214331,65.059605337705,40.9246102205846,5,5,5.5,6,-68.9798886524421,100.289947683449,6.03908939930565,3.46621575609606,6.38072353415262,3.52341111942344,0,0,1,1,52.0957062502996,48.7982319914577
"4991",4991,"IJC+NumPopularTweets_Week1_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",46.6554706959367,40.7556591148475,57.4171227218277,42.2529437552021,5,6,6,7,9.62427024375332,102.472481439224,2.69053142327261,7.69924490620387,1.94252957369336,9.23261161407295,0,0,0,0,22.7641661014258,77.2275905249189
"4993",4993,"IJC+NumPopularTweets_Week1_allold_AbsoluteDelta+NumPopularTweets_Week2_allold_AbsoluteDelta+NumPopularTweets_Week1_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",49.7423046196008,40.1881892798604,63.2215847288285,40.746552901142,5,5,6,7,-13.2236680128971,52.8492473961286,5.4372592004762,8.62221930540593,5.03984534237453,9.47047798378296,0,0,1,0,43.5557638665784,50.099209736751
"5002",5002,"IJC+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",46.9249990728529,40.580535758965,59.6352557733829,41.8140683205772,5.5,6,6,7,-10.6926261737188,161.912710702736,3.92587846572661,9.24508285287658,3.53375028765921,8.75937596545455,1,0,0,0,30.2518852072694,40.5726297675226
"5005",5005,"IJC+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",48.2302326969771,42.0568569218905,59.7066641376434,43.6383451844313,5,5.5,5.5,7,-52.5936133326374,112.626318864921,3.77864733288478,5.66528899898648,4.62951197892374,4.29428006597634,0,1,1,0,29.6379271366035,22.7716757098029
"5012",5012,"IJC+NumPopularTweets_Week1_posting_Absolute+NumPopularTweets_Week2_posting_Absolute+NumPopularTweets_Week1_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",48.4895543141495,39.223657977101,63.1155098876355,39.873349589335,5,5,6,7,-39.0687125920569,183.391872246232,5.89404820021607,3.32887845752045,4.69333876048002,3.01234967137596,1,1,0,0,32.6665790071261,61.90470882987
"5089",5089,"IJC+NumTweets_Week1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute",47.1670331589222,43.8361318410855,59.8389027725563,44.409205646155,5,5.5,6,7,0.524885653217005,93.7034973113984,2.30595136470871,2.66436810689686,1.48789024593827,2.6423519641321,0,1,1,2,43.3976408329616,42.7355386485925
"5092",5092,"IJC+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute",48.3050029556021,42.8227281875167,59.231415462435,43.6511990542547,5.5,5.5,6,7,14.835565920515,92.5501209017923,3.64867379975085,5.62367120319512,2.95036156481395,6.51016777032957,1,1,1,0,61.0309938945019,69.971740690114
