"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","47.3689824795371","46.0296619786354","58.2077129624548","46.227173276123","8","5","9","7","56.5722102455554","-126.227789754445","237.20180118276"
"2","mean","48.1451835486451","46.4297380928443","59.1934446007518","46.8375260152859","8","5","9","7","47.2577974162593","-135.542202583741","237.257911920413"
