,Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2
34,NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta,68.92229556,58.83329054,79.4836835,58.86127294,4,2,6,7,-202.0675468,-384.8675468
35,NumTweets_Month1_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta,69.08845952,59.62267903,78.89364434,59.63707205,4,2,6,7,-204.0615142,-386.8615142
36,NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta,69.04968839,59.51312806,79.49216552,59.54133235,4,2,6,7,-203.5962607,-386.3962607
37,NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta,66.65448952,57.78857526,75.0346778,57.81972912,4,2,6,7,-174.8538742,-357.6538742
38,NumTweets_Month1_opening_Absolute+NumTweets_Month1_opening_AbsoluteDelta,68.73703189,60.54692922,78.97355143,60.56774562,4,2,6,7,-199.8443827,-382.6443827
39,NumTweets_Month1_all_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,67.37134961,60.77138779,76.15777306,60.78330767,4,2,6,7,-183.4561953,-366.2561953
40,NumTweets_Month1_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,68.85802834,61.02700604,78.60225272,61.04850186,4,2,6,7,-201.2963401,-384.0963401
41,NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,67.37866126,60.32232222,75.30625139,60.33111749,4,2,6,7,-183.5439352,-366.3439352
42,NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,68.48735964,58.23097314,78.89329075,58.26235551,4,2,6,7,-196.8483157,-379.6483157
43,NumTweets_Month1_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,64.70415525,55.94940729,72.97684085,55.98445283,4,2,6,7,-151.449863,-334.249863
44,NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,68.86740743,60.81725989,78.84134234,60.81977736,4,2,6,7,-201.4088892,-384.2088892
45,NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,65.73742303,58.65790103,73.88863623,58.665532,4,2,6,7,-163.8490763,-346.6490763
46,NumTweets_Week1_all_Absolute,69.57304936,61.71308944,80.01735035,61.73512561,4,2,6,7,-209.8765923,-392.6765923
47,NumTweets_Week1_allold_Absolute,69.73132574,63.51022991,80.05433696,63.53862204,4,2,6,7,-211.7759089,-394.5759089
48,NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute,70.07404357,63.06249669,80.58771675,63.10575005,4,2,6,7,-215.8885228,-398.6885228
49,NumTweets_Week1_opportunity_Absolute,69.06745818,61.39820616,79.38833675,61.41562839,4,2,6,7,-203.8094982,-386.6094982
50,NumTweets_Week1_all_Absolute+NumTweets_Week1_opportunity_Absolute,69.07527008,61.23241521,79.28879915,61.25173669,4,2,6,7,-203.9032409,-386.7032409
51,NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute,69.26855147,64.03497867,78.66962478,64.07895226,4,2,6,7,-206.2226176,-389.0226176
52,NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute,69.70177448,63.79433551,79.33077996,63.87392053,4,2,6,7,-211.4212937,-394.2212937
53,NumTweets_Week1_opening_Absolute,68.78638739,65.84531993,77.75062549,65.84960656,4,2,6,7,-200.4366487,-383.2366487
54,NumTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute,69.22640444,63.31795792,78.5799048,63.32849796,4,2,6,7,-205.7168533,-388.5168533
55,NumTweets_Week1_allold_Absolute+NumTweets_Week1_opening_Absolute,67.57404224,63.64587814,76.35604946,63.64605035,4,2,6,7,-185.8885069,-368.6885069
56,NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opening_Absolute,68.38144518,62.27687296,77.5947453,62.28010549,4,2,6,7,-195.5773422,-378.3773422
57,NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute,67.99645261,64.29569461,76.79276846,64.29809665,4,2,6,7,-190.9574313,-373.7574313
58,NumTweets_Week1_all_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute,68.89880755,63.06233365,78.15043948,63.07221697,4,2,6,7,-201.7856907,-384.5856907
59,NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute,67.39011996,63.31051913,76.19047824,63.31832969,4,2,6,7,-183.6814395,-366.4814395
60,NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opening_Absolute,67.93911589,60.00768427,77.5307485,60.05971692,4,2,6,7,-190.2693907,-373.0693907
61,NumTweets_Week1_all_AbsoluteDelta,69.44637879,62.33887824,79.76455407,62.35555336,4,2,6,7,-208.3565454,-391.1565454
62,NumTweets_Week1_allold_AbsoluteDelta,69.68000788,62.51054599,79.88599931,62.56697364,4,2,6,7,-211.1600946,-393.9600946
63,NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta,69.84847231,62.43137061,80.11621493,62.50802175,4,2,6,7,-213.1816677,-395.9816677
64,NumTweets_Week1_opportunity_AbsoluteDelta,69.49047604,62.28552577,79.83785849,62.30747583,4,2,6,7,-208.8857125,-391.6857125
65,NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,69.58794074,62.22042619,79.95709579,62.24651978,4,2,6,7,-210.0552889,-392.8552889
66,NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,70.06573764,63.04136923,80.03050781,63.20075475,4,2,6,7,-215.7888517,-398.5888517
67,NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,70.20733957,62.80868938,80.22139909,62.98080851,4,2,6,7,-217.4880748,-400.2880748
68,NumTweets_Week1_opening_AbsoluteDelta,69.22280294,64.18156007,79.18755397,64.19796942,4,2,6,7,-205.6736353,-388.4736353
69,NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.38852171,64.21587758,79.43764584,64.2393139,4,2,6,7,-207.6622605,-390.4622605
70,NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.36935805,64.08945828,79.29363665,64.12110371,4,2,6,7,-207.4322966,-390.2322966
