"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","54.4045874576856","52.2509218591327","63.7302921507483","52.3137042889721","6","3","7","6","-37.8550494922272","-220.655049492227","220.831612278301"
"2","mean","53.3784829724021","53.1097619247597","62.4208710261466","53.2402124559406","5","4","6","6","-25.5417956688258","-208.341795668826","233.588535951639"
