"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"236","IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.02418236,36.64935544,56.08224567,36.64943267,8,4,9,7,96.70981169,-86.09018831,222.4910483
"239","DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",47.20226662,32.63610721,61.0541764,34.17557863,8,4,9,7,58.57280055,-124.2271994,229.9290141
"243","DeltaIJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",42.86771369,16.80539237,58.17374313,16.80660506,8,5,9,8,110.5874358,-72.21256423,231.9912675
"246","DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",48.24894256,28.27469816,61.72585678,28.33076391,8,4,9,6,46.01268929,-136.7873107,272.774291
"247","OneMonthBefore_UnRevised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",49.28613874,40.32171201,61.76829135,42.29367302,7,4,9,7,33.56633515,-149.2336649,225.2897181
"248","OneMonthBefore_UnRevised+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",46.46866562,33.88968217,59.4355477,34.42488215,8,6,10,8,67.37601251,-115.4239875,263.7001943
"249","OneMonthBefore_UnRevised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute",48.37038122,39.88157742,60.83591932,39.94516818,7,5,9,8,44.55542539,-138.2445746,251.8143429
"251","OneMonthBefore_UnRevised+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",45.55450871,24.74680104,60.48172151,25.12767764,7,4,9,7,78.34589551,-104.4541045,182.507509
"253","OneMonthBefore_UnRevised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",45.12182375,30.2890096,59.79577546,30.53403014,8,4,10,6,83.53811502,-99.26188498,247.2883814
"254","OneMonthBefore_UnRevised+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",44.31214476,32.93311054,59.55969092,33.05788692,7,6,9,8,93.25426286,-89.54573714,243.1960585
"259","OneMonthBefore_UnRevised+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.46217243,26.76584294,61.03858531,26.83026795,8,6,9,8,91.45393081,-91.34606919,276.7630925
"266","OneMonthBefore_UnRevised+IJC+NumTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta",47.25727237,46.04826143,58.61251131,46.31397769,8,5,9,6,57.91273159,-124.8872684,263.5507873
"272","OneMonthBefore_UnRevised+IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta",49.39981144,45.47331167,60.13470426,45.47385397,7,4,9,7,32.20226269,-150.5977373,280.7777227
"273","OneMonthBefore_UnRevised+IJC+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",48.4994247,44.77678553,59.1718703,45.09777738,8,4,9,6,43.00690361,-139.7930964,238.8338253
"280","OneMonthBefore_UnRevised+IJC+NumPopularTweets_Week1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",47.49252073,39.13856609,58.48832038,39.25912491,8,4,9,6,55.08975125,-127.7102488,283.6660147
"284","OneMonthBefore_UnRevised+IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",47.93131695,41.85733925,59.89642799,42.2656893,8,3,9,6,49.82419655,-132.9758034,280.3133145
"295","OneMonthBefore_UnRevised+IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",47.32211412,43.3332676,60.07484115,43.42636541,7,5,9,7,57.13463051,-125.6653695,251.901925
"326","OneMonthBefore_UnRevised+IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta",45.2534548,27.50446269,59.58823939,27.51222264,8,5,11,8,81.95854237,-100.8414576,297.4741697
"327","OneMonthBefore_UnRevised+IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta",45.8481882,34.1230437,57.14678135,34.21269485,6,3,10,6,74.82174157,-107.9782584,316.8888513
