"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2"
"2068",2068,"Consensus1+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute",45.9102268881101,34.7983551901074,59.013659748023,35.8717221286257,8,4,9,6,74.0772773426785,-108.722722657322
"2078",2078,"Consensus1+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",46.4226110166635,40.4255128395015,53.6785503720269,40.5378650322176,8,4,9,7,67.9286678000382,-114.871332199962
"2088",2088,"Consensus1+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",44.8998588134359,36.9891440671242,54.4178759952676,37.1391923793481,8,4,10,6,86.2016942387698,-96.5983057612303
"2250",2250,"Consensus1+NumTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",49.5234186436175,46.4445829170555,57.8827378631435,46.615893790507,7,4,9,8,30.71897627659,-152.08102372341
"2260",2260,"Consensus1+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",48.5324809518289,40.0484833747856,60.9207206229122,42.5151267738298,9,4,10,6,42.6102285780537,-140.189771421946
"2280",2280,"Consensus1+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",49.6275040537703,34.8184218448281,66.604788392609,36.7520308145958,7,4,9,5,29.4699513547559,-153.330048645244
"2284",2284,"Consensus1+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",46.6716567872666,34.6371687710266,59.6706294677811,35.7355289787136,8,4,9,6,64.9401185528002,-117.8598814472
"2288",2288,"Consensus1+NumTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",48.0062772170365,40.4732798950443,54.9820452325436,40.4791765845385,7,4,9,7,48.9246733955623,-133.875326604438
"2963",2963,"Consensus1+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.9396877134534,28.2304162241501,59.495337514059,28.673672526638,8,5,9,6,85.7237474385589,-97.0762525614411
"2967",2967,"Consensus1+NumPopularTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta",49.6383263981383,41.1788773374732,58.7484262377326,41.2180350652289,7,3,9,6,29.3400832223406,-153.459916777659
