"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","42.6743320491438","36.1235693135218","54.9916221802902","36.7567367846072","10","7","10","8","112.908015410274","-69.8919845897261","226.753707128157"
"2","mean","42.2780525919865","37.1183155086508","52.7988104211233","37.2178999459828","9","6","10","8","117.663368896162","-65.1366311038384","231.423694471092"
