#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
hashtags	201212	119551.4577	0.076246692	1567956	514473	117916	935567	0	1321514	92705	24426	3449
hashtags	201301	169933.491	0.111367095	1525886	521895	81948	922043	0	1493953	135264	18356	3641
hashtags	201302	176260.2603	0.115976492	1519793	528361	84237	907195	0	1459699	149962	31557	4136
hashtags	201303	177769.9506	0.112564064	1579278	547547	85649	946082	0	1519299	164609	37829	4410
hashtags	201304	132184.9703	0.087622289	1508577	492327	63648	952602	0	1456724	108081	34625	4066
hashtags	201305	137893.046	0.089497353	1540750	505461	69122	966167	0	1492973	102946	33567	11103
hashtags	201306	112996.6091	0.086104332	1312322	429314	61267	821741	0	1263542	104961	33656	11899
hashtags	201307	82254.62251	0.066666253	1233827	391742	63009	779076	0	1166579	103376	42934	12826
hashtags	201308	80901.35395	0.057117428	1416404	448182	74377	893845	0	1293663	102442	84126	10638
hashtags	201309	69006.76664	0.044100966	1564745	485440	76388	1002917	0	1407942	96209	108296	9660
hashtags	201310	123429.5673	0.085190817	1448860	480648	71573	896639	0	1326394	63027	89330	8246
hashtags	201311	131137.455	0.102309342	1281774	440731	62556	778487	0	1196821	55892	59165	7189
hashtags	201312	130093.0908	0.098053886	1326751	450192	59218	817341	0	1235998	74275	58474	7107
