#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	20110218	-1210.35467608296	-0.0400051124139138	30255	177478.077264234	7233	895	22127	0	29856	6323	264	24
all	20110219	-632.29661422084	-0.0419489560287162	15073	92972.4122419359	3543	522	11008	0	14645	3572	86	67
all	20110220	-102.747719637682	-0.0110540849529513	9295	55691.5032551973	2387	313	6595	0	9167	2832	81	2
all	20110221	-490.944268700418	-0.0174533139713612	28129	164241.575976716	7013	853	20263	0	27726	5852	277	31
all	20110222	-907.107573257917	-0.0299227304389879	30315	176091.863070146	7504	940	21871	0	29834	6186	284	161
all	20110223	-485.6947223943	-0.0239506249023275	20279	119536.992843198	5110	642	14527	0	20015	4908	175	30
all	20110224	43.6758850477694	0.00194929416440995	22406	130396.372270211	6049	803	15554	0	22031	5368	194	95
all	20110225	-732.456899060556	-0.0276398829834172	26500	155120.407256778	6517	784	19199	0	26203	5713	170	25
all	20110226	94.0962165743844	0.00460781629569484	20421	121755.170641794	5419	612	14390	0	20253	4083	108	6
all	20110227	46.1628021654449	0.00226577020543069	20374	121673.278845953	5459	600	14315	0	20128	4112	149	13
all	20110228	-193.843166173516	-0.00944286662965295	20528	118651.974704825	5132	630	14766	0	20260	5453	164	159
all	20110301	1.20144380441149	0.0117788608275637	102	1203.64953352038	78	0	24	0	6	6	6	0
all	20110302	0.905913339588969	0.226478334897242	4	25.2352715788668	2	0	2	0	2	2	2	0
all	20110303	-28.5880465039395	-0.025366500890807	1127	6612.11315059959	306	63	758	0	1083	665	21	8
all	20110304	-91.5020436977142	-0.0212350994889102	4309	25156.894291223	1085	160	3064	0	4108	2070	87	62
all	20110305	-25.9168735809404	-0.0104083829642331	2490	14692.7913868341	642	94	1754	0	2416	1163	25	1
all	20110306	25.9493451335326	0.0229437180667839	1131	6165.2993314819	303	39	789	0	1095	640	18	9
all	20110308	2.62531857205747	0.328164821507184	8	54.782603978731	5	0	3	0	3	3	3	0
all	20110309	-18.6481487254237	-0.0188937677055964	987	5911.8106021126	252	67	668	0	885	578	33	0
all	20110310	-78.5454411520411	-0.0222508331875471	3530	20285.6089577628	919	137	2474	0	3342	1794	79	28
all	20110311	-35.1717568257543	-0.0233699380902022	1505	8791.93145217645	417	48	1040	0	1421	870	32	20
all	20110312	-18.9071664289693	-0.0148875326212357	1270	7226.34593938699	329	40	901	0	1238	735	15	8
all	20110313	0.90976094400107	0.454880472000535	2	5.12989871492307	2	0	0	0	1	1	1	0
all	20110314	0.412310472672673	0.0317161902055902	13	88.0078103745668	8	0	5	0	5	5	5	0
all	20110315	0.308055638986686	0.0440079484266695	7	45.4617588289308	3	0	4	0	3	3	3	0
all	20110316	-0.753074632319506	-0.00453659417059943	166	1705.84121406358	3	124	39	0	5	5	5	166
all	20110317	-40.8482679866718	-0.113783476285994	359	2066.59563897709	74	21	264	0	346	255	8	4
all	20110318	-26.0013944713404	-0.0242324272799072	1073	6346.11721903847	276	70	727	0	991	698	27	32
all	20110319	1.006145514919	0.251536378729751	4	16.035274319817	4	0	0	0	2	2	2	0
all	20110320	-0.310566145222217	-0.0776415363055542	4	28.0267809073482	0	0	4	0	1	1	1	0
all	20110321	-0.509246252467601	-0.020369850098704	25	165.337695533017	2	0	23	0	5	5	5	0
all	20110322	1.93250148857994	0.0603906715181231	32	219.491573311547	14	3	15	0	9	9	9	0
