"","Month","Prediction","L1","Win","DWin"
"1","201309","206.997678671594","58.9976786715945","FALSE","FALSE"
"2","201310","149.857344546608","54.142655453392","TRUE","TRUE"
"3","201311","190.493886612482","12.506113387518","TRUE","TRUE"
"4","201312","157.421553314465","83.4215533144655","TRUE","TRUE"
"5","201401","171.500378488527","58.5003784885265","TRUE","TRUE"
"6","201402","164.177748084036","10.8222519159635","TRUE","TRUE"
"7","201403","180.376594388538","11.6234056114625","FALSE","TRUE"
"8","201404","179.905173720046","108.094826279954","FALSE","FALSE"
"9","201405","199.614686997664","17.385313002336","FALSE","FALSE"
"10","201406","195.958192398092","92.0418076019075","FALSE","FALSE"
"11","201407","222.807211568521","13.807211568521","TRUE","TRUE"
"12","201408","214.82020480304","72.8202048030405","TRUE","TRUE"
"13","201409","215.088121135301","32.9118788646995","TRUE","TRUE"
"14","201410","234.737292731443","20.737292731443","FALSE","FALSE"
"15","201411","215.637786333526","784.362213666474","FALSE","FALSE"
