"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","35.7520076433337","15.5227367120075","54.97015788208","15.5967906347534","10","7","10","8","111.975908279996","-4.42409172000403","191.835484527389"
"2","mean","34.8097319182615","14.924110388581","52.9455803013909","15.1375038475365","10","7","10","8","123.283216980862","6.88321698086233","198.783695158555"
