"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","33.2537096055442","12.0333042648098","52.7911862055689","12.4087189739702","10","8","10","8","141.95548473347","25.5554847334696","210.96511999219"
"2","mean","33.3272131921156","14.5163313733079","51.3389745571341","14.6048989550187","10","8","10","8","141.073441694612","24.6734416946122","230.693735925429"
