"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","46.1081083473603","42.4758514322723","58.449526731931","44.1683227023804","8","4","9","6","71.7026998316763","-111.097300168324","197.893901942098"
"2","mean","43.8853823739026","40.8522901851301","56.4488581994386","42.6347451882079","8","5","9","7","98.3754115131685","-84.4245884868316","201.042829211869"
