"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","33.4905007898333","11.487632922169","50.004740138335","12.8381714431766","11","9","11","10","212.113990522001","62.3139905220009","195.87962611929"
"2","mean","33.9751503971549","14.5448808104629","49.232239904395","16.757310333251","10","9","10","10","206.298195234141","56.4981952341414","203.846336786155"
