Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute,46.68031683,26.55860953,69.87197228,28.35916911,8,6,9,9,53.83619804,-95.96380196,329.3718698
NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_allold_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.67679464,35.31606942,57.55201319,35.34033029,6,5,9,7,53.87846437,-95.92153563,163.9043631
NumTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumTweets_Month1_opening_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute,43.57813303,33.93413791,60.96033683,37.0170632,9,6,9,7,91.0624036,-58.7375964,231.5997741
NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute,41.85339798,33.84033525,55.78437538,34.03043184,8,6,9,8,111.7592243,-38.04077573,225.0506422
NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumPopularTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta,49.30942867,45.22965623,57.37929172,46.91049155,8,4,10,6,22.28685597,-127.513144,151.5097233
NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute,44.5590427,30.80820268,57.11000441,30.80832086,8,5,9,7,79.29148756,-70.50851244,226.9530768
NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute,45.66240452,27.89525902,57.63806369,27.99585644,8,5,9,8,66.05114571,-83.74885429,204.616353
IJC+NumPopularTweets_Month1_allold_Absolute,49.09213491,42.25052316,60.22830863,43.79100392,8,5,9,7,24.89438104,-124.905619,227.6300492
IJC+NumPopularTweets_Month1_opening_Absolute,47.05757365,40.50728988,59.16241063,42.27034752,9,5,9,7,49.30911624,-100.4908838,225.8200181
IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Month1_opening_Absolute,49.07194372,36.36145062,61.50959215,39.91728696,8,5,9,7,25.13667536,-124.6633246,221.2544076
IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta,46.76761682,35.645,59.63078026,37.28060939,8,5,9,7,52.78859818,-97.01140182,229.09364
IJC+NumPopularTweets_Week1_opening_Absolute,46.61375935,37.12553728,58.81706295,37.53434138,9,6,9,7,54.63488781,-95.16511219,224.6107276
IJC+NumPopularTweets_Week2_all_Absolute,49.11306968,37.67152518,62.0048701,38.47236421,8,5,9,7,24.64316385,-125.1568362,228.057322
IJC+NumPopularTweets_Week2_allold_Absolute,47.25558885,35.96372915,59.276725,37.72849655,8,5,9,7,46.93293379,-102.8670662,227.932714
IJC+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week2_allold_Absolute,48.58627218,35.53739118,61.5119165,36.86900904,8,5,9,7,30.96473387,-118.8352661,226.4563089
IJC+NumPopularTweets_Week2_opportunity_Absolute,49.50328791,35.29639992,61.68469544,35.68911948,8,5,9,7,19.96054503,-129.839455,228.670004
IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute,44.47319799,22.14330624,59.92175995,22.29719254,8,5,9,7,80.32162416,-69.47837584,227.453986
IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,48.07458265,41.85692203,62.46458799,47.71577192,7,6,9,8,37.10500824,-112.6949918,241.2224155
IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,45.09706699,19.2682936,60.84433748,19.61342502,8,5,9,8,72.83519617,-76.96480383,244.7625586
IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,46.64889123,35.29007697,59.04734819,35.29007862,7,4,9,6,54.21330528,-95.58669472,231.3346036
IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,46.44497642,22.48690271,61.34360604,22.52254346,9,6,9,7,56.66028297,-93.13971703,227.5118178
IJC+NumPopularTweets_Week1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute,45.97995281,35.81935245,59.70877607,38.63195417,8,6,9,8,62.24056633,-87.55943367,224.0585616
IJC+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute,48.1033328,33.06495718,61.39015358,33.08436343,8,5,9,7,36.76000634,-113.0399937,226.7690536
IJC+NumPopularTweets_Week1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,46.72018239,36.57888926,59.00595487,36.99276455,9,6,9,7,53.35781134,-96.44218866,224.6658936
IJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute,44.7438083,20.27794228,60.83653134,20.65163685,8,5,9,7,77.07430045,-72.72569955,229.59566
IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,48.26278791,48.56268122,59.67676731,49.16674503,7,4,9,6,34.84654511,-114.9534549,230.2536148
IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,46.26321124,21.59157757,61.20441842,21.59691012,9,6,9,7,58.84146516,-90.95853484,229.7788601
IJC+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute,47.58285761,41.71495138,59.5569116,43.61767415,9,5,9,7,43.00570874,-106.7942913,225.609073
IJC+NumTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta,47.38217765,37.98068527,60.50515886,39.9983982,8,5,9,7,45.41386815,-104.3861319,225.0678982
IJC+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute,48.93505612,37.27008725,61.92124765,38.44931337,8,5,9,7,26.77932652,-123.0206735,226.5601809
IJC+NumTweets_Week2_allold_Absolute+NumPopularTweets_Week2_allold_Absolute,47.88579909,31.03686161,60.33473846,32.49130911,8,4,9,7,39.37041092,-110.4295891,228.3060693
IJC+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumPopularTweets_Week2_allold_Absolute,48.96438984,33.56570839,61.70446185,34.92314981,8,4,9,7,26.42732198,-123.372678,225.4938264
IJC+NumTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,45.9929163,30.77905831,59.25328399,32.82521282,8,6,9,8,62.08500439,-87.71499561,217.7616903
IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute,42.6132539,21.88413778,58.13179871,21.98250419,8,5,9,7,102.6409532,-47.15904681,218.3635069
IJC+NumTweets_Month1_allold_Absolute+NumPopularTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumPopularTweets_Week2_allold_Absolute,47.28431433,28.22261856,60.82520447,28.38692048,8,5,9,7,46.58822798,-103.211772,226.1952775
IJC+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,49.97303653,36.65644602,62.59990992,37.44402722,8,5,9,7,14.32356165,-135.4764384,218.7896956
IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,49.38178894,40.66565848,63.66370182,44.56326475,7,6,9,8,21.41853274,-128.3814673,233.8137157
IJC+NumTweets_Week1_allold_Absolute+NumPopularTweets_Week1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumPopularTweets_Week2_allold_Absolute,46.45319948,33.64911368,60.91878162,35.54380246,8,6,9,8,56.56160622,-93.23839378,224.0493489
IJC+NumTweets_Week1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute,45.95558841,32.31802946,59.7267102,32.78900214,9,6,9,7,62.53293911,-87.26706089,222.6604486
IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute,45.89562112,30.10914502,59.56300945,32.455022,7,5,9,7,63.25254658,-86.54745342,219.3654449
IJC+NumPopularTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute,47.79105956,32.1869296,65.31474968,33.83733448,9,5,9,8,40.50728525,-109.2927148,237.5174703
IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute,40.31589412,18.79536174,56.21166475,18.823045,9,7,9,8,130.2092706,-19.59072939,227.0983582
DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,37.84243521,15.0537818,53.77758391,15.08008176,8,6,9,9,159.8907774,10.09077742,205.5891277
DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,41.10862558,18.29351235,55.95814079,18.2937659,7,6,9,9,120.696493,-29.10350698,203.6417185
DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,40.03312448,18.7553367,55.4368395,18.75533683,8,5,9,9,133.6025063,-16.19749375,205.9337895
DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,48.43079333,35.83457677,60.99723609,35.88875699,7,5,9,8,32.83048002,-116.96952,203.0428179
DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute,41.66009058,20.90087624,55.74496667,21.97171149,8,7,9,9,114.0789131,-35.7210869,203.6685308
DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,39.30847738,25.49091258,52.70554995,25.55669017,9,4,10,7,142.2982715,-7.501728536,217.5780437
DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,47.67423062,27.15980621,62.99334914,27.70492669,6,5,9,8,41.90923259,-107.8907674,205.54194
DeltaIJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute,45.70134612,32.77309482,60.10175542,32.79943359,9,5,9,8,65.58384651,-84.21615349,204.2547025
DeltaIJC+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,45.99448461,29.88874639,59.00463654,30.28116581,7,6,9,9,62.06618473,-87.73381527,162.9201819
DeltaIJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute,38.08363242,21.97862695,51.91827346,21.98962409,7,6,9,8,156.996411,7.196410989,195.0132212
DeltaIJC+NumVerifiedTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_opening_Absolute+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,44.61691129,17.64265404,64.65604165,17.6943275,8,6,9,7,78.59706458,-71.20293542,187.58076
DeltaIJC+NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute,42.65194788,32.02867767,60.20970877,34.9342854,9,6,9,8,102.1766255,-47.62337454,230.2400991
DeltaIJC+NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute,44.22128438,43.70554264,57.43470413,44.53112048,7,5,9,9,83.34458744,-66.45541256,272.4523961
DeltaIJC+NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute,41.72784606,27.21238966,54.02416628,27.73276238,8,5,9,8,113.2658472,-36.53415276,345.2469247
