"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","32.4470656418181","19.7466632531554","47.2358278497413","20.1168621500074","11","7","11","8","224.635212298183","74.8352122981832","209.537977619762"
"2","mean","34.2890063154398","25.2258605352531","48.7153544515625","27.7285258683193","9","7","9","8","202.531924214722","52.7319242147219","211.165697271851"
