"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"1","median","32.865216544969","15.3429618976676","47.1705848962449","15.3829153672919","10","8","10","8","219.617401460372","71.0174014603721","156.926564306422"
"2","mean","33.4223063401337","15.7136979993187","47.6280800858752","15.7437046496218","10","8","10","8","212.932323918395","64.332323918395","152.850009810481"
