"","Month","Prediction","L1","Win","DWin"
"1","201309","207.420577846441","59.420577846441","FALSE","FALSE"
"2","201310","142.553462801308","61.446537198692","TRUE","TRUE"
"3","201311","199.607671028545","3.39232897145499","TRUE","TRUE"
"4","201312","143.093997854478","69.093997854478","TRUE","TRUE"
"5","201401","166.16294779457","53.16294779457","TRUE","TRUE"
"6","201402","161.282508373557","13.717491626443","TRUE","TRUE"
"7","201403","175.77970058956","16.22029941044","FALSE","TRUE"
"8","201404","170.740623275258","117.259376724742","FALSE","FALSE"
"9","201405","200.802891864983","16.197108135017","FALSE","FALSE"
"10","201406","194.063753053946","93.936246946054","FALSE","FALSE"
"11","201407","224.514495330891","15.514495330891","TRUE","TRUE"
"12","201408","194.698531879205","52.698531879205","TRUE","TRUE"
"13","201409","205.433685676828","42.566314323172","FALSE","FALSE"
"14","201410","218.961109646168","4.96110964616801","TRUE","TRUE"
"15","201411","212.160609088587","787.839390911413","FALSE","FALSE"
