"","Month","Prediction","L1","Win","DWin"
"1","201301","110.882807729653","46.117192270347","FALSE","TRUE"
"2","201302","149.382581232327","86.617418767673","FALSE","FALSE"
"3","201303","147.197197028404","59.197197028404","TRUE","TRUE"
"4","201304","150.217392293532","14.782607706468","TRUE","TRUE"
"5","201305","139.228805780795","35.771194219205","FALSE","FALSE"
"6","201306","188.565206236298","6.434793763702","TRUE","TRUE"
"7","201307","166.613403082458","4.61340308245801","TRUE","TRUE"
"8","201308","167.356554343992","1.643445656008","TRUE","TRUE"
"9","201309","152.55305544084","4.55305544084001","TRUE","TRUE"
"10","201310","174.123120701842","29.876879298158","TRUE","TRUE"
"11","201311","168.90526307958","34.09473692042","FALSE","FALSE"
"12","201312","162.734156935695","88.734156935695","TRUE","TRUE"
"13","201401","127.909543367712","14.909543367712","TRUE","TRUE"
"14","201402","198.954848965942","23.954848965942","TRUE","TRUE"
"15","201403","146.963897884684","45.036102115316","FALSE","TRUE"
"16","201404","157.386784509272","130.613215490728","FALSE","FALSE"
"17","201405","174.033832017735","42.966167982265","FALSE","FALSE"
"18","201406","194.859112498729","93.140887501271","FALSE","FALSE"
"19","201407","211.727684125082","2.72768412508199","TRUE","TRUE"
"20","201408","203.82657914415","61.82657914415","TRUE","TRUE"
"21","201409","193.904621059091","54.095378940909","FALSE","FALSE"
"22","201410","202.367130856126","11.632869143874","TRUE","TRUE"
"23","201411","215.0833407876","105.9166592124","FALSE","FALSE"
"24","201412","226.803985798652","773.196014201348","FALSE","FALSE"
