"","Month","Prediction","L1","Win","DWin"
"1","201301","187.545708508363","30.545708508363","FALSE","FALSE"
"2","201302","228.162773193966","7.83722680603401","TRUE","TRUE"
"3","201303","204.567089948982","116.567089948982","FALSE","FALSE"
"4","201304","132.212890575076","32.787109424924","FALSE","FALSE"
"5","201305","176.739388736134","1.739388736134","TRUE","TRUE"
"6","201306","169.075531884829","25.924468115171","TRUE","TRUE"
"7","201307","221.561588204769","59.561588204769","FALSE","FALSE"
"8","201308","241.020472871737","72.020472871737","FALSE","FALSE"
"9","201309","216.516000162945","68.516000162945","FALSE","FALSE"
"10","201310","148.355869881553","55.644130118447","TRUE","TRUE"
"11","201311","198.365196480912","4.634803519088","TRUE","TRUE"
"12","201312","170.947563308847","96.947563308847","TRUE","TRUE"
"13","201401","146.948888050617","33.948888050617","TRUE","TRUE"
"14","201402","185.914863488431","10.914863488431","TRUE","TRUE"
"15","201403","164.779768191102","27.220231808898","FALSE","TRUE"
"16","201404","206.915936065728","81.084063934272","FALSE","FALSE"
"17","201405","210.740339496654","6.259660503346","FALSE","FALSE"
"18","201406","287.154001987412","0.845998012587984","TRUE","TRUE"
"19","201407","202.649742713235","6.35025728676499","TRUE","TRUE"
"20","201408","220.10702601892","78.10702601892","TRUE","TRUE"
"21","201409","246.039353142659","1.960646857341","TRUE","TRUE"
"22","201410","255.077752888282","41.077752888282","FALSE","FALSE"
"23","201411","188.891932675945","132.108067324055","FALSE","FALSE"
"24","201412","246.173819355129","753.826180644871","TRUE","TRUE"
