"","MonthId","NumTweets_Month1_all","NumDistinctTweets_Month1_all","NumDistinctUsers_Month1_all","NumPopularTweets_Month1_all","NumVerifiedTweets_Month1_all","NumTweets_Month2_all","NumDistinctTweets_Month2_all","NumDistinctUsers_Month2_all","NumPopularTweets_Month2_all","NumVerifiedTweets_Month2_all","NumTweets_Week1_all","NumDistinctTweets_Week1_all","NumDistinctUsers_Week1_all","NumPopularTweets_Week1_all","NumVerifiedTweets_Week1_all","NumTweets_Week2_all","NumDistinctTweets_Week2_all","NumDistinctUsers_Week2_all","NumPopularTweets_Week2_all","NumVerifiedTweets_Week2_all","NumTweets_Month1_allold","NumDistinctTweets_Month1_allold","NumDistinctUsers_Month1_allold","NumPopularTweets_Month1_allold","NumVerifiedTweets_Month1_allold","NumTweets_Month2_allold","NumDistinctTweets_Month2_allold","NumDistinctUsers_Month2_allold","NumPopularTweets_Month2_allold","NumVerifiedTweets_Month2_allold","NumTweets_Week1_allold","NumDistinctTweets_Week1_allold","NumDistinctUsers_Week1_allold","NumPopularTweets_Week1_allold","NumVerifiedTweets_Week1_allold","NumTweets_Week2_allold","NumDistinctTweets_Week2_allold","NumDistinctUsers_Week2_allold","NumPopularTweets_Week2_allold","NumVerifiedTweets_Week2_allold","NumTweets_Month1_opening","NumDistinctTweets_Month1_opening","NumDistinctUsers_Month1_opening","NumPopularTweets_Month1_opening","NumVerifiedTweets_Month1_opening","NumTweets_Month2_opening","NumDistinctTweets_Month2_opening","NumDistinctUsers_Month2_opening","NumPopularTweets_Month2_opening","NumVerifiedTweets_Month2_opening","NumTweets_Week1_opening","NumDistinctTweets_Week1_opening","NumDistinctUsers_Week1_opening","NumPopularTweets_Week1_opening","NumVerifiedTweets_Week1_opening","NumTweets_Week2_opening","NumDistinctTweets_Week2_opening","NumDistinctUsers_Week2_opening","NumPopularTweets_Week2_opening","NumVerifiedTweets_Week2_opening","NumTweets_Month1_posting","NumDistinctTweets_Month1_posting","NumDistinctUsers_Month1_posting","NumPopularTweets_Month1_posting","NumVerifiedTweets_Month1_posting","NumTweets_Month2_posting","NumDistinctTweets_Month2_posting","NumDistinctUsers_Month2_posting","NumPopularTweets_Month2_posting","NumVerifiedTweets_Month2_posting","NumTweets_Week1_posting","NumDistinctTweets_Week1_posting","NumDistinctUsers_Week1_posting","NumPopularTweets_Week1_posting","NumVerifiedTweets_Week1_posting","NumTweets_Week2_posting","NumDistinctTweets_Week2_posting","NumDistinctUsers_Week2_posting","NumPopularTweets_Week2_posting","NumVerifiedTweets_Week2_posting","NumTweets_Month1_opportunity","NumDistinctTweets_Month1_opportunity","NumDistinctUsers_Month1_opportunity","NumPopularTweets_Month1_opportunity","NumVerifiedTweets_Month1_opportunity","NumTweets_Month2_opportunity","NumDistinctTweets_Month2_opportunity","NumDistinctUsers_Month2_opportunity","NumPopularTweets_Month2_opportunity","NumVerifiedTweets_Month2_opportunity","NumTweets_Week1_opportunity","NumDistinctTweets_Week1_opportunity","NumDistinctUsers_Week1_opportunity","NumPopularTweets_Week1_opportunity","NumVerifiedTweets_Week1_opportunity","NumTweets_Week2_opportunity","NumDistinctTweets_Week2_opportunity","NumDistinctUsers_Week2_opportunity","NumPopularTweets_Week2_opportunity","NumVerifiedTweets_Week2_opportunity","NumTweets_Month1_hiring","NumDistinctTweets_Month1_hiring","NumDistinctUsers_Month1_hiring","NumPopularTweets_Month1_hiring","NumVerifiedTweets_Month1_hiring","NumTweets_Month2_hiring","NumDistinctTweets_Month2_hiring","NumDistinctUsers_Month2_hiring","NumPopularTweets_Month2_hiring","NumVerifiedTweets_Month2_hiring","NumTweets_Week1_hiring","NumDistinctTweets_Week1_hiring","NumDistinctUsers_Week1_hiring","NumPopularTweets_Week1_hiring","NumVerifiedTweets_Week1_hiring","NumTweets_Week2_hiring","NumDistinctTweets_Week2_hiring","NumDistinctUsers_Week2_hiring","NumPopularTweets_Week2_hiring","NumVerifiedTweets_Week2_hiring","NumTweets_Month1_hashtags","NumDistinctTweets_Month1_hashtags","NumDistinctUsers_Month1_hashtags","NumPopularTweets_Month1_hashtags","NumVerifiedTweets_Month1_hashtags","NumTweets_Month2_hashtags","NumDistinctTweets_Month2_hashtags","NumDistinctUsers_Month2_hashtags","NumPopularTweets_Month2_hashtags","NumVerifiedTweets_Month2_hashtags","NumTweets_Week1_hashtags","NumDistinctTweets_Week1_hashtags","NumDistinctUsers_Week1_hashtags","NumPopularTweets_Week1_hashtags","NumVerifiedTweets_Week1_hashtags","NumTweets_Week2_hashtags","NumDistinctTweets_Week2_hashtags","NumDistinctUsers_Week2_hashtags","NumPopularTweets_Week2_hashtags","NumVerifiedTweets_Week2_hashtags"
"19",201207,885631,787939,322814,15144,11209,875303,772260,310870,14598,11846,238913,215078,88805,3977,2252,239726,211053,86344,4276,3658,108731,84407,36941,4168,4832,108875,90352,34397,3696,4274,27678,22577,10390,1138,820,33442,23210,10585,1287,2031,33158,26169,10922,872,1783,30995,24843,9893,757,2321,8182,7257,3051,185,263,12092,7342,3244,359,1188,18653,15066,11194,508,597,16575,15036,10346,383,313,4964,4030,3085,172,92,5881,4531,3259,148,61,41157,36482,9009,982,918,47605,44230,8846,966,583,10484,9350,2567,268,99,10583,9361,2425,266,305,16071,7239,6490,1841,1554,14008,6733,5928,1618,1072,4132,2106,1892,522,366,4973,2164,1885,522,477,789563,757442,298872,11572,7203,778666,742938,288760,11497,8070,214575,206414,82002,2992,1623,210171,202206,79419,3174,2015
"20",201208,1122440,1039910,406080,23589,22829,911426,812131,332558,15609,11744,296136,274905,106311,7195,8356,285527,269879,103826,6591,3467,97594,69034,41746,5637,9923,110837,85929,38081,4318,5064,22612,15317,10347,1598,2938,20561,15309,10201,1473,1363,28554,20969,11792,1139,3243,34059,27006,11319,902,1816,5492,4260,2718,288,621,5045,4402,2836,302,168,24002,20881,13089,668,1049,19075,15433,11410,525,615,6466,5916,3373,189,228,6510,5699,3249,144,228,22006,17416,8387,1240,1189,41392,36458,9233,1028,1051,3374,2478,1921,317,323,3650,2690,1912,315,222,23444,10199,9061,2634,4530,16635,7601,6821,1901,1602,7450,2747,2450,824,1850,5439,2613,2328,723,749,1043273,998337,376927,19096,14128,813841,780516,307819,11913,7538,278816,264092,99059,5964,5876,269740,259085,96625,5461,2355
"21",201209,1168664,1021237,391712,27738,23461,1122440,1039910,406080,23589,22829,308053,273743,103997,7467,4918,291206,251551,96719,7114,4635,135123,98698,44636,6388,11659,97594,69034,41746,5637,9923,37570,30629,12698,1672,1559,39261,27745,11602,1750,2267,40818,32404,13310,1349,4337,28554,20969,11792,1139,3243,11422,10426,3994,348,173,12192,9226,3598,395,965,27468,21841,13629,729,1028,24002,20881,13089,668,1049,7228,6518,3840,208,258,9682,5915,3556,218,391,41021,35208,9865,1683,1366,22006,17416,8387,1240,1189,12561,11201,2754,435,343,12428,10419,2561,477,313,26406,9777,8589,2685,5221,23444,10199,9061,2634,4530,6435,2648,2348,689,785,5098,2330,2089,680,655,1053357,978426,361967,22471,15132,1043273,998337,376927,19096,14128,275173,261453,95701,6071,3513,256169,240170,89028,5659,2570
"22",201210,1320909,1155244,430294,32531,25763,1174088,1024508,392842,27996,23530,344291,302599,109874,7849,6087,348350,295276,107172,8657,9905,170287,122610,52644,7923,13531,137596,101367,45381,6506,11638,43612,31918,13699,1909,3258,50354,27277,13056,2224,6658,62874,43576,16723,1714,4849,41942,33456,13603,1374,4351,14423,11261,4305,380,526,26174,11228,4444,653,4035,31129,25021,15774,944,1720,27835,22161,13795,747,1030,8199,6205,4004,228,634,8750,6312,3990,224,506,51370,43622,11301,2092,2587,42354,36424,10082,1715,1412,13763,11744,3094,551,528,9010,7247,2574,514,662,25194,11114,9844,3214,4385,26044,9878,8679,2726,5138,7280,2904,2560,759,1570,6512,2686,2340,848,1465,1170423,1106830,396842,26019,13750,1056396,981022,362653,22625,15222,305605,290196,101256,6280,3169,303469,283454,99000,6805,3761
"23",201211,1217174,1041604,386205,30568,21798,1320909,1155244,430294,32531,25763,274917,248719,92975,6690,2938,324929,287139,102763,8462,4688,153962,104078,47859,7338,6963,170287,122610,52644,7923,13531,27640,21302,10567,1607,1194,35857,27997,12697,2089,2074,44666,37320,14404,1373,1113,62874,43576,16723,1714,4849,9298,8290,3116,264,140,10787,9508,3726,369,390,24948,21232,14423,992,1163,31129,25021,15774,944,1720,5505,4693,3258,214,281,5991,5097,3647,257,402,42159,35835,10694,2014,1564,51370,43622,11301,2092,2587,7810,6245,2412,508,265,12341,10690,2962,580,388,42461,10394,9259,2999,3135,25194,11114,9844,3214,4385,5113,2225,1987,632,508,6811,2886,2609,901,906,1080486,998571,355053,24481,15758,1170423,1106830,396842,26019,13750,251301,239029,86002,5371,1988,293907,275986,94401,6729,2986
"24",201212,1087385,954874,345921,23413,16094,1197429,1023752,379061,29744,21398,266659,244184,87818,4026,3323,291703,263261,95642,6320,4969,120705,99566,43782,5218,7915,149036,100153,46465,7003,6913,29653,25811,10827,949,1769,34559,28809,12663,1350,2493,37878,33293,12937,978,1657,43153,35939,13900,1296,1132,8842,8216,3086,152,200,11238,9580,3855,264,815,21965,19414,13104,670,1016,24450,20793,14140,921,1238,5338,4869,3456,131,134,6065,5273,3685,216,386,42855,37675,9959,1608,1962,40082,34021,10353,1938,1509,11660,10602,2490,260,491,12744,11413,2924,399,484,18427,9919,8712,2010,3343,41616,10077,8956,2886,3046,3945,2322,2041,422,974,4644,2763,2466,487,824,982668,915141,317434,19106,9831,1065080,981859,348710,23925,15388,240579,234565,80849,3258,1886,261601,252024,87361,5191,2876
"25",201301,1066734,969415,350783,16153,16474,1083362,953954,345066,22993,15817,316063,286699,103006,5437,5731,311255,281176,103630,5334,4928,130792,111219,46687,4528,8914,120660,99851,43677,5181,7722,38924,32311,14028,1526,3007,40471,34195,14793,1556,2731,38930,34864,13274,801,1962,37744,33226,12921,967,1608,11143,9618,3788,247,979,12836,11703,4323,285,453,25066,22585,13268,611,1125,21678,19291,13081,664,872,8397,7236,3982,231,606,7170,6371,3894,212,329,48981,43767,11397,1173,2426,43382,38226,9953,1604,1962,13534,12134,3361,359,525,14499,12812,3643,395,685,18283,10874,9852,1982,3405,18278,9847,8658,1994,3343,6015,3603,3228,703,897,6097,3592,3303,677,1264,951400,925772,320361,12431,8934,978589,914390,316664,18718,9743,281759,272999,93815,4164,3069,275559,267924,93979,4053,2520
"26",201302,1222799,1098025,402563,27320,28934,1020226,930332,335911,14776,14143,315456,279430,104845,8645,10512,312092,279209,103330,7977,8189,156143,123890,55404,6777,18474,121778,104576,43852,4074,7634,41870,30051,14594,2040,7770,39011,31336,13895,1844,4454,44033,38672,14861,1206,2933,36274,33084,12446,730,1243,10971,9797,3737,350,440,11612,9984,3869,386,1034,30419,25394,15409,1020,3111,23526,21607,12841,527,740,7548,5360,4056,345,1674,6878,6248,3695,189,250,52354,45881,12998,1665,2857,45849,40833,10604,1084,2499,12389,10857,3301,495,447,13399,11703,3305,492,878,29971,14938,13373,2949,9680,16561,9861,8985,1773,3166,11156,4285,3819,870,5275,7285,3645,3333,797,2323,1086143,1047339,366768,21743,12244,912795,889295,307264,11444,7801,278984,267689,95557,6964,3193,278300,266611,94516,6498,4366
"27",201303,1124224,1007981,399511,33689,21228,1217879,1093059,401339,27629,29030,270934,242385,99125,8508,4370,275589,246545,98364,8622,6130,135092,109960,54832,7317,10226,155310,123036,55080,6811,18609,33115,27509,13261,1792,1891,33314,26783,13426,1855,3149,39939,35303,13638,1220,1641,43890,38501,14790,1225,2946,9411,8456,3254,261,317,9905,8317,3289,348,753,21876,18867,13934,1051,1080,29977,24932,15199,1042,3136,5337,4663,3395,277,148,5484,4711,3363,209,398,46000,38771,12121,2269,3133,52122,45636,12944,1676,2893,12134,10394,3063,599,577,11236,9453,2934,648,795,28068,18161,16452,2857,4492,29951,14950,13369,2932,9749,6421,4296,3889,675,874,6881,4576,4154,667,1203,1013779,967480,367276,28002,12568,1082234,1043097,365944,22059,12235,243541,232499,91323,7103,2817,248111,236438,90467,7080,3206
"28",201304,1162107,1039591,413749,32914,22923,1124224,1007981,399511,33689,21228,356998,322450,124800,9062,5817,360996,324650,125094,9051,6050,144131,117811,55102,7458,11295,135092,109960,54832,7317,10226,43043,36117,16901,2080,2587,44716,37474,17107,2017,2952,44427,38880,14392,1283,2752,39939,35303,13638,1220,1641,13179,11915,4265,315,472,14314,12440,4439,347,1037,21300,18267,13847,942,1100,21876,18867,13934,1051,1080,6459,5540,4233,280,311,6615,5610,4320,264,370,53169,45856,13885,2679,2517,46000,38771,12121,2269,3133,16178,14003,4383,777,803,16636,14726,4257,723,555,25660,15844,14220,2601,4942,28068,18161,16452,2857,4492,7375,4951,4385,727,1005,7282,5025,4499,697,990,1039784,995786,378589,26889,13374,1013779,967480,367276,28002,12568,320842,308960,114037,7421,3769,322629,310826,113918,7369,3620
