"","Month","Prediction","L1","Win1","DWin1"
"1","201311","189.953789751399","13.046210248601","TRUE","TRUE"
"2","201312","181.667896506901","107.667896506901","TRUE","TRUE"
"3","201401","176.479069144984","63.479069144984","TRUE","TRUE"
"4","201402","156.003350385875","18.996649614125","TRUE","TRUE"
"5","201403","188.578158620367","3.42184137963301","TRUE","TRUE"
"6","201404","196.183825006469","91.816174993531","FALSE","FALSE"
"7","201405","210.132120349348","6.86787965065199","FALSE","FALSE"
"8","201406","208.170643762948","79.829356237052","FALSE","FALSE"
"9","201407","235.826057213744","26.826057213744","FALSE","FALSE"
"10","201408","225.265458820828","83.265458820828","TRUE","TRUE"
"11","201409","215.739310291926","32.260689708074","TRUE","TRUE"
"12","201410","235.389228466456","21.389228466456","FALSE","FALSE"
