Label,NumTweets_Month1,NormalizedNumTweets_Month1,NumTweetsText_Month1,NormalizedNumTweetsText_Month1,NumTweetsTitle_Month1,NormalizedNumTweetsTitle_Month1,NumTweetsVerified_Month1,NormalizedNumTweetsVerified_Month1,NumTweets_Month2,NormalizedNumTweets_Month2,NumTweetsText_Month2,NormalizedNumTweetsText_Month2,NumTweetsTitle_Month2,NormalizedNumTweetsTitle_Month2,NumTweetsVerified_Month2,NormalizedNumTweetsVerified_Month2,NumTweets_Month3,NormalizedNumTweets_Month3,NumTweetsText_Month3,NormalizedNumTweetsText_Month3,NumTweetsTitle_Month3,NormalizedNumTweetsTitle_Month3,NumTweetsVerified_Month3,NormalizedNumTweetsVerified_Month3,NumTweets_Month4,NormalizedNumTweets_Month4,NumTweetsText_Month4,NormalizedNumTweetsText_Month4,NumTweetsTitle_Month4,NormalizedNumTweetsTitle_Month4,NumTweetsVerified_Month4,NormalizedNumTweetsVerified_Month4,NumTweets_Week1,NormalizedNumTweets_Week1,NumTweetsText_Week1,NormalizedNumTweetsText_Week1,NumTweetsTitle_Week1,NormalizedNumTweetsTitle_Week1,NumTweetsVerified_Week1,NormalizedNumTweetsVerified_Week1,NumTweets_Week2,NormalizedNumTweets_Week2,NumTweetsText_Week2,NormalizedNumTweetsText_Week2,NumTweetsTitle_Week2,NormalizedNumTweetsTitle_Week2,NumTweetsVerified_Week2,NormalizedNumTweetsVerified_Week2,NumTweets_Week3,NormalizedNumTweets_Week3,NumTweetsText_Week3,NormalizedNumTweetsText_Week3,NumTweetsTitle_Week3,NormalizedNumTweetsTitle_Week3,NumTweetsVerified_Week3,NormalizedNumTweetsVerified_Week3,NumTweets_Week4,NormalizedNumTweets_Week4,NumTweetsText_Week4,NormalizedNumTweetsText_Week4,NumTweetsTitle_Week4,NormalizedNumTweetsTitle_Week4,NumTweetsVerified_Week4,NormalizedNumTweetsVerified_Week4,TwoMonthBefore,ThreeMonthBefore,FourMonthBefore
133188,80850,0.21411093,61959,0.164082858,18891,0.050028071,526,0.001392979,80394,0.247987267,60494,0.186602753,19900,0.061384514,1166,0.003596701,112039,0.39424948,83600,0.29417664,28439,0.10007284,1233,0.004338754,130911,0.409629393,96605,0.302283594,34306,0.1073458,727,0.002274832,20779,0.204842319,16122,0.158932955,4657,0.045909364,24,0.000236595,21921,0.223528572,17052,0.173879349,4869,0.049649223,123,0.001254232,22967,0.236624391,17477,0.180062023,5490,0.056562368,32,0.00032969,16780,0.17917205,12691,0.135510875,4089,0.043661175,307,0.003278058,132632,132468,132285
133414,246571,0.59027959,201026,0.481246963,45545,0.109032627,279,0.000667913,79699,0.211782369,60912,0.161860094,18787,0.049922275,534,0.001418986,77428,0.240133732,58115,0.180236759,19313,0.059896972,1150,0.003566588,112652,0.397705248,84080,0.296835007,28572,0.100870241,1222,0.004314134,110565,0.991605456,99405,0.891516668,11160,0.100088788,55,0.000493269,36151,0.334140548,26687,0.246665619,9464,0.087474929,51,0.000471389,51308,0.486474699,38034,0.360617812,13274,0.125856887,93,0.000881776,48984,0.463223195,36026,0.340684281,12958,0.122538914,79,0.000747073,132828,132632,132468
133657,866771,1.726277823,795069,1.583474738,71702,0.142803085,2458,0.0048954,279675,0.667364236,233554,0.557309688,46121,0.110054549,277,0.000660981,80850,0.21411093,61959,0.164082858,18891,0.050028071,526,0.001392979,80394,0.247987267,60494,0.186602753,19900,0.061384514,1166,0.003596701,202658,1.479266272,179288,1.308681085,23370,0.170585187,1270,0.009270141,390438,2.884505419,370120,2.734398664,20318,0.150106755,1108,0.008185761,84704,0.677480244,68116,0.544805963,16588,0.132674281,183,0.001463672,165899,1.330694388,149462,1.198851377,16437,0.131843011,146,0.001171082,133188,132828,132632
133753,702000,1.2170301,576924,1.000190703,125076,0.216839397,2038,0.003533201,866771,1.726277823,795069,1.583474738,71702,0.142803085,2458,0.0048954,279675,0.667364236,233554,0.557309688,46121,0.110054549,277,0.000660981,80850,0.21411093,61959,0.164082858,18891,0.050028071,526,0.001392979,118132,0.758024153,84953,0.545122624,33179,0.212901528,531,0.003407297,229065,1.487348142,196244,1.27423722,32821,0.213110922,771,0.005006201,121539,0.819868863,92089,0.621207215,29450,0.198661648,279,0.001882058,271038,1.931846044,228770,1.630577334,42268,0.30126871,519,0.003699216,133414,133188,132828
133863,2744911,4.404931437,2641488,4.238962039,103423,0.165969397,1975,0.003169407,698916,1.208628465,574573,0.993603356,124343,0.215025109,1993,0.003446475,842106,1.669040423,769006,1.524157409,73100,0.144883013,2498,0.004950995,306829,0.727350093,259785,0.615830459,47044,0.111519634,277,0.000656639,1878470,11.13332346,1855395,10.99656245,23075,0.136761002,229,0.001357238,396517,2.442268841,362432,2.232328956,34085,0.209939885,646,0.003978911,419384,2.657390158,391098,2.478158385,28286,0.179231773,711,0.00450519,139611,0.891672841,117182,0.748422451,22429,0.14325039,385,0.002458933,133657,133414,133188
133951,968948,1.341156474,743927,1.029696653,225021,0.311459821,2496,0.003454805,2744911,4.404931437,2641488,4.238962039,103423,0.165969397,1975,0.003169407,698916,1.208628465,574573,0.993603356,124343,0.215025109,1993,0.003446475,842106,1.669040423,769006,1.524157409,73100,0.144883013,2498,0.004950995,160482,0.812028477,114694,0.580344177,45788,0.231684301,635,0.003213059,184082,0.974417066,104415,0.55270889,79667,0.421708176,464,0.002456131,265780,1.433139394,152777,0.823804414,113003,0.60933498,674,0.003634344,349658,1.930148601,307420,1.696990439,42238,0.233158162,1008,0.005564265,133753,133657,133414
134111,1749578,2.280076577,1348789,1.757762275,400789,0.522314302,2768,0.0036073,989616,1.364541522,732680,1.010262852,256936,0.35427867,2597,0.003580898,2793489,4.4614376,2690182,4.296447605,103307,0.164989994,2008,0.003206945,688131,1.186220057,565014,0.973987423,123117,0.212232634,1970,0.003395943,538527,2.573679532,494853,2.364956701,43674,0.208722831,221,0.001056183,189270,0.960283717,140951,0.715131559,48319,0.245152158,551,0.002795564,615294,3.216988037,563882,2.948186799,51412,0.268801238,625,0.003267735,359209,1.843657454,124248,0.637708831,234961,1.205948623,1366,0.007011061,133863,133753,133657
134261,602236,0.633499851,410002,0.431286416,192234,0.202213435,1694,0.001781941,1679040,2.183438255,1308380,1.701428759,370660,0.482009496,2657,0.003455186,941001,1.29485156,681280,0.937466029,259721,0.357385531,2566,0.003530909,2955613,4.693952648,2851033,4.527864067,104580,0.166088581,2086,0.003312878,125024,0.50144187,75963,0.304669734,49061,0.196772136,457,0.00183292,144373,0.556511516,84531,0.325839838,59842,0.230671678,680,0.002621181,148286,0.602678372,102037,0.414708691,46249,0.18796968,259,0.001052653,233533,0.970659872,184580,0.767190929,48953,0.203468943,441,0.001832979,133951,133863,133753
134422,2723160,2.514188218,1496475,1.381637441,1226685,1.132550777,2317,0.002139196,602236,0.633499851,410002,0.431286416,192234,0.202213435,1694,0.001781941,1679040,2.183438255,1308380,1.701428759,370660,0.482009496,2657,0.003455186,941001,1.29485156,681280,0.937466029,259721,0.357385531,2566,0.003530909,165838,0.562176052,101506,0.344096301,64332,0.218079751,918,0.003111938,2156335,7.570364311,1094854,3.843764372,1061481,3.726599939,462,0.001621969,189904,0.66338996,138600,0.484170151,51304,0.179219808,409,0.001428756,236221,0.884481022,180068,0.674227646,56153,0.210253376,716,0.002680915,134111,133951,133863
134647,2592453,2.175327438,2461699,2.06561175,130754,0.109715688,3969,0.003330388,2728032,2.504001491,1504167,1.380642313,1223865,1.123359178,2434,0.002234116,609120,0.637386831,415102,0.434365229,194018,0.203021602,1726,0.001806097,1673052,2.165216547,1303260,1.686642207,369792,0.47857434,2614,0.003382965,2199468,7.096385775,2150504,6.938407831,48964,0.157977944,1328,0.004284673,117810,0.381553549,83137,0.269257426,34673,0.112296123,1022,0.003309971,104792,0.338454681,73045,0.235918984,31747,0.102535697,444,0.001434021,165323,0.551067482,144195,0.480641989,21128,0.070425493,1013,0.00337661,134261,134111,133951
134850,2951724,2.302598466,2685511,2.094929441,266213,0.207669025,5658,0.004413726,2592453,2.175327438,2461699,2.06561175,130754,0.109715688,3969,0.003330388,2728032,2.504001491,1504167,1.380642313,1223865,1.123359178,2434,0.002234116,609120,0.637386831,415102,0.434365229,194018,0.203021602,1726,0.001806097,162487,0.479698991,93579,0.276266728,68908,0.203432263,962,0.002840045,169632,0.501202541,99189,0.2930684,70443,0.208134141,808,0.002387354,240691,0.736808432,166378,0.509319888,74313,0.227488543,935,0.002862242,351480,1.062547235,282736,0.854729587,68744,0.207817649,2660,0.008041356,134422,134261,134111
135064,2059733,1.443761022,1694323,1.187628448,365410,0.256132574,5668,0.00397296,890281,0.691109471,620347,0.481564457,269934,0.209545013,5234,0.004063062,2589029,2.170509238,2450752,2.054584887,138277,0.115924351,3844,0.003222613,2728705,2.491269571,1507854,1.376649652,1220851,1.114619919,2468,0.00225325,264168,0.6711125,212981,0.541073148,51187,0.130039352,678,0.001722443,262694,0.701239142,209265,0.558615001,53429,0.142624141,1126,0.003005761,1389484,3.8576418,1276978,3.545289986,112506,0.312351814,3005,0.008342819,236030,0.677476205,86326,0.24778126,149704,0.429694945,1254,0.003599352,134647,134422,134261
135261,1136513,0.489210798,935448,0.402662585,201065,0.086548213,3106,0.001336974,2056572,1.435286646,1691853,1.180748361,364719,0.254538285,5592,0.003902671,899562,0.695434031,629765,0.486859174,269797,0.208574857,5324,0.004115882,2586722,2.161731978,2442792,2.04144921,143930,0.120282769,3829,0.003199908,153506,0.208096043,101725,0.137900603,51781,0.07019544,802,0.001087208,134086,0.208905182,88843,0.13841686,45243,0.070488322,406,0.000632546,159687,0.269595827,107300,0.18115208,52387,0.088443747,748,0.001262831,708171,1.43756331,652401,1.324352085,55770,0.113211224,1165,0.002364911,134850,134647,134422
