Date	INJCJC Index px last	Date	INJCJCNS Index px last	Date	INJCJC Index bn survey median	Date	INJCJC Index actual release
8/23/1996	337	8/23/1996	259.7				
8/30/1996	329	8/30/1996	251.4				
9/6/1996	333	9/6/1996	238.9				
9/13/1996	338	9/13/1996	272.5				
9/20/1996	352	9/20/1996	273.2				
9/27/1996	348	9/27/1996	261.3				
10/4/1996	335	10/4/1996	292				
10/11/1996	334	10/11/1996	306.5				
10/18/1996	335	10/18/1996	271.9				
10/25/1996	352	10/25/1996	312				
11/1/1996	334	11/1/1996	320.8				
11/8/1996	327	11/8/1996	340.2				
11/15/1996	342	11/15/1996	330.7				
11/22/1996	347	11/22/1996	383.5				
11/29/1996	332	11/29/1996	328.2				
12/6/1996	355	12/6/1996	444.3				
12/13/1996	352	12/13/1996	404.4				
12/20/1996	350	12/20/1996	429.6				
12/27/1996	357	12/27/1996	520.6				
1/3/1997	347	1/3/1997	541.2				
1/10/1997	324	1/10/1997	654.5				
1/17/1997	345	1/17/1997	513.9				
1/24/1997	340	1/24/1997	385.3				
1/31/1997	333	1/31/1997	380.1				
2/7/1997	315	2/7/1997	370.8				
2/14/1997	313	2/14/1997	320.4				
2/21/1997	322	2/21/1997	309.2				
2/28/1997	321	2/28/1997	317.3				
3/7/1997	317	3/7/1997	314.8				
3/14/1997	319	3/14/1997	296.7				
3/21/1997	315	3/21/1997	291.5				
3/28/1997	325	3/28/1997	268.8				
4/4/1997	325	4/4/1997	311.2				
4/11/1997	330	4/11/1997	329.7				
4/18/1997	316	4/18/1997	286.6				
4/25/1997	337	4/25/1997	295.2				
5/2/1997	342	5/2/1997	295.6				
5/9/1997	318	5/9/1997	278.1				
5/16/1997	322	5/16/1997	267.3				
5/23/1997	316	5/23/1997	264.7				
5/30/1997	321	5/30/1997	248.2				
6/6/1997	329	6/6/1997	309.9				
6/13/1997	335	6/13/1997	302.6				
6/20/1997	316	6/20/1997	290.7				
6/27/1997	322	6/27/1997	298.3				
7/4/1997	346	7/4/1997	372.6				
7/11/1997	328	7/11/1997	434.6				
7/18/1997	301	7/18/1997	339.3				
7/25/1997	306	7/25/1997	281.8				
8/1/1997	320	8/1/1997	273.5				
8/8/1997	329	8/8/1997	289.1				
8/15/1997	343	8/15/1997	272.9				
8/22/1997	327	8/22/1997	255.2				
8/29/1997	332	8/29/1997	250.2				
9/5/1997	313	9/5/1997	224.9				
9/12/1997	314	9/12/1997	253.5				
9/19/1997	317	9/19/1997	246.1				
9/26/1997	317	9/26/1997	237.2				
10/3/1997	311	10/3/1997	260.7				
10/10/1997	305	10/10/1997	286.4				
10/17/1997	318	10/17/1997	255.6				
10/24/1997	306	10/24/1997	272.6				
10/31/1997	313	10/31/1997	293.1				
11/7/1997	308	11/7/1997	322.8				
11/14/1997	325	11/14/1997	311.5				
11/21/1997	309	11/21/1997	341.8				
11/28/1997	318	11/28/1997	309.8				
12/5/1997	317	12/5/1997	402.7				
12/12/1997	323	12/12/1997	374.1				
12/19/1997	310	12/19/1997	368.8				
12/26/1997	303	12/26/1997	445.3				
1/2/1998	312	1/2/1998	479.9				
1/9/1998	331	1/9/1998	682				
1/16/1998	341	1/16/1998	512.8				
1/23/1998	307	1/23/1998	355.1				
1/30/1998	315	1/30/1998	358				
2/6/1998	311	2/6/1998	368.1				
2/13/1998	321	2/13/1998	328.4				
2/20/1998	327	2/20/1998	313.4				
2/27/1998	317	2/27/1998	313.5				
3/6/1998	308	3/6/1998	305.5				
3/13/1998	319	3/13/1998	298.3				
3/20/1998	321	3/20/1998	293.7				
3/27/1998	312	3/27/1998	272.8				
4/3/1998	312	4/3/1998	288.5				
4/10/1998	304	4/10/1998	294				
4/17/1998	317	4/17/1998	288.1				
4/24/1998	311	4/24/1998	278.2				
5/1/1998	304	5/1/1998	261.1				
5/8/1998	306	5/8/1998	270.1				
5/15/1998	315	5/15/1998	262.1				
5/22/1998	309	5/22/1998	259.1				
5/29/1998	322	5/29/1998	248.6				
6/5/1998	306	6/5/1998	289.5				
6/12/1998	321	6/12/1998	293.2				
6/19/1998	349	6/19/1998	322				
6/26/1998	376	6/26/1998	348.8				
7/3/1998	362	7/3/1998	379.7				
7/10/1998	320	7/10/1998	429				
7/17/1998	315	7/17/1998	364.8				
7/24/1998	335	7/24/1998	314.8				
7/31/1998	327	7/31/1998	277.6				
8/7/1998	316	8/7/1998	279.6				
8/14/1998	308	8/14/1998	246.8				
8/21/1998	302	8/21/1998	238				
8/28/1998	310	8/28/1998	233.5				
9/4/1998	313	9/4/1998	255.9				
9/11/1998	304	9/11/1998	217.5				
9/18/1998	305	9/18/1998	237.6				
9/25/1998	294	9/25/1998	220.7				
10/2/1998	302	10/2/1998	246.3				
10/9/1998	316	10/9/1998	300.9				
10/16/1998	318	10/16/1998	257.2				
10/23/1998	309	10/23/1998	275.6				
10/30/1998	308	10/30/1998	281.9				
11/6/1998	316	11/6/1998	332.6				
11/13/1998	334	11/13/1998	315.5				
11/20/1998	304	11/20/1998	338.5				
11/27/1998	310	11/27/1998	295				
12/4/1998	326	12/4/1998	421.6				
12/11/1998	305	12/11/1998	355.9				
12/18/1998	297	12/18/1998	344.5				
12/25/1998	336	12/25/1998	442.2				
1/1/1999	331	1/1/1999	509				
1/8/1999	345	1/8/1999	713.8				
1/15/1999	339	1/15/1999	514.1				
1/22/1999	311	1/22/1999	364.7				
1/29/1999	305	1/29/1999	349.7				
2/5/1999	291	2/5/1999	344.9				
2/12/1999	312	2/12/1999	320.7				
2/19/1999	302	2/19/1999	286.1				
2/26/1999	301	2/26/1999	297.9				
3/5/1999	300	3/5/1999	297.3				
3/12/1999	308	3/12/1999	289.8				
3/19/1999	305	3/19/1999	275.5				
3/26/1999	298	3/26/1999	260.8				
4/2/1999	310	4/2/1999	263.5				
4/9/1999	319	4/9/1999	327.6				
4/16/1999	314	4/16/1999	286				
4/23/1999	291	4/23/1999	263.8				
4/30/1999	296	4/30/1999	252.2				
5/7/1999	310	5/7/1999	274.3				
5/14/1999	301	5/14/1999	251.1				
5/21/1999	298	5/21/1999	250.4				
5/28/1999	303	5/28/1999	260.5				
6/4/1999	303	6/4/1999	256.9				
6/11/1999	290	6/11/1999	267.6				
6/18/1999	292	6/18/1999	267.8				
6/25/1999	291	6/25/1999	269.8				
7/2/1999	287	7/2/1999	303.8				
7/9/1999	288	7/9/1999	364.1				
7/16/1999	309	7/16/1999	369.1				
7/23/1999	306	7/23/1999	293.3				
7/30/1999	300	7/30/1999	254.2				
8/6/1999	295	8/6/1999	259.8				
8/13/1999	292	8/13/1999	236.7				
8/20/1999	286	8/20/1999	226.1				
8/27/1999	290	8/27/1999	219.3				
9/3/1999	290	9/3/1999	235.8				
9/10/1999	281	9/10/1999	204.3				
9/17/1999	281	9/17/1999	219.1				
9/24/1999	306	9/24/1999	232.5				
10/1/1999	309	10/1/1999	246.4				
10/8/1999	291	10/8/1999	278.9				
10/15/1999	287	10/15/1999	234.6				
10/22/1999	280	10/22/1999	250.9				
10/29/1999	285	10/29/1999	257.8				
11/5/1999	282	11/5/1999	297.1				
11/12/1999	281	11/12/1999	262.6				
11/19/1999	276	11/19/1999	309.2				
11/26/1999	288	11/26/1999	268.3				
12/3/1999	287	12/3/1999	378.7				
12/10/1999	272	12/10/1999	318.2				
12/17/1999	287	12/17/1999	329.6				
12/24/1999	268	12/24/1999	377.7				
12/31/1999	286	12/31/1999	439.9				
1/7/2000	298	1/7/2000	606.9				
1/14/2000	289	1/14/2000	442.5				
1/21/2000	284	1/21/2000	328.8				
1/28/2000	285	1/28/2000	332.7				
2/4/2000	312	2/4/2000	365.2				
2/11/2000	300	2/11/2000	311.9				
2/18/2000	283	2/18/2000	281.3				
2/25/2000	280	2/25/2000	259				
3/3/2000	286	3/3/2000	283				
3/10/2000	270	3/10/2000	255.1				
3/17/2000	271	3/17/2000	242.1				
3/24/2000	272	3/24/2000	239.8				
3/31/2000	266	3/31/2000	229.5				
4/7/2000	268	4/7/2000	274.1				
4/14/2000	259	4/14/2000	237.2				
4/21/2000	274	4/21/2000	240.3				
4/28/2000	291	4/28/2000	249.5				
5/5/2000	293	5/5/2000	259.5				
5/12/2000	276	5/12/2000	231.7				
5/19/2000	280	5/19/2000	234.6				
5/26/2000	280	5/26/2000	239.8				
6/2/2000	290	6/2/2000	243				
6/9/2000	284	6/9/2000	267.8				
6/16/2000	294	6/16/2000	265.6				
6/23/2000	296	6/23/2000	273.3				
6/30/2000	281	6/30/2000	281				
7/7/2000	293	7/7/2000	363.8				
7/14/2000	303	7/14/2000	378				
7/21/2000	300	7/21/2000	296.3				
7/28/2000	298	7/28/2000	253.5				
8/4/2000	306	8/4/2000	266.2				
8/11/2000	315	8/11/2000	261.4				
8/18/2000	318	8/18/2000	251.8				
8/25/2000	312	8/25/2000	239				
9/1/2000	301	9/1/2000	242.4				
9/8/2000	309	9/8/2000	230				
9/15/2000	311	9/15/2000	246				
9/22/2000	288	9/22/2000	222.2				
9/29/2000	292	9/29/2000	227.2				
10/6/2000	309	10/6/2000	292.8				
10/13/2000	299	10/13/2000	255.1				
10/20/2000	295	10/20/2000	263.4				
10/27/2000	301	10/27/2000	269.5				
11/3/2000	331	11/3/2000	342.4				
11/10/2000	318	11/10/2000	294.7				
11/17/2000	332	11/17/2000	374.2				
11/24/2000	356	11/24/2000	321.9				
12/1/2000	338	12/1/2000	447.3				
12/8/2000	321	12/8/2000	390.1				
12/15/2000	354	12/15/2000	402.5				
12/22/2000	364	12/22/2000	481.7				
12/29/2000	353	12/29/2000	569				
1/5/2001	337	1/5/2001	558.8				
1/12/2001	318	1/12/2001	599.6				
1/19/2001	343	1/19/2001	398.2				
1/26/2001	362	1/26/2001	447.4				
2/2/2001	376	2/2/2001	424.7				
2/9/2001	365	2/9/2001	396.2				
2/16/2001	358	2/16/2001	345.8				
2/23/2001	386	2/23/2001	357.6				
3/2/2001	384	3/2/2001	379.3				
3/9/2001	375	3/9/2001	377.2				
3/16/2001	393	3/16/2001	351.5				
3/23/2001	378	3/23/2001	334.7				
3/30/2001	388	3/30/2001	328.6				
4/6/2001	398	4/6/2001	397.3				
4/13/2001	383	4/13/2001	347				
4/20/2001	400	4/20/2001	369.7				
4/27/2001	406	4/27/2001	353.8				
5/4/2001	381	5/4/2001	336.3				
5/11/2001	390	5/11/2001	331.8				
5/18/2001	402	5/18/2001	338.4				
5/25/2001	405	5/25/2001	346.2				
6/1/2001	406	6/1/2001	335.8				
6/8/2001	411	6/8/2001	397				
6/15/2001	394	6/15/2001	354.5				
6/22/2001	381	6/22/2001	351.8				
6/29/2001	394	6/29/2001	375.9				
7/6/2001	401	7/6/2001	526.8				
7/13/2001	405	7/13/2001	524.1				
7/20/2001	398	7/20/2001	406				
7/27/2001	388	7/27/2001	333				
8/3/2001	401	8/3/2001	341.7				
8/10/2001	394	8/10/2001	333				
8/17/2001	402	8/17/2001	317				
8/24/2001	395	8/24/2001	307.9				
8/31/2001	402	8/31/2001	319				
9/7/2001	408	9/7/2001	309.6				
9/14/2001	395	9/14/2001	317.2				
9/21/2001	453	9/21/2001	353.6				
9/28/2001	517	9/28/2001	400.4				
10/5/2001	476	10/5/2001	441.8				
10/12/2001	482	10/12/2001	426.9				
10/19/2001	482	10/19/2001	429.5				
10/26/2001	483	10/26/2001	436.9				
11/2/2001	440	11/2/2001	444				
11/9/2001	428	11/9/2001	456.4				
11/16/2001	431	11/16/2001	420.3				
11/23/2001	491	11/23/2001	438.9				
11/30/2001	465	11/30/2001	605.9				
12/7/2001	393	12/7/2001	491.8				
12/14/2001	389	12/14/2001	440.9				
12/21/2001	416	12/21/2001	529.6				
12/28/2001	421	12/28/2001	647				
1/4/2002	397	1/4/2002	637.3				
1/11/2002	418	1/11/2002	799.2				
1/18/2002	405	1/18/2002	558.3				
1/25/2002	414	1/25/2002	431.7				
2/1/2002	404	2/1/2002	445.6				
2/8/2002	397	2/8/2002	438.6				
2/15/2002	397	2/15/2002	376.6				
2/22/2002	398	2/22/2002	367.5				
3/1/2002	392	3/1/2002	385.3				
3/8/2002	399	3/8/2002	387				
3/15/2002	392	3/15/2002	352				
3/22/2002	415	3/22/2002	366.4				
3/29/2002	479	3/29/2002	386.3				
4/5/2002	445	4/5/2002	432.4				
4/12/2002	442	4/12/2002	428.8				
4/19/2002	416	4/19/2002	385.2				
4/26/2002	414	4/26/2002	367.4				
5/3/2002	409	5/3/2002	362.7				
5/10/2002	413	5/10/2002	358.3				
5/17/2002	411	5/17/2002	348.9				
5/24/2002	403	5/24/2002	346.4				
5/31/2002	378	5/31/2002	309.2				
6/7/2002	388	6/7/2002	378.6				
6/14/2002	396	6/14/2002	356.1				
6/21/2002	388	6/21/2002	359				
6/28/2002	386	6/28/2002	358.7				
7/5/2002	391	7/5/2002	456.7				
7/12/2002	384	7/12/2002	506.7				
7/19/2002	379	7/19/2002	394.6				
7/26/2002	390	7/26/2002	338.4				
8/2/2002	388	8/2/2002	326.4				
8/9/2002	389	8/9/2002	332.7				
8/16/2002	399	8/16/2002	313.9				
8/23/2002	398	8/23/2002	314.9				
8/30/2002	394	8/30/2002	310.9				
9/6/2002	416	9/6/2002	318.4				
9/13/2002	412	9/13/2002	337.6				
9/20/2002	401	9/20/2002	317.3				
9/27/2002	409	9/27/2002	319.1				
10/4/2002	404	10/4/2002	365.6				
10/11/2002	405	10/11/2002	385.7				
10/18/2002	412	10/18/2002	349.9				
10/25/2002	409	10/25/2002	375.6				
11/1/2002	405	11/1/2002	397.3				
11/8/2002	400	11/8/2002	427.1				
11/15/2002	389	11/15/2002	372.8				
11/22/2002	390	11/22/2002	436.5				
11/29/2002	377	11/29/2002	385.8				
12/6/2002	425	12/6/2002	547.4				
12/13/2002	429	12/13/2002	486.3				
12/20/2002	394	12/20/2002	483.4				
12/27/2002	409	12/27/2002	620.9				
1/3/2003	393	1/3/2003	620				
1/10/2003	378	1/10/2003	724.1				
1/17/2003	402	1/17/2003	542.6				
1/24/2003	407	1/24/2003	434.9				
1/31/2003	413	1/31/2003	449.3				
2/7/2003	390	2/7/2003	439.5				
2/14/2003	420	2/14/2003	398.3				
2/21/2003	421	2/21/2003	387.5				
2/28/2003	436	2/28/2003	429.8				
3/7/2003	424	3/7/2003	414.6				
3/14/2003	430	3/14/2003	389.9				
3/21/2003	411	3/21/2003	361.5				
3/28/2003	436	3/28/2003	371.7				
4/4/2003	417	4/4/2003	394.2				
4/11/2003	434	4/11/2003	434.9				
4/18/2003	450	4/18/2003	399.2				
4/25/2003	444	4/25/2003	401.3				
5/2/2003	428	5/2/2003	377.4				
5/9/2003	417	5/9/2003	364.3				
5/16/2003	425	5/16/2003	362.3				
5/23/2003	419	5/23/2003	359.5				
5/30/2003	431	5/30/2003	351.9				
6/6/2003	429	6/6/2003	421.2				
6/13/2003	421	6/13/2003	383.4				
6/20/2003	408	6/20/2003	376.6				
6/27/2003	429	6/27/2003	394.2				
7/4/2003	433	7/4/2003	483.4				
7/11/2003	412	7/11/2003	552.6				
7/18/2003	403	7/18/2003	429.4				
7/25/2003	398	7/25/2003	348.4				
8/1/2003	401	8/1/2003	333.8				
8/8/2003	404	8/8/2003	348.2				
8/15/2003	398	8/15/2003	312.1				
8/22/2003	391	8/22/2003	313.1				
8/29/2003	407	8/29/2003	319.4				
9/5/2003	422	9/5/2003	322.5				
9/12/2003	394	9/12/2003	328.4				
9/19/2003	379	9/19/2003	301.2				
9/26/2003	387	9/26/2003	305				
10/3/2003	386	10/3/2003	337.9				
10/10/2003	376	10/10/2003	368.9				
10/17/2003	387	10/17/2003	328.6				
10/24/2003	379	10/24/2003	352.1				
10/31/2003	363	10/31/2003	345.6				
11/7/2003	371	11/7/2003	397.4				
11/14/2003	370	11/14/2003	347.7				
11/21/2003	354	11/21/2003	398				
11/28/2003	357	11/28/2003	357.8				
12/5/2003	367	12/5/2003	486.2				
12/12/2003	363	12/12/2003	412.6				
12/19/2003	354	12/19/2003	424.2				
12/26/2003	349	12/26/2003	516.5				
1/2/2004	356	1/2/2004	552.8				
1/9/2004	354	1/9/2004	677.9				
1/16/2004	362	1/16/2004	490.8				
1/23/2004	353	1/23/2004	382.3				
1/30/2004	376	1/30/2004	406.3				
2/6/2004	380	2/6/2004	433.2				
2/13/2004	356	2/13/2004	341.6				
2/20/2004	359	2/20/2004	328.2				
2/27/2004	348	2/27/2004	342.1				
3/5/2004	344	3/5/2004	339				
3/12/2004	338	3/12/2004	312.1				
3/19/2004	346	3/19/2004	304.5				
3/26/2004	340	3/26/2004	296.8				
4/2/2004	335	4/2/2004	304.2				
4/9/2004	355	4/9/2004	350.7				
4/16/2004	364	4/16/2004	335				
4/23/2004	339	4/23/2004	313.7				
4/30/2004	324	4/30/2004	283.2				
5/7/2004	329	5/7/2004	292.8				
5/14/2004	349	5/14/2004	297.1				
5/21/2004	342	5/21/2004	294				
5/28/2004	337	5/28/2004	304.1				
6/4/2004	355	6/4/2004	308.2				
6/11/2004	339	6/11/2004	313.9				
6/18/2004	354	6/18/2004	322.5				
6/25/2004	348	6/25/2004	318.7				
7/2/2004	326	7/2/2004	349.9				
7/9/2004	345	7/9/2004	444.5				
7/16/2004	355	7/16/2004	394.4				
7/23/2004	348	7/23/2004	313.2				
7/30/2004	341	7/30/2004	282.1				
8/6/2004	336	8/6/2004	291.6				
8/13/2004	332	8/13/2004	262.9				
8/20/2004	343	8/20/2004	274.4				
8/27/2004	352	8/27/2004	276.3				
9/3/2004	326	9/3/2004	274.9				
9/10/2004	331	9/10/2004	250.6				
9/17/2004	341	9/17/2004	275.8				
9/24/2004	351	9/24/2004	282.7				
10/1/2004	335	10/1/2004	279.6				
10/8/2004	338	10/8/2004	338.7				
10/15/2004	327	10/15/2004	279.8				
10/22/2004	338	10/22/2004	317.6				
10/29/2004	332	10/29/2004	305.5				
11/5/2004	330	11/5/2004	351.4				
11/12/2004	337	11/12/2004	311.9				
11/19/2004	313	11/19/2004	356				
11/26/2004	335	11/26/2004	320.7				
12/3/2004	343	12/3/2004	473.6				
12/10/2004	316	12/10/2004	370.6				
12/17/2004	322	12/17/2004	374.7				
12/24/2004	320	12/24/2004	446.7				
12/31/2004	356	12/31/2004	540.9				
1/7/2005	369	1/7/2005	693.8				
1/14/2005	332	1/14/2005	467.9				
1/21/2005	329	1/21/2005	360.6				
1/28/2005	331	1/28/2005	364.7				
2/4/2005	307	2/4/2005	347.4				
2/11/2005	308	2/11/2005	309.3				
2/18/2005	318	2/18/2005	303.8				
2/25/2005	314	2/25/2005	290.8				
3/4/2005	333	3/4/2005	332.1				
3/11/2005	324	3/11/2005	307.1				
3/18/2005	329	3/18/2005	290.7				
3/25/2005	342	3/25/2005	291.4				
4/1/2005	335	4/1/2005	295				
4/8/2005	323	4/8/2005	339.7				
4/15/2005	307	4/15/2005	285.7				
4/22/2005	317	4/22/2005	299.9				
4/29/2005	334	4/29/2005	290.8				
5/6/2005	327	5/6/2005	297.3				
5/13/2005	321	5/13/2005	275.5				
5/20/2005	320	5/20/2005	276.8				
5/27/2005	340	5/27/2005	304.3				
6/3/2005	338	6/3/2005	289.9				
6/10/2005	333	6/10/2005	315.9				
6/17/2005	321	6/17/2005	289.8				
6/24/2005	311	6/24/2005	286.7				
7/1/2005	327	7/1/2005	327.3				
7/8/2005	338	7/8/2005	427.3				
7/15/2005	323	7/15/2005	374.7				
7/22/2005	318	7/22/2005	295				
7/29/2005	316	7/29/2005	261.9				
8/5/2005	311	8/5/2005	269.7				
8/12/2005	319	8/12/2005	257.2				
8/19/2005	315	8/19/2005	252				
8/26/2005	318	8/26/2005	251.6				
9/2/2005	326	9/2/2005	271.6				
9/9/2005	422	9/9/2005	322.4				
9/16/2005	424	9/16/2005	346.2				
9/23/2005	359	9/23/2005	292.4				
9/30/2005	384	9/30/2005	313.8				
10/7/2005	383	10/7/2005	380.1				
10/14/2005	348	10/14/2005	303.2				
10/21/2005	324	10/21/2005	304.7				
10/28/2005	322	10/28/2005	294.4				
11/4/2005	325	11/4/2005	340.5				
11/11/2005	309	11/11/2005	283.6				
11/18/2005	324	11/18/2005	368.9				
11/25/2005	311	11/25/2005	290.7				
12/2/2005	321	12/2/2005	444.6				
12/9/2005	327	12/9/2005	392				
12/16/2005	312	12/16/2005	359.1				
12/23/2005	320	12/23/2005	433.4				
12/30/2005	302	12/30/2005	475.9				
1/6/2006	326	1/6/2006	555.1				
1/13/2006	285	1/13/2006	439.9				
1/20/2006	290	1/20/2006	317.9				
1/27/2006	282	1/27/2006	318.8				
2/3/2006	289	2/3/2006	321.5				
2/10/2006	298	2/10/2006	310.1				
2/17/2006	283	2/17/2006	269.6				
2/24/2006	293	2/24/2006	272.5				
3/3/2006	302	3/3/2006	301.9				
3/10/2006	307	3/10/2006	294.8				
3/17/2006	303	3/17/2006	269.2				
3/24/2006	295	3/24/2006	265.4				
3/31/2006	291	3/31/2006	254				
4/7/2006	299	4/7/2006	314.7				
4/14/2006	299	4/14/2006	268.5				
4/21/2006	308	4/21/2006	291.3				
4/28/2006	321	4/28/2006	279.7				
5/5/2006	347	5/5/2006	317.2				
5/12/2006	335	5/12/2006	289				
5/19/2006	319	5/19/2006	277.2				
5/26/2006	330	5/26/2006	292.7				
6/2/2006	307	6/2/2006	260.3				
6/9/2006	298	6/9/2006	285.9				
6/16/2006	308	6/16/2006	277.4				
6/23/2006	309	6/23/2006	287.5				
6/30/2006	316	6/30/2006	304.6				
7/7/2006	343	7/7/2006	418.4				
7/14/2006	318	7/14/2006	377.1				
7/21/2006	306	7/21/2006	288.9				
7/28/2006	311	7/28/2006	260				
8/4/2006	318	8/4/2006	275.4				
8/11/2006	310	8/11/2006	256.3				
8/18/2006	315	8/18/2006	252.4				
8/25/2006	314	8/25/2006	251.3				
9/1/2006	315	9/1/2006	259.5				
9/8/2006	314	9/8/2006	240.2				
9/15/2006	324	9/15/2006	267				
9/22/2006	319	9/22/2006	261.4				
9/29/2006	309	9/29/2006	249.3				
10/6/2006	316	10/6/2006	307.6				
10/13/2006	305	10/13/2006	271.9				
10/20/2006	313	10/20/2006	291.4				
10/27/2006	328	10/27/2006	301.1				
11/3/2006	319	11/3/2006	326.7				
11/10/2006	311	11/10/2006	286.2				
11/17/2006	326	11/17/2006	367.7				
11/24/2006	349	11/24/2006	323.5				
12/1/2006	327	12/1/2006	448.9				
12/8/2006	311	12/8/2006	384.1				
12/15/2006	318	12/15/2006	361.7				
12/22/2006	323	12/22/2006	425.4				
12/29/2006	341	12/29/2006	500				
1/5/2007	330	1/5/2007	506.1				
1/12/2007	296	1/12/2007	506.7				
1/19/2007	335	1/19/2007	367.6				
1/26/2007	308	1/26/2007	360				
2/2/2007	310	2/2/2007	339				
2/9/2007	338	2/9/2007	363				
2/16/2007	321	2/16/2007	305.9				
2/23/2007	322	2/23/2007	299				
3/2/2007	320	3/2/2007	320.2				
3/9/2007	308	3/9/2007	298.9				
3/16/2007	309	3/16/2007	277.2				
3/23/2007	303	3/23/2007	273.4				
3/30/2007	307	3/30/2007	268.2				
4/6/2007	332	4/6/2007	328.3				
4/13/2007	327	4/13/2007	317.9				
4/20/2007	321	4/20/2007	304				
4/27/2007	301	4/27/2007	267.7				
5/4/2007	300	5/4/2007	274.8				
5/11/2007	297	5/11/2007	258.5				
5/18/2007	310	5/18/2007	270.4				
5/25/2007	310	5/25/2007	273.4				
6/1/2007	313	6/1/2007	263.5				
6/8/2007	313	6/8/2007	302.4				
6/15/2007	320	6/15/2007	291				
6/22/2007	313	6/22/2007	292.6				
6/29/2007	317	6/29/2007	300.3				
7/6/2007	321	7/6/2007	417.6				
7/13/2007	317	7/13/2007	383.8				
7/20/2007	310	7/20/2007	298.4				
7/27/2007	305	7/27/2007	257.4				
8/3/2007	314	8/3/2007	270.6				
8/10/2007	316	8/10/2007	266.4				
8/17/2007	321	8/17/2007	257.6				
8/24/2007	329	8/24/2007	266.2				
8/31/2007	314	8/31/2007	257.5				
9/7/2007	321	9/7/2007	245.5				
9/14/2007	313	9/14/2007	262				
9/21/2007	302	9/21/2007	247.6				
9/28/2007	317	9/28/2007	255.4				
10/5/2007	316	10/5/2007	298.3				
10/12/2007	335	10/12/2007	306.5				
10/19/2007	334	10/19/2007	307.7				
10/26/2007	328	10/26/2007	303.4				
11/2/2007	327	11/2/2007	325.8				
11/9/2007	333	11/9/2007	351.8				
11/16/2007	332	11/16/2007	323.1				
11/23/2007	352	11/23/2007	324				
11/30/2007	344	11/30/2007	462.9				
12/7/2007	332	12/7/2007	423.1				
12/14/2007	350	12/14/2007	393				
12/21/2007	355	12/21/2007	456.3				
12/28/2007	360	12/28/2007	507.9				
1/4/2008	346	1/4/2008	522.7				
1/11/2008	322	1/11/2008	547.9				
1/18/2008	321	1/18/2008	415.4				
1/25/2008	366	1/25/2008	369.5				
2/1/2008	350	2/1/2008	380.2				
2/8/2008	344	2/8/2008	377.6				
2/15/2008	339	2/15/2008	325.9				
2/22/2008	354	2/22/2008	330				
2/29/2008	345	2/29/2008	345.3				
3/7/2008	348	3/7/2008	341.4				
3/14/2008	369	3/14/2008	335.9				
3/21/2008	368	3/21/2008	316.2				
3/28/2008	387	3/28/2008	342.2				
4/4/2008	354	4/4/2008	357.2				
4/11/2008	365	4/11/2008	371				
4/18/2008	349	4/18/2008	328.3				
4/25/2008	370	4/25/2008	337.9				
5/2/2008	370	5/2/2008	335.5				
5/9/2008	366	5/9/2008	325.5				
5/16/2008	367	5/16/2008	319.8				
5/23/2008	369	5/23/2008	326.6				
5/30/2008	362	5/30/2008	301				
6/6/2008	382	6/6/2008	373				
6/13/2008	378	6/13/2008	349.3				
6/20/2008	381	6/20/2008	358.2				
6/27/2008	392	6/27/2008	368.5				
7/4/2008	371	7/4/2008	401.7				
7/11/2008	385	7/11/2008	476.1				
7/18/2008	402	7/18/2008	403.6				
7/25/2008	434	7/25/2008	374.2				
8/1/2008	448	8/1/2008	381.9				
8/8/2008	430	8/8/2008	372.8				
8/15/2008	424	8/15/2008	342.2				
8/22/2008	421	8/22/2008	344.3				
8/29/2008	442	8/29/2008	360.5				
9/5/2008	441	9/5/2008	336.1				
9/12/2008	449	9/12/2008	381.7				
9/19/2008	483	9/19/2008	397.6				
9/26/2008	483	9/26/2008	392.1				
10/3/2008	482	10/3/2008	426.8				
10/10/2008	461	10/10/2008	454.1				
10/17/2008	478	10/17/2008	416.1				
10/24/2008	480	10/24/2008	449.4				
10/31/2008	490	10/31/2008	466.4				
11/7/2008	512	11/7/2008	539.8				
11/14/2008	536	11/14/2008	513				
11/21/2008	532	11/21/2008	609.1				
11/28/2008	529	11/28/2008	537.2				
12/5/2008	570	12/5/2008	760.5				
12/12/2008	566	12/12/2008	629.9				
12/19/2008	587	12/19/2008	719.7				
12/26/2008	533	12/26/2008	717				
1/2/2009	503	1/2/2009	732				
1/9/2009	551	1/9/2009	956.8				
1/16/2009	591	1/16/2009	764				
1/23/2009	586	1/23/2009	620.1				
1/30/2009	629	1/30/2009	682.2				
2/6/2009	637	2/6/2009	710.2				
2/13/2009	632	2/13/2009	620				
2/20/2009	655	2/20/2009	605.7				
2/27/2009	652	2/27/2009	645.8				
3/6/2009	660	3/6/2009	652.6				
3/13/2009	651	3/13/2009	601.2				
3/20/2009	661	3/20/2009	590.1				
3/27/2009	665	3/27/2009	599.3				
4/3/2009	653	4/3/2009	623.3				
4/10/2009	599	4/10/2009	610.5				
4/17/2009	639	4/17/2009	596.6				
4/24/2009	620	4/24/2009	583.5				
5/1/2009	602	5/1/2009	536.6				
5/8/2009	625	5/8/2009	570.4				
5/15/2009	620	5/15/2009	540.9				
5/22/2009	606	5/22/2009	538.3				
5/29/2009	607	5/29/2009	500.4				
6/5/2009	596	6/5/2009	581.1				
6/12/2009	595	6/12/2009	562.4				
6/19/2009	608	6/19/2009	572.4				
